id,species,owner,countryOfOrigin,ISOofOrigin,company,region,producer,harvestYear,gradingDate,owner1,variety,processingMethod,aroma,flavor,aftertaste,acidity,body,balance,uniformity,cleanCup,sweetness,cupperPoints,totalCupPoints,moisture,color,altitudeLowMeters,altitudeHighMeters,altitudeMeanMeters,mdsX,mdsY
1,Arabica,Metad Plc,Ethiopia,ETH,Metad Agricultural Developmet Plc,Guji-Hambela,Metad Plc,2014.0,"April 4th, 2015",Metad Plc,,Washed / Wet,8.67,8.83,8.67,8.75,8.5,8.42,10.0,10.0,10.0,8.75,90.58,0.12,Green,1950,2200,2075,-1.980065931411214,-2.1876908711533565
2,Arabica,Metad Plc,Ethiopia,ETH,Metad Agricultural Developmet Plc,Guji-Hambela,Metad Plc,2014.0,"April 4th, 2015",Metad Plc,,Washed / Wet,8.75,8.67,8.5,8.58,8.42,8.42,10.0,10.0,10.0,8.58,89.92,0.12,Green,1950,2200,2075,-1.7936856667228744,-2.021692996117931
3,Arabica,Grounds For Health Admin,Guatemala,GTM,,,,,"May 31st, 2010",Grounds For Health Admin,Bourbon,,8.42,8.5,8.42,8.42,8.33,8.42,10.0,10.0,10.0,9.25,89.75,0.0,,1600,1800,1700,-1.744535795750475,-2.1633773447338718
4,Arabica,Yidnekachew Dabessa,Ethiopia,ETH,Yidnekachew Debessa Coffee Plantation,Oromia,Yidnekachew Dabessa Coffee Plantation,2014.0,"March 26th, 2015",Yidnekachew Dabessa,,Natural / Dry,8.17,8.58,8.42,8.42,8.5,8.25,10.0,10.0,10.0,8.67,89.0,0.11,Green,1800,2200,2000,-1.5439109721124296,-1.764261570688051
5,Arabica,Metad Plc,Ethiopia,ETH,Metad Agricultural Developmet Plc,Guji-Hambela,Metad Plc,2014.0,"April 4th, 2015",Metad Plc,,Washed / Wet,8.25,8.5,8.25,8.5,8.42,8.33,10.0,10.0,10.0,8.58,88.83,0.12,Green,1950,2200,2075,-1.517043679921034,-1.6941612316370265
6,Arabica,Ji-Ae Ahn,Brazil,BRA,,,,2013.0,"September 3rd, 2013",Ji-Ae Ahn,,Natural / Dry,8.58,8.42,8.42,8.5,8.25,8.33,10.0,10.0,10.0,8.33,88.83,0.11,Bluish-Green,-1,-1,-1,-1.5861985062740394,-1.7064054355484675
7,Arabica,Hugo Valdivia,Peru,PER,Richmond Investment-Coffee Department,,Hvc,2012.0,"September 17th, 2012",Hugo Valdivia,,Washed / Wet,8.42,8.5,8.33,8.5,8.25,8.25,10.0,10.0,10.0,8.5,88.75,0.11,Bluish-Green,-1,-1,-1,-1.5174435986055355,-1.7286215103843137
8,Arabica,Ethiopia Commodity Exchange,Ethiopia,ETH,,Oromia,Bazen Agricultural & Industrial Dev'T Plc,,"September 2nd, 2010",Ethiopia Commodity Exchange,,,8.25,8.33,8.5,8.42,8.33,8.5,10.0,10.0,9.33,9.0,88.67,0.03,,1570,1700,1635,-1.8841599113200005,-1.8656864357279876
9,Arabica,Ethiopia Commodity Exchange,Ethiopia,ETH,,Oromiya,Bazen Agricultural & Industrial Dev'T Plc,,"September 2nd, 2010",Ethiopia Commodity Exchange,,,8.67,8.67,8.58,8.42,8.33,8.42,9.33,10.0,9.33,8.67,88.42,0.03,,1570,1700,1635,-2.130419415002102,-1.8287094796101517
10,Arabica,Diamond Enterprise Plc,Ethiopia,ETH,Diamond Enterprise Plc,"Snnp/Kaffa Zone,Gimbowereda",Diamond Enterprise Plc,2014.0,"March 30th, 2015",Diamond Enterprise Plc,,Natural / Dry,8.08,8.58,8.5,8.5,7.67,8.42,10.0,10.0,10.0,8.5,88.25,0.1,Green,1795,1850,1822,-1.6464075657887904,-1.702798965623486
11,Arabica,Mohammed Lalo,Ethiopia,ETH,Fahem Coffee Plantation,Oromia,Fahem Coffee Plantation,2014.0,"March 27th, 2015",Mohammed Lalo,,Natural / Dry,8.17,8.67,8.25,8.5,7.75,8.17,10.0,10.0,10.0,8.58,88.08,0.1,,1855,1955,1905,-1.5227276471515443,-1.6992633265108728
12,Arabica,Cqi Q Coffee Sample Representative,United States of America,USA,Coffee Quality Institute,Antioquia,,2014.0,"March 13th, 2015",Cqi Q Coffee Sample Representative,,Washed / Wet,8.25,8.42,8.17,8.33,8.08,8.17,10.0,10.0,10.0,8.5,87.92,0.0,,1872,1872,1872,-1.3374795024487682,-1.548328185801262
13,Arabica,Cqi Q Coffee Sample Representative,United States of America,USA,Coffee Quality Institute,Antioquia,Jorge Walter Restrepo,2014.0,"March 13th, 2015",Cqi Q Coffee Sample Representative,,Washed / Wet,8.08,8.67,8.33,8.42,8.0,8.08,10.0,10.0,10.0,8.33,87.92,0.0,,1943,1943,1943,-1.4577718786555944,-1.5418145825947984
14,Arabica,Grounds For Health Admin,United States Minor Outlying Islands,UMI,,Kona,"Robert, Sharon, Arianna Wood",,"May 31st, 2010",Grounds For Health Admin,,,8.33,8.42,8.08,8.25,8.25,8.0,10.0,10.0,10.0,8.58,87.92,0.0,,186,186,186,-1.2534011889338428,-1.571748279823425
15,Arabica,Ethiopia Commodity Exchange,Ethiopia,ETH,,Oromiya,Bazen Agricultural & Industrial Dev'T Plc,,"August 31st, 2010",Ethiopia Commodity Exchange,,,8.25,8.33,8.5,8.25,8.58,8.75,9.33,10.0,9.33,8.5,87.83,0.05,,1570,1700,1635,-2.0384247631287606,-1.4686714073506368
16,Arabica,Cqi Q Coffee Sample Representative,United States of America,USA,Coffee Quality Institute,Antioquia,,2014.0,"March 13th, 2015",Cqi Q Coffee Sample Representative,,Washed / Wet,8.0,8.5,8.58,8.17,8.17,8.0,10.0,10.0,10.0,8.17,87.58,0.0,,2080,2080,2080,-1.3987643031667272,-1.3868858193334452
17,Arabica,Grounds For Health Admin,Indonesia,IDN,,Sulawesi,P.T. Toarco Jaya,,"May 31st, 2010",Grounds For Health Admin,,,8.33,8.25,7.83,7.75,8.5,8.42,10.0,10.0,10.0,8.33,87.42,0.03,,1200,1800,1500,-0.9506677057173865,-1.493187949733735
18,Arabica,Ethiopia Commodity Exchange,Ethiopia,ETH,,Yirgacheffe,Green Gold Ethiopia,2009.0,"June 16th, 2010",Ethiopia Commodity Exchange,,,8.17,8.33,8.25,8.33,8.42,8.33,9.33,10.0,9.33,8.83,87.33,0.05,,-1,-1,-1,-1.492180422146249,-1.9088113688601929
19,Arabica,Yunnan Coffee Exchange,China,CHN,Yunnan Coffee Exchange,Yunnan,Echo Coffee,2015.0,"April 7th, 2016",Yunnan Coffee Exchange,Catimor,Washed / Wet,8.42,8.25,8.08,8.17,7.92,8.0,10.0,10.0,10.0,8.42,87.25,0.1,Green,1450,1450,1450,-1.140403995856999,-1.4723921194643477
20,Arabica,Essencecoffee,Ethiopia,ETH,Essence Coffee,Gedio,Levelup,2014.0,"March 25th, 2015",Essencecoffee,Ethiopian Yirgacheffe,Natural / Dry,8.17,8.17,8.0,8.17,8.08,8.33,10.0,10.0,10.0,8.33,87.25,0.0,,1700,2000,1850,-1.1808278165550126,-1.3175096200695648
21,Arabica,Cqi Q Coffee Sample Representative,United States of America,USA,Coffee Quality Institute,Antioquia,,2014.0,"March 13th, 2015",Cqi Q Coffee Sample Representative,,Washed / Wet,8.0,8.25,8.08,8.5,8.25,8.0,10.0,10.0,10.0,8.17,87.25,0.0,None,2019,2019,2019,-1.2385542076583134,-1.218727898633092
22,Arabica,The Coffee Source Inc.,Costa Rica,CRI,The Coffee Source Inc.,San Ramon,Several,2014.0,"April 2nd, 2014",The Coffee Source Inc.,Caturra,Washed / Wet,8.08,8.25,8.0,8.17,8.0,8.33,10.0,10.0,10.0,8.33,87.17,0.11,Green,1300,1300,1300,-1.1989584745342554,-1.304098439267592
