GCM (circulation model),Jan,Feb,Mar,Apr,May,Jun,JulAug,Sep,Oct,Nov,Dec
bccr_bcm2_0,189.7990949,176.9599911,202.0572512,174.849032,135.8857127,72.79556147,24.95605084,20.06021663,43.04025581,118.6494524,166.59033
cccma_cgcm3_1,172.560044,146.8386905,147.5694727,115.008466,91.75201449,65.62566266,40.10637636,38.01899376,49.72743117,82.78975904,118.2514373
cnrm_cm3,211.0179411,188.8617649,203.6893281,163.3549905,122.6951409,70.75804168,43.56863048,36.06519399,56.13610972,124.7599673,178.6859374
csiro_mk3_5,116.4134679,137.5752904,176.9362358,130.5467903,58.81948264,22.3044064,12.99494251,8.439955212,6.912244547,26.95978485,82.50632567
gfdl_cm2_0,172.61601871302918,179.7895332437578,204.83403248490373,160.83544514664786,85.62639608767734,31.13835202613094,13.69253256377188,7.955721630617478,11.016770220020007,28.321828153535225,59.43332012247284
gfdl_cm2_1,164.98298232956537,171.95055307438832,201.43125910890282,155.6737103335553,93.57790856130397,35.820068096907384,14.54553315773577,8.420755411598819,8.175691168171088,15.430504134287084,44.10937883592298
ingv_echam4,167.01244910210406,158.4547783083661,195.28542499206097,159.8297982848752,108.18913021549474,56.98060929508875,36.50374349526268,35.9710815437386,59.31843465896135,104.92717584465665,149.76447049708534
inmcm3_0,103.55555141077753,112.19781423247309,139.03876686940268,136.47669972784325,91.37324924808028,51.161206270854805,34.370362515740844,28.279897928237848,23.054484272690786,41.21523985672313,61.84979317744909
ipsl_cm4,139.00163349378815,132.0020319445069,128.92934814596578,93.7609412606882,75.102719062199,56.36510378406626,26.581797261080464,14.739129345960794,15.609600147743485,27.26692120704893,44.36322540835687
miroc3_2_medres,204.18167586028045,185.569091353819,175.27085945250573,121.74934032743366,81.16029982020126,39.295149234815696,20.630560240280527,14.628296253427662,18.607876460900957,74.15381285284134,145.82449550964517
miub_echo_g,197.90443317446494,173.1995741498221,195.27453341527777,148.01041215711638,89.92252445643139,47.19068218965215,32.78680068307226,35.42164217792963,70.67126711703172,143.01508053849972,192.06017354947875
mpi_echam5,181.67037432594347,144.40603749256954,157.51223105877682,117.89854277128936,82.15740345115535,35.298999023924154,27.061465833532466,35.015916853060375,50.5756894014571,98.79753074113756,152.75808936939293
mri_cgcm2_3_2a,183.36836219892083,166.23604734810704,178.18743247481194,148.06089954040837,111.71729714469741,75.6920066913487,65.29235639720766,71.72477372767787,95.2769942853103,138.7381398867587,162.64779378251723
ukmo_hadcm3,219.21510965425,186.06911252659916,198.76574819274822,137.23110931531056,78.88966668311583,51.28126188308245,33.597339720796924,34.28087188106742,65.99905035261737,109.29385352093554,160.8708015063137
ukmo_hadgem1,246.87598688835152,219.035516972044,210.96720530183975,162.8070105472442,145.72758459412185,118.58913290498371,77.33480033600847,57.86477452955864,75.65947260384034,121.05850940520078,169.03020313567686
