GCM (circulation model),Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
bccr_bcm2_0,27.22549122,32.7465116,50.97668584,69.48734189,107.3638027,128.0665506,140.2678082,126.1544616,103.5376567,62.47581056,33.89556784,26.42784938
bccr_bcm2_0,24.73717449,33.51789046,50.25306747,71.34292161,102.9828136,130.4089042,146.5880824,129.0168396,104.8194048,57.91911687,34.8144604,24.37432201
cccma_cgcm3_1,26.86061568,27.67234092,46.98382643,68.99062522,96.41457999,125.1019102,149.4859094,127.343347,77.52800979,46.49678438,31.28080998,27.05216474
cccma_cgcm3_1,24.52213084,27.87097524,47.65733818,67.05083098,96.75409088,123.8238149,145.884497,125.9793565,77.95738045,48.78958662,32.6784003,26.3485813
cnrm_cm3,23.29172327,30.29251218,57.62842605,82.3520347,105.9005353,125.3724576,158.2815579,141.1382378,94.38903774,55.23477444,30.77750643,25.62915278
cnrm_cm3,23.12309801,32.44634459,54.99983031,84.69797921,111.4534584,127.3581345,155.3498516,143.7026378,97.93124032,56.6347286,34.02593476,25.25360515
csiro_mk3_5,10.43963724,14.4812812,31.21392905,53.39803362,80.99859515,93.71647083,114.1245587,114.6712986,69.8242036,32.42967217,21.46296867,13.83785114
csiro_mk3_5,87.13136028,88.52426017,115.6692564,109.7620203,75.08843015,29.8010181,22.56816576,13.82520265,11.79945336,16.37258019,31.82629231,55.96758409
gfdl_cm2_0,22.914001910312425,26.706442437673353,45.57912323193498,68.63191306904538,97.88250283192006,116.95556685797783,124.87773081736462,104.14448341091737,65.76609067735299,46.13065689802777,36.34862055903352,23.8963688768854
gfdl_cm2_0,23.851727388408104,28.156985918156664,48.701030996284665,70.75397575216255,103.60537270181585,118.08697244994063,127.35359088487701,105.40334899135051,66.64030646806377,48.699976456794964,33.69726239380079,24.771037404473176
gfdl_cm2_1,20.52898822175794,24.13802100247698,39.96920306275204,60.770433152982164,89.38254032165737,114.20400614136749,125.40356782549203,101.5798875684634,53.8935994637163,40.31725358493284,29.42757809711032,18.152113464318816
gfdl_cm2_1,20.720712105694073,24.971361084987155,40.025427274010525,60.337112279311576,94.01683935835374,119.69923365428632,136.80012086485067,110.36308220385322,59.51562489216067,42.75328499000619,30.986627094844422,21.739875530725968
ingv_echam4,16.957700532912146,24.81442117573557,48.47080559793143,72.14147486498598,86.85961797835463,87.85800092118656,102.05482422519684,102.87416835806508,74.99534738671406,46.101936371702074,34.90140729828924,23.27288965253157
inmcm3_0,39.56959125242662,49.65131781602237,74.82585102005751,96.96837572676877,120.10551797716377,128.21964798474764,127.0784325560369,95.43874281487491,67.4788313351222,46.452058130189506,41.56490245304637,41.16290382648847
inmcm3_0,39.02423806566825,51.15980159609734,75.5563511471964,98.62855580607466,123.36230756733089,124.72079935512276,122.85760212178354,99.78272662508532,73.1950183291121,46.67695633832608,40.83435334970662,43.68990811548556
ipsl_cm4,30.216353957587497,37.12666946649084,57.95339898686972,71.25286261660165,74.42770559536582,86.52551903537164,115.35991133358237,109.05003997527331,69.44874072389045,50.554310099074996,39.96966999455822,34.25635408100518
ipsl_cm4,32.25078499630494,37.29989592339229,58.6015271011207,66.22560060024173,75.9495138494615,86.46268113035553,114.08641894238963,106.19003063909668,68.755538689476,55.1241261268951,44.890861693183226,34.543784403488374
miroc3_2_medres,21.38727133682146,29.10398355440351,46.343576632049356,69.51646713832834,111.29001710289346,131.64993392791646,128.77174051181873,125.2660817660878,97.96469439957072,74.39992133881637,34.60938399716143,26.684442702092202
miroc3_2_medres,21.976021873323184,27.511072561927485,45.31139854066743,72.27133466695823,111.60163256996707,126.91983896808638,131.29455252071588,124.05714095266117,98.04585623113257,72.97036399653351,39.59350313324587,25.34173261805566
miub_echo_g,28.38761177658817,28.60358126069141,49.447998366845376,58.89729429231469,81.40648734882136,85.47709244803845,86.52489759106415,94.03489561930303,73.12508747764998,45.9144109863974,39.49646530182598,36.10458999872636
miub_echo_g,28.244649847875046,32.00157401122433,47.97719710438011,61.50041518399701,85.96780425781212,90.95683719924217,92.54215586184347,96.25265857420217,70.08476689459158,46.755608190050644,40.370152476586995,34.87397601102663
mpi_echam5,28.731521092750008,33.61507257976122,51.6800875389302,76.07957980037237,109.56866787646763,122.91862231475439,125.27426845145271,112.08798903051564,69.46488482700885,43.35124313124741,32.75566878130681,24.31236794747832
mpi_echam5,26.36223834361128,34.702556020334946,51.25821182366573,78.39312252206373,111.14547566343883,125.14785903988138,132.23503071271796,113.95886039141782,71.00937730079202,47.449438406444436,32.15170792215811,27.728724738482573
mri_cgcm2_3_2a,33.8559778269979,37.0386870628924,58.58905605264735,74.90530358802727,99.2779607019929,109.83386085846915,112.16510182070779,93.607611392285,54.12572081309423,28.83901267067454,29.332114793751874,35.63227040359603
