GCM (circulation model),Jan,Feb,Mar,Apr,May,Jun,JulAug,Sep,Oct,Nov,Dec
bccr_bcm2_0,78.92393657,31.20870767,12.21322298,13.51507929,107.3086908,292.9416896,321.5016697,296.3490949,277.559954,270.3379081,209.784232
cccma_cgcm3_1,28.57956151,34.45242473,70.37611171,121.3011153,268.0431584,311.2556806,282.2658059,334.355654,460.8921029,387.7251064,183.8057491
cnrm_cm3,68.41610009,29.80967372,14.83539445,23.59962831,111.4934845,209.5350691,211.8487483,203.03062,233.8641968,199.5738046,145.5908225
csiro_mk3_5,7.449009112,5.419621425,11.74120873,13.34448258,36.12966881,114.0298476,184.060633,138.5215217,119.2503554,61.5743774,48.43921934
gfdl_cm2_0,5.524944049972857,3.812267644062857,1.9464345106042857,6.102607131012858,97.29764516014284,288.66522434771434,185.919848851,165.09392438615717,247.1937190462857,244.99480329242857,101.9342678616
gfdl_cm2_1,11.332427484648573,4.615528311053572,4.378113363463143,7.090536994584428,101.90722955963429,258.3734425137143,177.23085021958568,179.4717254637857,183.92575073242855,149.574482509,134.07252938414288
ingv_echam4,42.25674745015715,21.754540341225713,36.60455363138571,105.55105209351429,310.0258222307143,327.21980285642854,341.4591762,270.4251687184286,271.3977988107143,236.23391287671424,178.1576145719
inmcm3_0,6.682092632567143,6.064647912987143,6.381585206310286,9.762506331720571,33.10963119778429,69.32838930407144,119.15725272048572,118.85294451041429,120.00164140980003,102.06319536475714,46.60991586958571
ipsl_cm4,5.818494507245715,4.975816896982857,5.702592543191428,14.083309684477145,64.06824193692857,151.0461104255714,214.23016793385713,142.57860565182858,100.16316713595714,72.72571590971428,28.60576357160857
miroc3_2_medres,6.771173766685714,6.779124191834285,12.100340604775715,31.03383050645572,79.45281491968571,133.01142828814287,129.95447158798572,137.61030360628573,110.6479900905,153.70909336632855,81.62854657842857
miub_echo_g,35.050314767014285,43.638296399800005,99.11357988630002,206.58984810957142,338.8622698101429,355.88953508657147,311.20206124457144,285.42704119,294.214830671,225.521763393,132.99030194942858
mpi_echam5,39.763534545897144,19.939738682347144,18.661704608367142,65.68911525177143,219.82721601228576,290.4745875765714,296.09984261657144,282.02437482542854,295.83356802800006,327.89182172500006,179.10419573114285
mri_cgcm2_3_2a,42.3443284716,41.05304472787143,46.40022713797142,79.24750300814286,192.7396937777143,257.9293823242857,261.9004712787143,288.80509512771425,321.8479396274285,269.98670959485713,174.61695861822858
ukmo_hadcm3,2.8170992561757147,2.884250453540286,5.045188358848143,24.386041300634282,142.6063559394143,283.12416948599997,211.60746002214287,164.40311213904286,144.3690665108143,142.2483989170857,52.76692744662857
ukmo_hadgem1,17.515125449217,11.82764555193367,9.457387186583615,15.987277780248572,137.36864743915712,378.7617623465715,386.6757725305714,253.51938193185717,260.92203194757144,286.37373352071427,176.35396848401427
