GCM (circulation model),Jan,Feb,Mar,Apr,May,Jun,JulAug,Sep,Oct,Nov,Dec
bccr_bcm2_0,70.12876511,46.60691261,23.49366665,45.40634155,213.4887238,389.3578796,276.53508,272.5197449,273.8750305,248.5340424,136.577713
cccma_cgcm3_1,26.97614288,17.05386448,19.90645981,34.90905762,95.96248245,138.8350296,105.4310417,160.9446564,246.2409058,167.5777054,65.02589035
cnrm_cm3,43.31019211,31.17510796,29.01923943,73.61793327,223.3391342,255.6096954,187.36306,151.5101776,262.6274719,213.1263046,92.05583572
csiro_mk3_5,1.791760445,0.615601346,0.765339434,5.29108417,46.42070007,108.9467735,130.9938622,97.11251259,138.3088951,93.76083374,7.460488081
gfdl_cm2_0,2.532635092735,2.84656840563,0.554229542613,1.56439644098,48.2651042938,207.0225753785,179.627609253,233.62602233899997,374.9700012205,213.131225586,41.74014663695
gfdl_cm2_1,10.75392675401,5.093565702439999,2.721653461455,1.4723462462399999,7.970364213005,46.8299407959,69.93751907345,180.731323242,277.4924468995,209.3898391725,94.86585235609999
ingv_echam4,14.9050126076,17.76245498655,61.5600528717,191.71167755149997,285.97628784150004,228.4095001225,197.898239136,191.185874939,209.06955719,194.530838013,64.69092941285001
inmcm3_0,12.80000734328,7.66246175766,3.1867446899400003,3.955230116845,13.2135152817,38.8250656128,79.460975647,75.63914489745,76.65297317505,53.972173690800005,17.5612258911
ipsl_cm4,11.744190692890001,6.86829686165,3.49124097824,1.24227839708,15.21006155015,50.659557342499994,104.69355773915,63.1619415283,34.16577243805,15.809600353250001,7.29232668877
miroc3_2_medres,5.287314891815,2.21183121204,1.0556491613405,4.51826071739,19.7690582275,31.71875095365,25.84870433805,46.6705932617,49.6049289703,118.4229660035,43.6802635193
miub_echo_g,62.5256328583,50.671607971200004,54.093290328950005,168.5772247315,309.9872283935,384.992263794,340.677017212,317.85713195799997,343.2305603025,235.38495636,157.286010742
mpi_echam5,7.8084912300100005,9.316917419420001,13.268264293649999,31.7451295853,111.4286880491,146.31761932400002,126.930934906,147.521320343,217.0067977905,144.345031738,57.04684257505
mri_cgcm2_3_2a,21.4847545624,16.05034160615,27.2119140625,50.56903648375,150.5159683225,224.25806427,159.69977569600002,194.7679214475,295.4547576905,213.593955994,69.49443435665
ukmo_hadcm3,8.678050994895,6.67676305771,11.147669792150001,29.195963859549998,121.2705841065,221.85443115200002,104.76393890394999,101.41937637334999,112.95804977425001,108.06304168685,20.9879322052
ukmo_hadgem1,6.851692914965,4.110843777655,12.75823926926,42.1176738739,118.10379028345,385.71902465849996,237.0214920045,95.21149826045,189.243858337,286.1890411375,57.79866218565
