GCM (circulation model),Jan,Feb,Mar,Apr,May,Jun,JulAug,Sep,Oct,Nov,Dec
bccr_bcm2_0,7.696889443,16.02529142,23.1788215,60.34261044,110.0184862,119.9200237,155.4155619,182.7892081,155.0394954,90.67961528,68.15681638
bccr_bcm2_0,6.137315789,12.88434059,23.80211326,60.63925125,120.236378,116.2644092,151.6075864,203.7738066,172.4379292,93.10311124,63.61485628
cccma_cgcm3_1,14.74383948,11.93459758,32.05495537,86.91575813,115.6632995,114.0904244,151.1636942,141.0857292,110.9358535,127.0021131,82.66860122
cccma_cgcm3_1,13.06725073,10.0128499,31.24961421,76.68680491,106.3733675,100.398796,138.6504478,140.67874,109.4970204,122.7771815,74.84254956
cnrm_cm3,18.05359738,21.76646019,52.42936828,128.5410947,155.2759938,144.8367017,152.6923734,172.6866961,134.2391232,173.1840293,86.61799305
cnrm_cm3,22.08944085,17.11685691,47.75746628,121.138402,154.1641714,160.1104132,156.5765874,184.1235089,151.9354974,166.4915134,115.7257937
csiro_mk3_5,2.171459027,5.997128883,28.73477359,75.70506919,146.4681922,71.61898267,83.47222303,101.0775558,96.25635195,127.4453276,56.16485401
csiro_mk3_5,155.932872,61.00017889,80.62851064,98.35099397,97.3723369,126.3704736,80.60967793,10.24963081,2.481628687,7.625265363,29.17598897
gfdl_cm2_0,2.9540278825999398,3.5229691456310532,14.967454359341458,54.50404157509351,126.29327761162381,107.96171593020001,81.59069768801082,96.20781435834405,112.36631742688459,136.6845028594054,73.95710853630892
gfdl_cm2_0,3.093035048728721,4.234726832526837,11.924451934316268,53.95155491697378,124.44555316108108,104.46077031053079,84.76302220693944,96.1403770962527,109.41631765627108,132.74572279647836,70.24112578983028
gfdl_cm2_1,2.4953185706518655,1.3395339818419807,6.989806220340296,43.315541860199986,116.60742401427244,94.91863240422165,66.17220798703242,79.3098202395765,92.62503669065863,133.17613967685142,76.67385029149027
gfdl_cm2_1,2.6650243268618734,3.704012049610865,6.882896010944973,49.28424452444675,115.0473233300811,77.87402999404677,66.25127342577595,78.35113452575028,102.69403118702054,126.17594053939187,68.17414161325917
ingv_echam4,2.8191904321893912,3.219949373372291,24.50830753751627,76.72945559350785,92.7960367847254,74.25254522142379,106.18438136259242,109.36991160623892,112.90433491886483,104.45218918773568,42.99563340239568
inmcm3_0,16.878331374475948,17.885613397965514,46.65575103823972,85.45290173064704,88.82499872667726,49.685935123548646,53.3219329344354,78.43824389172786,111.55079728207568,132.1826534786757,99.7120852083892
inmcm3_0,15.883762591602165,15.569514495289917,40.83171480892951,82.43317863101922,92.33832892859189,45.97283188071892,51.756950739271346,73.18407326778056,103.50533913271352,136.67853097654054,68.90513231946757
ipsl_cm4,10.532543865407295,6.939909498433216,17.875737747627568,33.27505754779919,53.95050450756503,40.89404013026859,33.00118127223555,44.35557689535243,62.33276820829027,74.33545643894594,54.261832366100016
ipsl_cm4,5.140811817869946,5.431431671249325,21.747270300577032,39.94051356571919,60.29330499591225,41.40327960414109,31.250885132177707,40.95823855655648,60.81781443396,73.96497661358866,38.19055714721298
miroc3_2_medres,7.136825961035405,9.681403392064057,18.492512651390815,92.25413121401621,140.56658188065674,118.26366290528918,193.20117620522157,226.25715338213786,181.91757490823238,114.18460031456753,41.644139444510806
miroc3_2_medres,8.74785154575162,10.303558143408916,17.44086949890324,85.4604449401324,113.18771991217841,120.59580230715673,199.61314907591077,216.280523764146,182.71258565535945,112.22694979486752,50.14885616302702
miub_echo_g,23.165967458003784,32.86944963481541,71.97308680814648,127.67923241697568,177.89695904706485,103.99547535662433,108.16007575476488,113.03995114398455,131.2408078682973,155.47397696005675,139.90924546523786
miub_echo_g,21.273481079051358,29.070435784957834,73.31825490896756,111.11070622630811,179.22634104137023,117.57911785232433,105.6397356600081,109.15700074789214,130.83510728786487,157.93828964234868,130.5938955771676
mpi_echam5,1.8063586582044004,5.353392604236784,12.112299898190056,36.35678013756102,48.86012932095217,48.08210479486759,81.23462997904923,95.08942392068568,90.43427536936409,90.8913680411838,42.68247065672972
mpi_echam5,2.000120393051419,6.38862588850549,22.12945119755351,45.16905798780461,45.475440147762704,55.145044127061354,80.5819736719716,89.87345321757134,79.15550294435839,88.69354794479462,41.95078597198108
mri_cgcm2_3_2a,44.99989177084216,40.91413846532297,77.10239190668972,91.26361217369919,103.11044847405611,90.15778855050839,97.4680511242292,105.69015491970539,125.13283804307052,148.21495618045188,104.44402707580754
mri_cgcm2_3_2a,39.669032116188646,44.29436585389325,77.40128995918917,102.23995561537271,101.84640992894167,85.93622610855444,96.79696628212488,106.97111182601567,116.6811915603662,145.4991683831041,104.8001140516992
ukmo_hadcm3,17.078069071510537,20.755622116297296,51.15308599856648,78.88073343845134,113.05420994117299,84.01192939606919,80.00312035149054,92.10891780342295,83.95046832115054,82.95637517356758,64.26399022176486
ukmo_hadcm3,16.372082355868653,20.783346211584544,52.42212109948864,96.3189881815027,114.1180255477865,79.52938033442352,82.33364950644244,87.31463765134973,78.0011015324781,84.12870834968112,56.24604369496378
ukmo_hadgem1,2.662343063869973,4.1076260563497575,8.635437437005837,36.79290319133163,77.38612461094108,57.57882761470534,118.5769124997492,117.18382735184497,93.72519347477649,85.61039646892218,27.54942524433176
