GCM (circulation model),Jan,Feb,Mar,Apr,May,Jun,JulAug,Sep,Oct,Nov,Dec
bccr_bcm2_0,85.28771319,67.26611001,35.92149217,66.59311458,221.5922503,314.0408347,264.1510707,233.4845973,275.9044952,238.7890342,131.4042478
bccr_bcm2_0,72.41529628,58.04952567,32.76653344,66.47093964,175.5797119,350.7119838,258.2166879,237.0536041,250.2582005,239.6771262,143.4786181
cccma_cgcm3_1,40.61583355,33.05689539,35.42649296,43.53134401,98.43526241,121.1897049,84.56052889,117.9637985,137.5895408,113.0459529,53.48822294
cccma_cgcm3_1,44.21736935,38.71332932,33.33493287,53.6873327,93.8497467,118.340732,79.88292531,87.91592789,192.5725337,150.0303072,52.49127851
cnrm_cm3,53.74517577,37.53598894,38.29339082,80.43580137,236.4916425,267.6943643,150.9341943,145.2253712,223.0242985,188.5678831,85.49634334
cnrm_cm3,44.53745311,38.24487155,46.02232252,90.6903316,237.5687714,250.1542467,161.5483595,151.1396397,198.1368081,185.7474561,85.62809862
csiro_mk3_5,3.347294024,1.834588543,1.915074084,6.529725092,65.67577689,93.28213378,85.73082597,64.32204642,113.3597287,83.12681089,16.7602381
csiro_mk3_5,41.84655946,101.8360261,91.70537199,84.61730562,113.8201368,88.36500277,22.75098256,6.624382194,6.009227565,2.794138968,2.30658561
gfdl_cm2_0,23.211155176174287,12.113979475841,6.464604186168572,3.0655859879071423,22.014924526208574,199.36884743808565,225.5332172939,203.48800659192855,384.8982761925714,201.60634286042858,62.144090379985705
gfdl_cm2_0,23.167746288432856,14.147057507722428,9.79324102402143,3.774247067315714,32.87979861668571,154.56186839517142,184.0764912196286,203.6740624566143,351.51090567442856,180.81865147185712,74.0489207677
gfdl_cm2_1,42.19024092811857,23.62476919804343,9.888936817645572,6.256414038790001,18.875716073181426,31.100807939255713,66.77170957837143,187.35447147917142,280.3656289234286,292.07714843757145,125.66642325272858
gfdl_cm2_1,41.85552976812429,25.029676944018718,10.936039098669713,5.211891157292857,19.542481831145714,37.86983653475714,83.41144534517143,218.2899605886143,315.17667497914283,291.32839747842854,122.15736280172857
ingv_echam4,68.99892943241429,54.71783202030001,85.81036049965714,179.937310355,277.6539001462857,267.2157200405714,192.93451581671428,157.46274457657142,203.51634216328574,192.65307181214283,89.01547677174287
inmcm3_0,16.409922872274286,10.687427248264285,10.462228604727143,8.701852798464285,24.14092785971428,32.868427276614284,45.724931171971434,62.40414374219999,67.16136714395715,42.20939935957143,28.725810323442857
inmcm3_0,15.668314456928572,14.578204223081428,12.100431612562858,10.744549138202856,19.792998586385718,22.531408378062856,43.28893252781428,61.50687299454286,59.45317241122858,48.029739652357144,25.96692371367143
ipsl_cm4,23.132082530424288,12.519431148262857,5.754350262019428,1.4553079307080001,5.754038163592858,29.239065987714287,61.57206944057144,29.479548454285716,23.089840616500002,13.13991750989143,15.904849529271429
ipsl_cm4,23.347444534324286,17.015293019154285,8.8107658795,3.0077445379322856,5.242343085154286,24.73228604452857,61.067236219157145,25.338874816885717,25.970975467128575,12.460676329484288,16.2862475259
miroc3_2_medres,14.269435541967143,5.313620720594857,2.773188222733429,5.972627401358571,23.152755328585716,34.15785149164286,18.58347497665714,23.969890049521428,54.698821476528565,119.6553617206,61.32883943828572
miroc3_2_medres,16.49083525794857,5.412848642891428,5.064802629612857,4.92843386105,26.645585605084285,41.59277561732858,14.963818141392858,22.432726996282856,59.685591561442855,171.2273515974286,70.68802370342857
miub_echo_g,62.86243275234285,53.63191059657142,69.40015683855714,189.14109584257145,316.07447378971426,330.845929827,318.69631957999997,325.2559029717143,260.280140468,209.0145350865714,122.62815638962859
miub_echo_g,63.08459799629999,43.451142719814285,66.38896506171429,198.38971601228567,344.62498256142857,310.756212507,316.31109401157136,303.2915431432857,303.69925144728575,228.69943891257142,137.55517360142855
mpi_echam5,23.545310565411427,17.90010288783857,28.08216285705714,57.17700249807143,132.08014896935714,134.05010332374286,121.06872667571429,165.33667864128572,192.01040322445712,143.95098985957142,66.31842858451428
mpi_echam5,20.94453981945,20.23510285787,25.100545610714285,60.7274998256,123.72532762791427,145.74794442315712,124.3112106324,149.11774662567146,180.6319645472857,162.67574201314284,72.34826115197143
mri_cgcm2_3_2a,18.420829500485716,16.080404417842857,30.973199026928572,39.475993292671426,163.32282366085715,209.4591958182857,104.28464181077143,165.49801090785715,302.680380685,177.44888959600001,63.51666586738572
mri_cgcm2_3_2a,18.873586109714285,11.747815472752858,22.8623210362,41.65679277694285,144.786754063,166.66597965785715,90.73866108495714,164.15563855857144,272.4385005407143,212.2531694682857,69.53895950315714
ukmo_hadcm3,12.277173791611428,10.571609497065714,15.258149964457141,23.818065643314288,95.73562295094287,145.5318167550286,75.01475007198572,68.00222914561428,89.3522911071286,117.60052381232859,37.9099080222
ukmo_hadcm3,15.955818993694285,12.270387377061427,14.044724736904286,34.997084753842856,95.56290871762859,157.73532540482853,80.23303849352858,82.71517453877142,105.57614844199999,118.83935328897142,28.190584182757142
ukmo_hadgem1,52.80949694762143,35.810389791227145,38.19146701268571,62.13004575457142,105.49726431718571,274.2821382794286,80.60624831051429,72.26861000059999,141.80264282215714,212.11910574771431,89.45323617105714
