GCM (circulation model),Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
bccr_bcm2_0,46.68548772,28.79019953,30.35622722,40.36336399,66.19725432,125.3183978,237.3362687,204.3681194,168.6949639,92.68382543,60.71030515,63.49204263
cccma_cgcm3_1,15.2712192,14.43475026,21.3627226,27.89184345,44.82574891,107.7633451,205.3678963,195.5015998,156.1915672,101.7134526,51.12389993,27.66028311
cnrm_cm3,44.83867557,31.86185849,43.76515629,65.47463222,91.81478589,184.007649,260.0945559,233.0777164,168.0248068,132.117426,117.4947544,72.7839145
csiro_mk3_5,14.92596426,10.49940296,13.56184524,21.85925681,40.45003368,63.91153098,144.6650869,188.2053667,183.4681366,111.5555125,44.58313031,21.24675932
gfdl_cm2_0,17.098684260009602,12.416098526662488,16.832788267207164,21.859523135405126,38.95146004863623,86.24257486319453,203.0591766559965,216.51381605705834,162.04181298110174,85.94100927252909,46.89991870178284,22.853087495914593
gfdl_cm2_1,15.511219253845336,11.173742590225023,19.04431964234605,29.166610558329637,78.75340932872258,173.4658942053967,211.44750686240442,209.83546825848416,196.91872054920796,139.51526484868938,50.55489605085203,24.12297662803561
ingv_echam4,26.222517155966045,15.505654747279955,32.6262030459026,63.49254579884857,113.73718427977005,189.70394721915576,221.24467410876645,216.77740544340443,184.48160725144692,138.31825475779735,81.75124543005839,50.94036601154104
inmcm3_0,62.78393790151859,30.35820144890726,33.765377241954255,33.076197358348544,49.138805422638015,70.92283987365144,160.80611001811113,182.79859853636464,139.87055039195806,101.17583987988223,67.80815082314601,64.359380671423
ipsl_cm4,33.34533883617907,25.900868097304336,25.935091909281066,28.27371031059006,40.13360121595802,50.510048387841934,65.6304162477063,69.01046139213369,82.13100972745792,70.57371053231397,56.033859691791505,42.532582443382914
miroc3_2_medres,23.993294242210446,17.467512953070916,18.022878668609813,29.06921688592729,71.57889001558132,212.2253163852275,264.35928946471336,241.31361895536725,176.8852394239124,109.70231064652478,70.75322281575053,46.26731475052838
miub_echo_g,23.628525081987696,16.540576677275926,26.944221354955317,38.30575824627904,53.127464813492686,91.41913865940695,153.82165074348205,173.23887181916194,143.70499211709026,93.8437106493469,56.41466582984159,34.969038896870465
mpi_echam5,22.35284788313748,14.212532305344324,20.00075461204429,35.794169946836725,86.28182850534078,194.87553936611053,206.7818794672151,175.1596648229046,137.07222295435886,80.69006391119692,59.334619583278574,27.37177134245665
mri_cgcm2_3_2a,18.47606743937909,16.644735019159903,24.71519504079481,25.539135810546334,41.64262653074923,95.90108618169765,141.30649695987665,141.56972515873437,103.77457176775152,69.12924412023213,30.30003668936005,23.7729409869776
ukmo_hadcm3,20.888255338227072,23.03104281030459,24.3785600361554,34.307577684666114,44.14061511801139,91.46449515250362,207.11515819500934,234.44244335813627,136.72313049199533,70.96304166001099,43.74625952372993,33.35374253882654
ukmo_hadgem1,23.353294440078106,23.161046398825167,34.17466359725065,52.04489702883097,56.252344301817246,87.4607179407478,202.17568732575805,199.08751481406378,124.01307803973089,62.24265371066372,55.85809511421632,41.19943266316761
