GCM (circulation model),Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
bccr_bcm2_0,283.4988255,248.6521702,246.2769638,216.3787752,223.29547,189.9752604,234.4991667,237.3028789,225.2839928,225.9292647,209.1589438,290.649432
cccma_cgcm3_1,306.3695897,248.437532,245.2237316,203.5193428,185.5718536,124.9279429,117.8767964,116.6779408,119.9685366,154.8420114,166.8155199,243.4330825
cnrm_cm3,261.0673404,236.3011244,213.1814357,185.1375862,202.4055362,181.194885,213.7469806,196.1804182,167.7733139,161.2692076,157.8605882,204.5202577
csiro_mk3_5,263.3885696,218.4964311,230.6055501,253.3272105,250.0694122,188.6037802,169.5288787,168.6931803,188.7864173,192.928227,208.5107966,279.6068298
gfdl_cm2_0,325.72147963431127,273.58304424136196,297.719765117184,255.6994395947535,275.65978302118856,232.68795345392977,230.04023534472054,253.32705714687555,246.42912565478255,248.68715778382577,247.36248191075498,325.645631513519
gfdl_cm2_1,360.85109798051144,294.9514648786679,276.72360031477103,265.61451249452443,268.0435998931069,244.16446001471837,218.58918373453045,215.31323509362446,223.45276398695654,227.6733046961549,259.4915285766162,320.50995560271735
ingv_echam4,240.8471672116251,174.7579433645222,190.57715498946274,196.59343503994572,224.05242768494813,214.08372906690389,202.91930236888058,176.61808206654558,146.3122569513742,179.15387215141175,184.48095722053063,228.9105158798473
inmcm3_0,268.423573151855,241.51477440988245,224.9103491979877,188.5249358897886,188.52255132548018,156.24049755999704,124.40091684938164,133.27956116652666,147.2591279299138,211.44258571941756,234.47705712934882,240.3880827227252
ipsl_cm4,334.50657898414664,310.7568384709152,338.45749705077185,304.3581608779617,286.3450450751526,231.72608758477713,193.25536981251062,180.6587469959742,199.52535654572068,229.4642315784266,249.8588822925321,285.3492559185404
miroc3_2_medres,269.34029137995435,254.06728438748098,262.5477648436817,252.25146437781677,209.10931163522753,170.26692691830542,201.98331579540607,227.20413231300233,228.86688334345732,233.09152291564578,248.017279180862,264.33187272167186
miub_echo_g,262.0927044817634,238.80776971718697,229.2404797386794,196.16970842666422,205.923504254258,169.69925171362897,131.85974361332836,163.46536856205887,180.79158255888555,172.39981992007557,162.21992012197103,232.94670687374128
mpi_echam5,297.56170869785035,259.94159989688006,223.01598072781152,193.8163958833573,251.1708653573236,225.1670820076199,224.01485408715436,201.85293966032256,200.44934657879796,167.47936917808087,224.95794380712923,281.54223557097714
mri_cgcm2_3_2a,213.72519430492602,195.50600520709702,208.05616888380763,204.99528025853743,174.78845313856627,122.55712284932443,114.73750864278244,135.09110696805953,139.42462869820167,144.1379453790083,181.54252334038387,219.79054312667944
ukmo_hadcm3,418.216024617168,324.37293319122153,367.97617171197703,314.08977013505796,312.12749987884723,275.7054279123352,252.3310492857726,240.37468109422895,247.1200236546099,254.77882157393435,283.68404825221296,366.1494757966029
ukmo_hadgem1,410.60093071625965,344.88338121019325,357.97369821562825,298.6516404479313,262.73534014756495,216.5813323450068,206.9386595733351,170.4953446024223,153.53105867543016,205.04264013274727,233.8562488701168,341.8778848429314
