GCM (circulation model),Jan,Feb,Mar,Apr,May,Jun,JulAug,Sep,Oct,Nov,Dec
bccr_bcm2_0,302.0442789,247.6171488,239.724484,217.2694971,203.1679148,200.3933857,214.3801809,238.063184,223.7252739,220.7826925,205.6289821
bccr_bcm2_0,292.3921504,244.3868823,264.6746384,201.7875834,207.9847939,188.2145981,226.7887567,251.0970353,235.2452435,230.6953872,199.4897779
cccma_cgcm3_1,309.4612392,273.9789287,248.3586023,215.1601046,178.5856863,140.6622869,128.1297173,126.4550579,121.5416807,160.6846419,190.7159831
cccma_cgcm3_1,300.2786086,255.8543774,245.8295913,214.8553395,179.3105304,135.3826767,123.5740904,124.2737897,117.6617068,156.0785859,171.4957851
cnrm_cm3,268.704166,226.3769291,191.2001583,199.7753793,203.9393478,194.5816011,201.883309,182.2568975,144.1784656,163.0761109,162.3589147
cnrm_cm3,275.3111794,228.1042517,210.1674582,194.4081458,201.8123571,186.9062261,194.7224221,201.3280346,147.463351,168.7870181,152.7270368
csiro_mk3_5,245.8082608,195.8426305,214.727666,223.2895109,269.1146508,169.276751,132.9429555,157.0505394,160.6300785,161.5518188,195.4008684
csiro_mk3_5,267.5001065,153.8316036,147.7707818,155.0281757,190.4573578,173.9262491,237.0923567,278.2257018,254.7839462,237.383787,226.2508372
gfdl_cm2_0,310.6129084580076,274.09222508203214,288.1846948288634,288.77772820452736,289.41672178080006,228.07931183677553,231.08197021483585,262.4524620288954,246.7338399668719,272.0140988590298,251.82744639158918
gfdl_cm2_0,325.0524486512719,287.37383373636123,299.3558006286863,283.58660419839305,311.3259963406824,248.0726271185435,239.8981199046,272.70693966088174,261.7311589481177,251.74770988578553,256.0728187560818
gfdl_cm2_1,334.63320625834814,282.2226994055902,286.3866663634321,269.5579464744618,282.4467491557189,246.86533370272127,225.45745345835883,239.52585678975348,239.08142253641836,248.14906156697552,284.756179576561
gfdl_cm2_1,351.37376642590834,290.6109037617657,311.19854148110244,274.3818624365709,283.81024996925805,240.7673779261901,219.64831251771525,217.47391795383285,227.32772505371977,242.667748050797,250.16216181979533
ingv_echam4,253.5969374561588,185.2281543353229,188.92312726900607,207.3578437630871,243.66273684901753,210.46973985570915,201.1349089818947,156.91584366967552,148.16458443735522,169.4038390494802,182.84127325685725
inmcm3_0,273.2231829111871,227.10131608803343,223.87003751569938,176.4720840017428,191.53980000328474,168.40049603872586,138.95366132896876,134.18493844533506,137.82474194593897,216.41497668783506,222.26782296446416
inmcm3_0,287.732067195481,214.47058574298399,226.0648237330007,216.77536826098563,190.8366968577329,166.71473752087323,126.52867621500452,126.51510576437865,154.56824130871985,208.87222974360145,244.18153468711836
ipsl_cm4,312.7340452761961,316.8393804244306,331.5046214620709,328.7682677407063,309.7314742575955,242.5868983960244,195.95662367436577,188.91742157389214,210.0899703921049,248.69989121415662,254.2005929728755
ipsl_cm4,320.48463198244576,326.18618203664886,345.7636272634237,328.15139153161437,308.13141556369453,231.13040271791758,190.11920713467333,177.10836441457064,192.60761564563595,237.17154478116947,258.03642674800693
miroc3_2_medres,277.9902901685955,248.43192326201523,266.6209929953856,249.88036987068713,221.80569714264115,163.46194029941367,205.07132354035718,209.21166104029228,223.8368485428794,234.33271961356422,241.352404703568
miroc3_2_medres,276.52241772371747,256.8580070087861,262.65220793513606,247.03187386312206,211.51265320521526,168.51074201280002,214.76388060594257,251.76421723109704,234.37816418945795,230.73035762870228,248.23935798469165
miub_echo_g,299.02594984218115,245.45133977990764,220.9867149527901,199.2053085211001,198.1358558712779,166.69318544225723,133.04551954486072,172.68770493075422,166.0373940576886,171.06218163292203,176.6114194884565
miub_echo_g,293.0516570578627,231.78210688005194,234.75552612771756,198.58317338783974,206.8347442277519,160.421085241213,143.05090324750384,175.26029288314572,169.11677337233596,163.8118938271131,182.61929641604584
mpi_echam5,304.7065999853358,222.6405329813863,201.2579545756595,197.58080984798474,248.3417476916214,207.981795558508,185.14566690320234,191.44707789313983,168.12523619094816,165.15755661391526,217.58414562599938
mpi_echam5,284.47508880381463,234.41644834560915,212.93461335160686,212.54534143345037,234.3725403356275,223.16656342356038,183.9727335194446,188.17131910162843,184.20905590422313,180.9103728287268,216.73044258585347
mri_cgcm2_3_2a,211.25769572950003,205.20320289552737,212.60353292220609,200.99201793525265,174.97099982688854,121.41182583524885,118.39771698812669,138.92795973332133,139.3686687090985,142.2611943383336,209.11128796875573
mri_cgcm2_3_2a,216.59015242019623,196.75098139636188,219.74336047577722,212.8393854621725,169.66671476294803,119.41180341296956,117.36992301650376,129.70018899348923,129.41236581146447,130.7684213168543,184.03641204251076
ukmo_hadcm3,408.3602695610687,338.6432220225833,364.1826273794886,328.0100095326794,310.2013001186946,272.35272406078553,241.28318223151373,209.4287505550421,225.96631451962864,230.687396169641,262.97023372795496
ukmo_hadcm3,409.1656425418015,346.5687116375365,350.3888580671603,321.67884116138146,302.26554404691603,269.368353661642,248.75696381718785,242.2966173186557,231.9714408648938,248.5309067500581,295.41727511577403
ukmo_hadgem1,410.32157105892355,325.0135088330353,346.52062132162,309.3736137215879,266.5929933504582,212.16022593371906,206.55649490939848,202.90013430501395,173.57492363181206,214.04854010807702,246.69403958499234
