GCM (circulation model),Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
bccr_bcm2_0,146.0695095,123.2014485,128.9235331,114.2014651,134.1042495,156.494232,166.235817,144.7510639,154.7529875,163.9576394,149.1764542,162.5652719
bccr_bcm2_0,136.2777087,119.0572402,136.4220049,106.2799341,126.6977501,157.6086974,145.2422478,141.2536995,152.1984323,173.7204381,160.1725213,167.4969304
cccma_cgcm3_1,118.6021781,96.90565912,125.7865044,137.8862513,159.7230554,170.7217369,137.3577266,147.5507586,154.6046253,105.3560602,85.8652667,124.505514
cccma_cgcm3_1,116.2619464,103.2743406,132.545432,146.6797064,151.7322508,162.1495667,123.4847546,142.199907,145.5956493,102.4383528,93.89091301,115.9252675
cnrm_cm3,106.9353481,87.71659138,108.6205911,128.0581025,139.7295568,152.3917781,168.5018564,175.4487582,155.4237748,131.916765,117.1825845,113.747162
cnrm_cm3,110.5310468,88.37124167,104.3758913,122.0754321,141.8242346,164.9860968,176.1029836,163.6019795,146.2594167,144.4577743,125.8090522,117.4581784
csiro_mk3_5,95.23906407,75.66870599,93.49358137,96.7832219,136.4236075,167.2605252,202.7122152,180.982917,183.0917059,118.5992169,99.65095791,104.3339983
csiro_mk3_5,152.631117,178.0523445,196.5688493,165.8757244,177.1544065,128.9580734,105.7202219,97.66173664,94.74254503,90.93440728,93.27429591,110.9641422
gfdl_cm2_0,101.97553519202101,89.12439346312897,113.65421566201314,121.31872438128161,124.7381549633921,138.00184450652634,134.9385926096184,134.03330029933946,107.8142050692684,85.94338467248421,104.23699228386579,113.6244292008
gfdl_cm2_0,104.50022466562893,96.75370974289736,116.01364878597104,122.31866294466315,137.42985333895263,135.2619797555763,145.83312988282896,127.5139075831263,107.1164455413895,82.92860784032105,105.40743034762372,105.2423068598816
gfdl_cm2_1,94.07569408416845,89.73354891723682,102.89742148552108,108.76897992580525,124.20412685988944,132.63598030487637,125.19379866748946,136.07791097545797,139.93374222207632,80.82446228832103,93.10895548365261,96.92385432596579
gfdl_cm2_1,101.65126158056316,87.87211603868684,103.53216100991054,109.48923462315788,127.17589328167367,135.06176757809732,149.52593692978684,146.32695549410786,142.6086267169816,105.26154196885265,113.49386054591056,101.8231976157737
ingv_echam4,117.07670904459474,110.69386291504476,112.91398871574476,111.45413017279473,136.32289665629997,151.90745092688945,137.61237495823949,128.90095760940525,143.82564604917633,123.1043604800605,115.60417677221578,116.69590960045788
inmcm3_0,130.57715084678418,111.55222350674208,137.39169953998945,112.56180622700522,116.81929216886317,162.61875232892106,149.76947322647368,152.9177350496895,118.89079445288685,110.35739477057105,96.32417779215001,115.50291141713947
