GCM (circulation model),Jan,Feb,Mar,Apr,May,Jun,JulAug,Sep,Oct,Nov,Dec
bccr_bcm2_0,59.12719256,36.36890024,57.83085937,89.39533106,206.0901499,241.0819631,285.5117442,263.6245656,226.4434153,146.1366399,95.78807348
cccma_cgcm3_1,28.41362254,29.66358185,40.04185219,58.76984075,113.86775,186.3338694,204.0221914,277.7425822,194.4812388,103.992261,46.23712718
cnrm_cm3,40.4750927,24.67280343,33.73740018,62.31641617,109.5342674,223.3551727,265.1637624,258.7603129,193.0780457,109.2003398,69.12616119
csiro_mk3_5,10.09864268,10.16949285,11.29750201,27.424624,102.6422513,256.4883687,225.7086166,253.7306203,195.2025991,53.02628435,24.70945431
gfdl_cm2_0,12.202819792430002,4.935596271353201,6.802916391688666,22.976079305006667,157.4771194459333,317.2039489747333,327.39647216800006,308.9359629312667,174.59902369182666,62.241590754186674,27.767756811782
gfdl_cm2_1,11.511012546217334,6.371754749612799,13.253785292303336,43.58766441345333,172.97546691899998,296.2385742186667,358.62800699860003,300.0374837239333,180.15013580325999,75.95541464490667,25.804010295915994
ingv_echam4,19.65217744506,20.56041811307667,72.20733184811334,142.41514434820002,220.20687255853332,216.02562866213333,180.4955993652,209.89612121573336,207.97261962880006,85.69380925501335,48.39931399028067
inmcm3_0,21.851739247626668,25.98715718587333,40.95180435181333,77.63411610920666,145.85598297128666,165.9081670125333,172.0149948120133,201.702027893,203.52048746733334,110.89271799727334,49.551869138053334
ipsl_cm4,23.77187410990667,20.06106497446334,30.622549057013334,51.8438129425,97.18500137326666,132.10461120605999,189.53105214439998,280.6258697509334,138.02250417074669,106.37063293458003,50.26049041751334
miroc3_2_medres,46.38556696577334,34.652196248373336,39.955509948726665,60.37155125935333,248.1278106689333,310.1839274088,284.44230448393336,239.78590393060003,215.4285502116,158.34054361986,94.65108820596
miub_echo_g,35.41711228686666,35.875096511846664,62.57518603006,122.77427825918001,205.60138702378669,248.78166096999996,277.27193603506663,238.36740824386666,182.74571736653334,108.56661885578666,73.44392522174665
mpi_echam5,12.716934124626667,12.055902004239332,23.738975969953334,73.44895604449333,188.90304056799997,206.5089080812,228.5063252766667,250.08077189139996,116.55957387280667,45.16320711773333,32.08440500895999
mri_cgcm2_3_2a,22.63779519398667,21.668935966499998,50.67464548746001,137.59485295614,270.97644856773337,206.88459981293332,155.5806574504,184.51438089993331,158.62172648123337,87.93453852329334,28.148128636666666
ukmo_hadcm3,16.721106656392667,14.289833132436668,22.937709363300666,74.12562090550666,183.60094909666665,287.7210072836,199.10612386073333,226.53473612473334,204.01398417160001,93.22590713507336,34.29600563048667
ukmo_hadgem1,18.39126062393133,16.680928961434667,12.627193363508667,31.329272715253335,174.47449849446667,297.15902913419995,229.55917409264666,304.518480428,317.3814249675334,151.18084386185333,61.535201899206655
