GCM (circulation model),Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
bccr_bcm2_0,46.22895152,34.11479085,49.83029429,91.84405924,193.0026744,241.1909475,282.1174021,272.7851095,219.5607391,141.9672246,105.919488,73.84053421
bccr_bcm2_0,44.74771881,31.55112165,43.80842336,80.241716,186.1265523,267.2953461,278.4207998,280.8232269,227.0210175,118.2728371,78.87204412,55.45756734
cccma_cgcm3_1,37.82272568,27.62843781,46.55457776,66.4620519,120.8247528,181.9210744,236.789681,294.3273071,172.275057,75.27075094,39.93286349,26.9312547
cccma_cgcm3_1,31.65256577,35.36807264,44.55061989,66.9800855,123.1858098,188.0417043,238.5944804,293.5099538,210.2147237,84.70138295,47.00097555,29.27153289
cnrm_cm3,26.83180059,19.10377442,29.30964909,56.64873924,92.66362915,209.6663096,265.1228689,285.0882985,173.0279063,99.37373276,85.55918045,48.49239299
cnrm_cm3,26.9210928,18.23488604,27.29282449,61.04359283,94.73585993,215.6457347,274.4653849,274.5915761,192.8508158,98.46633224,78.5089742,50.25954933
csiro_mk3_5,8.761187692,4.414623234,7.240698592,21.32703959,70.25520299,239.0973262,220.9978653,240.6753215,202.7227458,70.91911112,15.54200883,11.73049292
csiro_mk3_5,96.85611191,199.4048701,229.8634603,247.0372976,218.6932638,58.91714331,29.06109012,12.12585353,8.115036088,6.499834631,8.814078633,38.47813644
gfdl_cm2_0,6.985817348957332,3.3325301547842,5.442497380571334,22.85177148183333,135.94930165617998,289.93582865406665,329.0057718912,325.4232401530666,185.89239247644667,95.82042160030666,32.26837355300601,14.163002141318001
gfdl_cm2_0,7.906479255358666,5.641688426333466,4.5045884251574,24.688625335693338,128.21359863282666,313.2571990966666,334.2634175617333,309.4763854980667,174.25643590294672,97.93088671366668,35.60404542288001,13.303459763539001
gfdl_cm2_1,11.421750720336666,5.7384940246774,10.271969906493998,40.96242993672668,163.52510172533337,318.0751932780667,353.015049235,316.88674214673335,133.73393834434003,75.34682343797999,26.82569135027267,18.164995384220003
gfdl_cm2_1,10.361792300149732,6.281190558273001,7.658342901865999,36.494337463386664,168.77238108299997,321.9475748698,347.12957560219996,295.9453674315333,149.26684087121996,77.30941365561998,38.27241636916467,19.307700506853333
ingv_echam4,16.874771002949203,19.716376940411998,60.63517608641999,132.79653015143333,227.86706034346665,212.28850097666665,182.51604970313332,214.3008127848,209.56226603180002,92.87885564168664,53.49026991529334,34.40231353445066
inmcm3_0,21.549020131428666,28.483771959941333,40.93975423178001,54.26808980306,119.62330271402,176.2817209878667,189.4399663288667,212.14165751146666,226.18215535479996,76.37272593182,45.18629722593999,32.037382570906665
inmcm3_0,26.05682576497333,35.14964866639333,45.02182744343334,58.7252281189,115.01761881505331,184.19922129306667,201.51490987141332,237.29063873293333,226.7585235596667,82.38849321992002,41.29468930556667,40.38372141521334
ipsl_cm4,18.576446024582,14.791922871263335,15.841892655692666,29.92180067698667,68.36128692625333,107.94869435627334,177.5875208537333,266.402154541,141.71908671058003,98.15456364951334,48.80106480915333,21.632124582914663
ipsl_cm4,15.655515225737997,12.018018484110664,16.898612880708,32.06431446075333,80.4724632263,116.73488616942667,186.66374715166663,248.01067504873333,146.24521433529333,95.20260340386,51.08232167562,27.84534066517334
miroc3_2_medres,38.00706043242,17.20996672312733,30.3426156362,35.66355361937334,210.27583211259997,298.1136240642,263.1787180582,251.26151936846665,177.78096008293332,145.9107452392733,83.64689674376667,60.31285114286667
miroc3_2_medres,35.147196833288675,29.221244049073334,40.18120180766,58.55340118408667,227.64437561033336,297.86331075033337,282.70552876786667,202.8375834148,189.57669169113333,153.45873616549997,105.73312886559332,61.483637237479996
miub_echo_g,23.434753799449997,26.68922481536667,75.95876007076001,141.71563415524,193.56408589682664,260.6496398925334,279.1177663168,221.87087707513328,202.97392069486668,108.6892659505,62.65049158735999,48.75537172953999
miub_echo_g,29.97278607685333,37.94813550312666,75.01767527262,144.47457427978668,196.1629114787,252.2476816812667,282.2999877930667,237.6250132242667,182.56529439306667,108.48863932290668,64.65061009724666,41.645116170233344
mpi_echam5,14.288940223053332,9.717570527398001,19.541756121320002,63.73256556189999,193.65700480139998,208.6247019448,225.67257588713335,210.28199564606663,124.75484822589333,46.40287818907335,35.389825312313334,20.964927434923332
mpi_echam5,14.399560101829335,10.119528198239333,21.557539876314,64.26888949078668,184.92512207033332,188.40247090646662,231.97668558746665,241.21741536460001,144.6697026570533,50.18833223981333,32.084814961761325,23.82820803325
mri_cgcm2_3_2a,20.872588157640003,16.278491115571335,34.546055857339994,119.09783172616663,259.42561340333333,192.79192810066667,168.71259358713334,194.57595418306667,146.27049687683333,58.090658569320006,15.671136252076666,23.157476774842
mri_cgcm2_3_2a,22.632030105599327,19.828345680233337,44.63435910542666,152.21421356211334,265.71408894866664,194.00300496413328,157.72589314786666,175.36918843593332,156.33698018393335,75.26601918538,18.805783208213334,20.51017942428467
ukmo_hadcm3,14.779100640616663,12.965729729336665,23.803072961176,65.28569297796,211.07364807133334,275.45218200700003,209.69750874840008,235.2289154052,224.3245961508,95.26997629809333,43.950464375833334,25.787483215317327
ukmo_hadcm3,15.502392705289335,11.624660078689333,25.14657789865867,66.15123418168666,180.07461853026663,288.9000651042,197.04491984060002,202.52375996913332,231.1682718912667,87.44663950599332,31.281635475159995,21.365694236760664
ukmo_hadgem1,18.452173201242665,15.561422697702001,16.245531606674668,28.163345591233337,158.33601277666668,284.0916890462667,211.68757680250667,264.5350443523667,314.8235972086,120.53108189907333,46.76658147177333,26.33867702484
