GCM (circulation model),Jan,Feb,Mar,Apr,May,Jun,JulAug,Sep,Oct,Nov,Dec
bccr_bcm2_0,249.1007385,208.6192673,244.7682205,172.9909691,72.78864594,17.91156363,8.293993366,5.908776224,4.9160092,26.48492556,152.0232887
bccr_bcm2_0,238.1515503,228.6893234,248.928624,176.7280991,82.95269012,14.19966745,7.012350559,7.429567528,3.305132079,16.07481928,156.8065033
cccma_cgcm3_1,224.1228149,194.2192841,130.4672424,40.56790771,27.50161343,20.00084066,16.63341513,11.46937432,6.125038242,17.12004433,93.9025486
cccma_cgcm3_1,239.9056564,232.2790421,150.0584503,44.39446926,24.30672951,22.29553146,18.13479757,12.98054705,7.604693556,11.87926664,76.98368301
cnrm_cm3,300.9563141,261.3096878,240.0299042,153.6517876,53.05025597,11.16081803,6.518090892,5.433996558,6.504693425,53.64529457,147.871994
cnrm_cm3,294.6296021,265.4328369,206.1184937,133.0572777,49.54393921,10.03533385,6.62120735,4.672403264,7.21447835,52.10516205,188.7499054
csiro_mk3_5,277.9348694,214.3549072,205.245047,39.15697031,6.931838328,3.347694091,3.958803576,2.233392006,0.703259157,3.474329233,118.9495514
csiro_mk3_5,3.8433666,2.45180041,3.556228382,1.730876882,1.290167212,2.636948723,143.7972313,268.4563309,260.0011383,276.1937897,180.2786804
gfdl_cm2_0,356.706011963,284.3241592407,174.13673629759998,52.18671894074,13.345247030257,7.683776533610001,6.336419934043599,3.658328050374801,2.1619855463507998,2.9587750136863002,73.80343780518
gfdl_cm2_0,370.07007751480006,322.59775695790006,206.47191772459996,40.94655628205,8.287220311165,6.049187803265001,5.0075062096165,3.3313627183395007,2.9506953984455,3.9763691604126996,85.79248580932
gfdl_cm2_1,334.003607178,263.9277923585,199.84249420170002,81.87220497134999,34.47966842651,14.220275688180001,12.523143362999,5.5696765482424,1.802667087316,2.0921100735677003,52.94425086975
gfdl_cm2_1,303.96920776359997,259.79192810050006,225.1291519164,76.14235000607,34.09900646211,15.699947977063,9.733928012846,2.8399519860732,1.6664795339112,1.6410099267959999,51.949091720599995
ingv_echam4,240.90069427500003,196.7855415344,192.1605239868,61.54538230895001,17.200755882269,7.379807224862401,6.160489839307901,4.440893739462,6.157488870623,55.05919837952,236.216166687
inmcm3_0,177.83811187736998,185.2743713379,141.94660263050997,40.96550807954,10.198589229581,7.026423335077,5.084799170489999,6.325803446768999,6.2572917223,27.791816329949,95.87549591054001
inmcm3_0,165.66749801646,168.86160583490002,177.52029037459997,42.35465564728,11.517669725427002,4.9236046791109995,3.9481847763060003,4.759826850891,6.882714653015,20.757382917411,83.35206012732
ipsl_cm4,222.1065078734,214.99527282719995,139.46324386594,59.308598709099996,22.4025332451,9.404234266286,8.008577823641,4.32549291849,3.2069917559630006,9.191699218744,21.268235492699997
ipsl_cm4,220.1888198853,213.17973022450002,147.5467521667,55.099258613589996,21.64075489043,7.864726114272999,7.523994946482,4.468352615829999,2.633865964415,5.6956463813810005,27.709896659850006
miroc3_2_medres,252.4558456422,282.20548248290004,198.36744689940002,73.70474433898,39.741187858580005,32.74202747346,25.195403385170003,12.178235006323998,5.25741276741,14.466919231409998,67.50679283142999
miroc3_2_medres,245.90901641850002,267.9783187867,212.65288238529996,69.43007507326,40.71181526184001,30.426726150510007,24.75630464553,13.091917085662,6.6190209865580005,10.527380371107,49.673527908329994
miub_echo_g,245.9285247803,175.43800048830002,151.1929626465,48.46204566955,14.475723838794996,8.365591669080999,6.838472080230001,5.64865922928,6.521147608757,66.19138526915,204.04286651599998
miub_echo_g,231.92007141110003,183.14963073730001,155.88760833749998,51.065240478519996,17.119643497480002,8.563018035896,8.661206769934001,4.183869349957001,6.976331710814999,61.21431388856,214.30951232910002
mpi_echam5,160.86929473869998,140.00034255999998,99.29399795514,34.308860778820005,7.444433188442,1.6548825338476003,2.7084794342512,1.4231481835242799,2.4784355819227,25.6087966919,93.29106597894
mpi_echam5,166.81565856930004,142.73861389150002,110.97826538088,35.256320190429996,5.789527583125,3.2692205131060996,2.3059358328574,1.26233192570564,2.2773592710489994,34.64732151032,90.78153610227
mri_cgcm2_3_2a,298.3034103393,248.82935943590002,206.39363861086,66.38234844207001,13.053635740276002,12.12988233567,9.566348123548,7.035131096843001,6.946763801569,33.86164855958,159.60883102411
mri_cgcm2_3_2a,284.1394073485,238.0436462404,200.03257293699,64.90629997255,13.187077808382003,11.548925018312,8.856898117072998,6.5007512331,8.616964530944,30.926238059999996,150.01373519885001
ukmo_hadcm3,236.54984436040004,192.3917709352,115.08413085936999,44.545560264580004,12.661236596104999,10.728668498991999,7.4600391507140005,4.527883338930001,5.264853763580001,16.256255865106002,64.27284698483
ukmo_hadcm3,237.76837310790006,189.919165039,115.95655670168999,43.06633205412,15.775088119505998,10.543332004544,7.466116189955,4.998683083059,5.983255934716,18.04187631608,72.55204467777
ukmo_hadgem1,281.257849121,245.53741912840002,156.76708145143,52.62654552458,18.534185123453,10.419163942341,9.0609254598624,6.797042870515999,5.78303370476,22.31623535155,115.51288146963002
