GCM (circulation model),Jan,Feb,Mar,Apr,May,Jun,JulAug,Sep,Oct,Nov,Dec
bccr_bcm2_0,49.70672035,34.38141128,46.3342126,62.45646918,149.4899327,234.0309279,315.4922361,281.9645953,201.8420789,120.7385299,65.40909106
bccr_bcm2_0,38.03328729,31.80380636,39.59980685,55.64432418,139.0738916,251.2505236,322.155302,288.2251916,206.6957245,100.3870096,73.40478891
cccma_cgcm3_1,24.37482196,19.2151337,29.24625611,49.46555203,114.4013003,243.8857713,303.1959891,312.2407322,220.2089438,104.2666354,34.90409881
cccma_cgcm3_1,22.40892121,24.50552714,29.20490864,54.63609105,129.3591862,247.9957728,285.6254582,296.0260072,224.6757746,113.6233569,43.39887965
cnrm_cm3,19.42840525,15.41067366,30.04823411,52.04630361,70.28998703,165.6256211,286.07967,249.7209382,169.4999917,132.1009715,109.3058972
cnrm_cm3,22.67670415,16.33478199,26.92523174,59.17328459,80.1849128,181.2087383,277.5360394,257.3137228,179.2134051,120.1511393,91.03886151
csiro_mk3_5,3.694610642,4.883788189,15.6210592,21.91055056,60.16981944,243.237196,356.4450903,346.6243558,259.5474346,84.24651641,9.728823274
csiro_mk3_5,78.93777302,215.4418867,348.5516515,332.4314671,256.7989018,69.39069074,12.94726639,4.448521708,3.744478602,7.735473885,17.50465819
gfdl_cm2_0,7.744481272994594,7.700368808582249,12.060524690668451,22.865121208107496,100.60971230269062,257.97130775456253,304.54522085184374,288.3117403984375,227.99352908132502,98.569773316425,28.655208349224687
gfdl_cm2_0,7.547229396180343,7.6555600429386965,11.626262379354323,29.641491457839688,83.40956747530937,263.95825290678124,311.4984025954375,289.8399953841563,217.74887037276872,102.88149809837503,29.679132178450626
gfdl_cm2_1,9.631120553703562,4.6840755077449,14.473038353027812,46.65227317811156,144.9243190288625,275.0965676306563,326.39485836024994,290.92889356618747,181.5829482078719,66.49937036632187,27.272599466136878
gfdl_cm2_1,5.330681134011918,8.871581966694041,10.39215971902172,38.64071676133344,145.77300274365624,307.97271633143754,310.34429264068746,277.37623596196863,190.16617751125,94.33646392821251,33.40453323723093
ingv_echam4,11.45751712517653,13.53644368053844,43.38215470314062,106.00303184987501,229.55702209465628,298.1304492950625,269.7625517844687,261.8087892532499,264.31436586381255,137.65599584583748,64.19530963895
inmcm3_0,27.669944360844998,37.25423446298032,35.510018467906555,39.49474719167313,92.4986176490781,242.35209369656246,360.2994148732188,263.6760165691563,165.61567854874062,53.11986804009062,32.836765438315624
inmcm3_0,28.3114960193625,32.409647703171885,37.68832024931563,40.68594841657686,87.33332943916875,245.41514277448442,364.1948778629969,278.41864991192494,169.12520551684062,68.26410454511563,31.661501497012505
ipsl_cm4,13.562426691868751,17.114933138712093,15.696100722995936,25.37503664940281,52.78408008815,91.22524881365,226.45288634293445,261.35687160490625,184.95595002175628,131.37192106247187,53.30864381792812
ipsl_cm4,14.323360174889686,14.461737473492281,16.623853906983125,29.640670306972183,62.05271410941875,103.15345621108438,242.37139749522188,247.1840703487188,186.55238008499995,123.90724325185624,68.42159020900002
miroc3_2_medres,16.294401064515313,12.814383201299375,23.785552278160626,41.867096014317504,213.8475611209969,427.58487462999994,312.6304550170625,298.37139987949996,194.55521345137498,133.71801066395938,46.747129321103124
miroc3_2_medres,16.936844527728436,16.859888441855315,26.788349822149684,49.393213599926874,242.86732697485004,404.57640361787503,328.29036664968754,260.60312891009374,207.35269451140618,143.98232007031876,67.90186429024686
miub_echo_g,13.649126358334373,15.690029084677187,38.6442590355825,82.0728681087531,145.5021259784312,286.5196523665625,304.2034263611251,238.828712940125,201.32867455475002,103.80896008014378,66.42959815262499
miub_echo_g,20.73012152314843,19.40673123299625,39.738814055915626,87.75652849672498,146.64475274085626,288.24346590043746,300.3968739509999,250.98794698712504,189.54121994965627,104.05857574936252,78.83812361954688
mpi_echam5,12.402415705845875,11.332076188180311,18.68293653429281,61.046338260203115,192.75104379642812,275.28537797931256,250.48100042343754,222.37493991853123,183.63595342635938,82.10595953464686,42.24320709705937
mpi_echam5,10.70370334945759,8.675774997097689,18.79506909474844,57.39163908359686,220.257340908125,256.0564970970625,255.20888471596874,238.0517048836562,187.99225020407818,78.88609981533753,37.0973900258625
mri_cgcm2_3_2a,12.17690289020625,11.494694776836562,27.704996228218747,73.13452100759062,187.31329131120938,205.46954751012498,187.5168361664406,180.67268681525002,168.87570619576874,96.14340877531876,18.000666782255625
mri_cgcm2_3_2a,13.867882423101564,15.146785341200939,33.78839795291031,86.66055947546873,178.23135161411872,194.80861687657506,181.29890561108436,173.31431651112504,173.51338148121565,105.59077703954685,21.00174351036438
ukmo_hadcm3,19.579551763831255,34.439497053618126,41.21979680658375,78.39453488587812,193.50968050954063,364.03729915618754,350.5397930145313,306.17105245590625,237.9856872559063,112.91654205324997,50.724278807631244
ukmo_hadcm3,20.51583507657125,30.010844510074065,48.84019103649,84.10454487801874,177.71264100078125,342.40375852593746,345.36169528959374,278.7262659073125,247.025261402125,115.03863883023439,36.08159115912187
ukmo_hadgem1,13.933203622695938,20.833201056347598,49.58438832309656,95.29289430377719,198.7873617409969,404.10553693765627,508.49956846228133,489.6993370055626,363.18162870400005,150.05427241325626,60.59022378922187
