GCM (circulation model),Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
bccr_bcm2_0,80.51489367,41.68193545,22.59406798,21.80806828,105.6809605,255.7453657,307.7249538,280.056172,251.4441005,268.9347055,208.0198408,140.5688727
cccma_cgcm3_1,28.73373536,44.42905916,92.43358721,147.2283009,295.720302,291.5600717,284.4175371,328.8512006,440.8406634,398.9147252,217.3332629,50.48002352
cnrm_cm3,72.70773642,35.84361104,24.17770086,31.50799806,108.9830933,223.305518,213.6448866,225.3046592,223.5101406,182.0664716,144.5750885,104.3720049
csiro_mk3_5,13.79248909,12.79197611,31.64652034,37.10504341,71.85092545,142.1879894,233.8092962,214.4234047,179.1577841,90.39464951,80.93497249,21.93672929
gfdl_cm2_0,9.68478468487143,4.115529426505714,4.181765198706429,12.541410991132853,169.2374703543143,414.577505929,273.00869968985717,224.84208679185716,275.57430376314284,292.101412092,170.19385855542853,64.61064638408571
gfdl_cm2_1,16.01937784467143,4.979282208850143,5.639662027354715,12.117721966324284,158.94212232302857,359.4437364851429,238.84860229485713,221.00407627642855,215.39053780685714,183.12424577985712,181.37324087971427,85.5464760916
ingv_echam4,63.8813569205857,41.33416666305715,60.971662248914285,126.19104984831428,271.5054735455714,290.04591587614283,317.7289297922858,284.52731541214285,295.9997645787143,246.4236864362857,218.9339185442857,127.20107051304285
inmcm3_0,11.910044738234285,15.469872610907144,22.783303465172857,34.16792338235714,83.69577789312856,125.91219002872857,173.25084359299998,160.36724853514286,153.66747283934288,124.02334158767142,55.011909757342856,14.293590545657143
ipsl_cm4,10.665791852128573,10.581458500457144,15.097030435284283,30.674120221814285,108.81650379744285,229.26199340828572,263.6666543141429,182.5156467982857,138.08114079042858,123.2090573990857,64.92472675867143,28.74794660298571
miroc3_2_medres,8.823430401942858,10.855483021058573,28.45455190112857,78.29266684391429,162.55314309258569,222.92388698042856,196.90683637342858,195.6057096207143,152.44843183245715,190.2091478621,114.29058728878569,20.16416631428
miub_echo_g,47.39478383747142,66.51733016968572,160.53496115547142,254.5847930907143,344.97708565857147,336.0445077078572,313.85678100585716,299.2846723284286,300.40668160571425,256.9380471367143,147.92982700871428,46.51610456192857
mpi_echam5,49.43134525842857,28.864353861137143,32.28425298417857,96.73283713212857,251.8877563477143,296.1336604525714,306.2239946639999,300.0190778457142,297.8914271764285,367.76463971814286,226.09916469028573,102.00572422591428
mri_cgcm2_3_2a,64.04222570144286,63.980965750571436,75.63469587052857,122.71276691975713,253.6867239814285,324.1354544502857,353.2465558732857,353.57736642028567,339.88379778171424,288.21527099614286,216.54826354971428,109.67063903804286
ukmo_hadcm3,5.33523911237157,8.354457293241571,20.295583742002858,69.28227056770285,192.13753400508577,298.24322073800005,258.5498166765714,215.04906136649996,194.35767582484286,193.6403786795857,86.37627465391428,20.269001415812856
ukmo_hadgem1,29.84967006955714,19.78609984261571,19.897518294181427,38.59104047501428,167.62373788025712,317.9988381522857,387.98294067371415,318.39632088800005,284.361188616,293.9564339774285,256.5272936141429,118.88925388871428
