GCM (circulation model),Jan,Feb,Mar,Apr,May,Jun,JulAug,Sep,Oct,Nov,Dec
bccr_bcm2_0,88.91067069,41.36904635,25.40230519,25.97322709,119.2491771,254.6653682,332.9274772,273.205464,251.7576512,262.5701665,207.3950195
bccr_bcm2_0,81.97821372,39.29807636,23.90950026,19.71693012,119.5487638,241.3407462,286.2350987,281.687064,248.2425319,260.309215,205.2095141
cccma_cgcm3_1,28.24170835,49.35292789,93.91470064,152.501055,287.8307735,279.1945517,274.577325,295.1541443,388.8826577,399.9969526,208.6984732
cccma_cgcm3_1,28.83757401,65.71330152,94.89767947,154.4792786,280.8808398,301.2675738,271.7740173,296.6313629,392.5082855,393.0839321,191.9643489
cnrm_cm3,67.42556327,31.42600822,21.00330244,26.27950423,124.3998304,237.140479,233.9443752,241.4184941,233.608636,167.7951638,151.5180185
cnrm_cm3,72.80437524,37.20175879,27.6396389,33.39181873,153.5419813,251.6546631,268.7138977,248.6716854,234.5312871,187.6952209,150.6475024
csiro_mk3_5,11.97693058,11.41126888,20.24122947,35.93733924,67.20859419,94.25339208,192.4359572,180.8764218,133.1377119,72.76641832,73.90351173
csiro_mk3_5,60.51440375,116.8238016,198.1484549,198.6110546,172.3496301,94.38455282,80.0654553,19.28725018,13.83768681,14.07204332,24.73794937
gfdl_cm2_0,15.75255121504143,5.16040822438,5.1353241034999995,18.29651887077143,177.79390498542858,404.83442034042855,303.36889212485715,199.93459211071428,237.03645542685715,262.4270324707143,236.24032810742855
gfdl_cm2_0,12.783142226085713,4.825532674788571,6.070219005849999,10.522011007594285,158.84545898437145,389.0404096332857,286.7639944892857,243.5399060931429,242.64487784257147,265.60972813185714,196.86515808099998
gfdl_cm2_1,13.706801959452857,4.9523372309488565,5.485146164899715,10.188887664247144,140.71008355268572,308.73013523657147,228.76844351642856,220.73911176414285,181.22722952728571,193.09915815071426,175.59595598485717
gfdl_cm2_1,35.42466218131428,9.393304347987142,6.751780033107143,11.954712595259997,157.47637939454287,336.26195853085716,237.97277614042855,234.8787275042857,184.8245500835714,194.61448669442856,213.34210205085716
ingv_echam4,56.61941691798571,29.809112548834285,58.84001323155714,90.62130192348572,263.0779222761429,303.2247031075714,327.212927682,309.7727552141428,312.7056296211429,262.290773664,188.12762451157144
inmcm3_0,12.484525544285715,15.34346580504857,25.522221565239995,28.91671630314143,68.61024584089999,132.5053623744857,172.10357448028572,170.84595162542857,180.87020220085716,144.83221435542856,76.39773777547144
inmcm3_0,10.98615040096857,17.779144968292858,23.21560832433143,27.547822407312857,63.16393062044286,128.11009979254285,168.96895163385713,164.18855503614287,169.6225040978572,142.43452998572857,60.79225104195715
ipsl_cm4,11.140060424805714,9.024954353057142,14.34363549095143,24.089124543328573,82.72720445904288,190.08257293714286,242.12185014985715,177.43806457542857,146.75131443571428,122.18392508368572,63.66515350339999
ipsl_cm4,12.700287137715717,9.285306385577144,13.248259135657145,29.069038799828576,88.0399524144143,198.38452475414286,254.61110360285713,168.13030351914287,143.71347590857144,121.13516235352857,73.56109510151428
miroc3_2_medres,12.986152138032855,11.934451971732855,23.00133681297143,91.86828749512857,156.18305914732858,190.2713415962857,162.80916704442856,168.9020069668,153.83254786902856,197.65351213742858,98.87711661200001
miroc3_2_medres,11.269745554237144,10.598962954102856,27.85408755711858,79.28749561317143,148.60463115138572,213.39142281685713,179.7291118077143,187.3833934237143,149.06914520255714,221.78565761014283,113.01502445755715
miub_echo_g,38.867091315142865,91.94581821994286,146.8472039360286,270.66904994414284,341.0150931224286,354.33389718185714,328.82301112585714,307.54850987028567,299.3778860908571,252.11938476542855,156.61570630785715
miub_echo_g,37.14334569657144,79.23707199092857,141.05023847305714,269.7700413295714,393.0052141462857,346.98914010171427,338.7241516112857,338.41799926771426,279.3387080601429,260.0158865792857,132.028424944
mpi_echam5,52.79913411821428,25.891944340305717,39.85291440147144,121.18172781809999,267.63440595357145,304.1147744315714,294.99913242885714,317.9608655657143,278.5213143484285,375.33356584828573,265.1758466447143
mpi_echam5,64.92031805854286,31.07768290381429,34.79293155671429,101.53627940588572,256.64734540671435,301.6519295828571,291.97440665100004,304.970278059,288.75478036057143,342.00033133371426,252.11248125328572
mri_cgcm2_3_2a,63.452809470042844,57.338501249042864,74.19809995372859,128.20266614644285,269.10836792000003,308.7325570242857,350.5239127022857,366.56035069057145,311.7488054547143,292.7979256765714,207.61020769385715
mri_cgcm2_3_2a,66.90725490022857,61.39841651924285,65.68134880070001,124.11942182268571,251.37190464557142,299.1012878418572,356.175619943,360.3122558594286,322.54640851700003,290.8159724647143,219.62213570728576
ukmo_hadcm3,5.319633960715714,6.5336091646178565,26.167498247974287,66.04307767324858,211.65936715265715,271.8908331735715,238.02185058611425,156.15702002385711,130.42918205257143,157.66661071791432,83.54422405795715
ukmo_hadcm3,5.327893093228142,8.091014112748429,23.11264484270857,77.62544264110001,211.95603942852858,282.4974681307143,237.25649806432855,160.96413367122858,160.77298137135716,187.7338474816857,78.13494927537144
ukmo_hadgem1,29.89008821759857,14.369457738743716,14.616646323887142,27.14528642381428,142.71312495645714,351.4212755474286,348.14609854571427,323.63008553642857,283.0349099294286,301.96549333828574,247.57958984357145
