GCM (circulation model),Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
bccr_bcm2_0,169.5423337,148.7543116,183.017619,134.3515022,133.1766615,130.4982823,158.6586833,164.8262318,142.6273946,148.1966553,145.8029596,177.0716641
cccma_cgcm3_1,396.6449603,379.2924578,418.4488729,368.2692617,241.9822021,147.0561493,111.0841845,109.5184244,124.6658143,142.0318713,174.7945074,265.5556341
cnrm_cm3,153.809697,172.1258649,169.6345666,134.6551992,116.4535924,117.4511633,135.7778757,123.9031686,115.5183803,119.4253367,134.1333868,136.4447218
csiro_mk3_5,308.4013455,286.58536,273.0576496,286.9480864,218.2896604,126.1100172,115.8867589,110.6962855,127.4485662,136.2823778,164.7991879,267.3261559
gfdl_cm2_0,338.35893434469693,322.5738904548484,361.14592581084855,314.09582889442424,205.68404342187873,176.20382563273336,183.90747879490306,201.92390152905455,179.3066619525546,179.15247466342427,184.1676208033182,262.1676455410909
gfdl_cm2_1,301.31685060439395,334.2175833962424,350.4770184141211,321.966264667,277.8618080832121,196.06671974877878,184.36214868947874,173.08865772597574,176.04335126017577,193.81284031731212,200.71846147011513,262.16940492569694
ingv_echam4,198.94159582893943,199.1284431688485,207.40615729131216,164.65710137102414,188.62318905912122,186.50205190261815,173.49595434009032,175.53664912605123,177.58005267917144,172.83009526220457,159.47303058164854,143.49027437156968
inmcm3_0,234.4438898491878,210.65582026861819,176.80838162974845,109.72529441664697,149.14254697164364,171.08223192618485,187.27934334503027,165.05638677409092,149.89395638665152,192.6816722986757,183.65093971024243,189.8850580851455
ipsl_cm4,270.59026775942425,238.512808597394,293.9738764907575,275.85779270993936,256.49905210554545,181.35142528648785,135.76264080856666,148.9050770384697,139.9853155540485,186.68841778138483,216.80656664305755,236.0044116395454
miroc3_2_medres,258.28204206990915,262.89574871639394,287.6267723314243,301.69604076036364,303.95664654351515,271.13622538248484,260.53121208412125,243.13813573658481,224.35274783056062,209.45697414522124,216.20254169812122,243.7623919861818
miub_echo_g,335.9114768287879,271.49782030515155,304.7659532951818,310.9028320311819,274.8329079367455,233.8979484095818,205.03884829898186,231.95504622028787,239.48963350234544,236.08108127478786,213.87409048363642,272.2084766735152
mpi_echam5,254.10209517051518,253.06377988863636,258.98202930784845,255.8553707238182,217.4575844968,189.51330577960607,176.64460903944877,207.8989821058703,233.7088590680006,220.02229615405724,200.5924880866394,229.05295978891513
mri_cgcm2_3_2a,322.9855522386971,309.87927477287883,350.2695839622121,317.7428043249697,262.12141418460607,191.3173067498394,198.03128699103027,196.97576418789697,222.73449094364236,160.31346563863332,207.2205730206424,287.52921942515457
ukmo_hadcm3,227.86159168586977,187.48667930833935,236.06607494929395,212.2787021289969,216.4448034113212,178.83140298089694,176.5422907164485,155.20979314867273,161.98774638315146,170.51742455450608,176.19303316060913,209.18287543095755
ukmo_hadgem1,259.33537708636976,219.66782402274848,243.1590000499667,261.7281306873151,245.429176792903,227.86308057373336,208.29010902743642,168.40178527257058,178.28207752919698,203.4973145686758,171.6249239372879,209.07997177591818
