GCM (circulation model),Jan,Feb,Mar,Apr,May,Jun,JulAug,Sep,Oct,Nov,Dec
bccr_bcm2_0,153.1049941,168.625629,137.2905423,142.2826641,147.3929176,131.4122903,154.1579877,170.148686,146.2014145,149.1508757,165.6903966
bccr_bcm2_0,174.8589295,142.0081989,149.0088184,164.8177642,148.2621728,124.026486,171.2952779,177.9151629,161.043745,171.7740287,149.8732445
cccma_cgcm3_1,423.5895367,409.6452174,440.3023733,366.9411466,269.2848379,166.7743252,132.4669213,104.2334087,118.4072067,157.0038114,210.5983938
cccma_cgcm3_1,407.3190016,415.5912263,437.7284162,400.0507149,220.9090273,116.8774434,108.0049424,98.0132607,139.5425941,147.5237612,169.154484
cnrm_cm3,178.679478,183.5028305,201.9334687,151.3792322,131.0183635,119.6819782,141.4103514,125.9150378,110.2653877,127.1556429,129.5665826
cnrm_cm3,189.6851321,171.9368906,193.3142009,137.6461339,131.3249098,116.3959145,121.6642283,120.191655,100.8101248,116.5468202,125.2356632
csiro_mk3_5,308.1549965,296.2316575,315.6473944,284.3408009,197.3562747,123.3164744,104.9398214,116.5098873,122.8569944,127.5397406,142.7952034
csiro_mk3_5,192.2676204,120.6573555,102.7447085,109.7558211,132.4107573,126.6521331,173.7878235,256.808415,291.7349761,285.5614989,269.5466743
gfdl_cm2_0,344.13028601445455,347.0084237763333,374.0250003699091,312.7670778216666,233.0314220082091,190.358640266197,197.27003756432427,207.36983305035156,200.09670130416362,208.7356671419576,201.31789629393637
gfdl_cm2_0,361.67265042384855,366.40911680269693,368.18781349875746,313.4237263997575,225.78803669311213,185.99710903742724,201.69323805603938,202.35631278070002,203.85643745191214,222.53968718552113,185.95384609337876
gfdl_cm2_1,331.29837498521204,333.3318356601212,358.5021676728486,339.4142798221514,298.25595832593933,210.83790680866056,182.74938618056967,197.83837318421206,206.3977516637546,215.5792109170455,214.75184261439995
gfdl_cm2_1,368.8507329767577,323.0132561885757,384.4703137948182,357.9752067797577,310.20410942309087,202.47272052183936,205.61807678690604,191.22257463856064,192.57920999241216,201.99902759891216,223.42105588045456
ingv_echam4,219.14483781284844,211.79469992903034,202.13823457192126,186.56246647686973,214.92180379235154,184.10063535509397,188.3930835723576,175.77488367480638,185.368506893917,181.83556990188666,154.3043847517636
inmcm3_0,208.32900735101205,175.1162306467818,145.41489673387272,89.46520253381787,144.74453845169518,187.03414425702732,198.9576342033546,167.92721395782726,143.360330408303,178.70951195926062,182.10513028230605
inmcm3_0,230.5562349955576,151.15991557732121,162.57947702119392,133.1296512430424,130.01439886372367,183.22791729556667,168.53178937510603,170.94217173266367,149.48416334208486,175.5027084351545,210.38670580315147
ipsl_cm4,283.27725265966666,269.6911958637576,324.4548418449394,299.3777710884848,249.34304670862426,188.50211137715755,153.66444853579696,155.23985371446668,178.1189774022091,199.18396880412726,208.59510861019396
ipsl_cm4,286.09973514436365,276.09326726739397,319.4451377175151,301.3157459605757,259.91246888124243,199.4310280770727,156.2018256331606,148.61464673823338,174.38616209321216,204.44716332177876,239.91190407495762
miroc3_2_medres,257.0540133389091,280.5484323212425,306.0354734477878,301.5124830766364,297.5899505615455,265.7148858272424,277.2475179035757,238.3306757609697,215.69061394887876,219.8803956003273,218.8035479458788
miroc3_2_medres,266.683845288909,256.3910661177576,314.3275021639393,313.3883112126364,300.57425157948484,263.3283839369091,278.1703611432122,256.2472076416061,241.19434888428486,225.38560370247572,214.7216274376666
miub_echo_g,337.04429580224235,304.24285102612123,334.78436279300007,301.02243874293947,300.1544545491818,211.6293677127879,182.34157203904243,240.10316929668787,228.97336832687273,220.74391544224247,217.38021087648482
miub_echo_g,363.15345301778785,304.07733339254537,305.8120163426969,291.21926694933336,304.70388701463634,213.89769513685152,207.17105056294548,249.30509116425458,229.17707466364547,235.92378535413644,226.81957314227273
mpi_echam5,306.061682961212,272.4681049693636,260.2980785948788,212.10687001539398,199.51952281155152,187.04966169421388,174.35053697492577,209.09405358634487,194.75202248316188,213.50458532398156,193.68578714319693
mpi_echam5,230.4218403209091,225.83601749309096,224.3098787249697,226.63256882181813,170.00870456121515,150.01138038339423,160.88933408628913,163.05772919006031,170.6193957040179,160.3602027893545,186.65183945854244
mri_cgcm2_3_2a,341.63253922896973,323.2823791503939,343.55643486257577,320.7769507205152,246.8594300240606,169.3490172877485,166.16903027630002,198.86734459625154,196.21986238886967,162.52420454310607,217.97121926513637
mri_cgcm2_3_2a,346.7798434171516,311.94680462466664,356.3356878106061,318.91689231184847,249.38976449672725,162.3188733187182,193.33526148940607,222.16210960611815,208.066155924997,163.714927384413,205.78726213633632
ukmo_hadcm3,281.6053244850303,225.45113534639094,255.88626537896363,256.0316300825334,242.68845436790906,199.64813243978793,185.81168937678785,157.38463216836064,167.13909004673334,183.33890186653937,198.66430791213335
ukmo_hadcm3,270.59314196048484,205.79084176738183,240.8831160574333,257.2650174227879,244.17767333984852,204.49469583681216,175.61039184798184,147.7704941721091,149.90953693971522,169.36902734001816,203.6680080529182
ukmo_hadgem1,229.72240424876966,244.0682465524576,206.41447911125155,268.05995617491214,219.56726490367583,191.73007456463938,195.7396539630485,202.135863217457,182.60960009592156,210.95526409147578,210.3121898535091
