GCM (circulation model),Jan,Feb,Mar,Apr,May,Jun,JulAug,Sep,Oct,Nov,Dec
bccr_bcm2_0,162.9558012,167.9212708,238.5298194,223.5791618,146.7144027,61.06921916,15.22002688,43.61666501,139.1016686,173.8367876,154.0655925
cccma_cgcm3_1,166.5993984,177.3087534,190.8322654,129.8045915,77.62616456,53.42473042,29.11331076,46.2117629,92.18198691,147.4159034,160.2775083
cnrm_cm3,125.5308582,134.0252928,182.610013,193.0203986,127.9100103,48.57547922,32.64369969,42.91683184,100.7260185,150.8764819,146.5913873
csiro_mk3_5,235.4850988,279.8877516,336.9388301,236.8172037,51.92400309,12.64131244,11.79893323,19.14328753,51.58734294,123.3744831,167.0580779
gfdl_cm2_0,168.25033672648956,185.7128748098563,207.21671724322084,129.2862940629458,45.08935690420834,14.124596488971463,19.619034955900627,26.56713117659417,60.064639727256264,120.42143210775104,154.596839100096
gfdl_cm2_1,242.37250208857708,253.67132886251036,274.07438834508343,162.26285370192707,66.00060256322085,23.583480099836247,22.569151274859788,24.69781350391463,52.53061556321875,113.95329757536041,174.94649950660207
ingv_echam4,165.02940799793336,160.41236944991667,186.3327485322834,152.23786958056877,87.70008653401685,57.44975919150105,39.49293169190804,60.89728360374689,113.67325877150084,146.21294899780003,145.1316920122083
inmcm3_0,185.6637615760229,209.11716691653544,239.09783426912927,189.5654917558521,101.30614032351663,48.67599062123688,39.32730871439771,48.55331410964853,63.78508412836978,98.29485747218587,123.19214694694143
ipsl_cm4,287.54201769827705,277.0922183195708,292.3891050815834,191.3681293725646,101.49933340149164,31.222851748259377,16.983157937720204,29.179451187448127,76.41393641632915,139.71206013363332,196.74579000469166
miroc3_2_medres,241.0129419962166,242.2226257323896,280.5794049898958,190.17668708160002,68.64362382887707,14.694798454642497,4.993660831204438,13.616894816359377,91.53773923715835,244.37591671946043,255.85460778072078
miub_echo_g,176.25703994433752,166.08363183343334,183.83961311971453,103.12240831058752,58.955159962179174,24.992312937970627,13.42954904834271,33.249565958984995,131.11230845255542,171.6861453851,166.34831206010838
mpi_echam5,175.87234870597914,173.8270163932834,204.52804150180836,144.19922930003543,96.33847240608064,40.37057766815854,31.103058596457917,51.38067900636296,94.58138442036626,134.9403539101302,150.51123356822293
mri_cgcm2_3_2a,191.16354246932727,201.6740735992902,229.24859721706596,178.83344429733984,93.39975421874168,47.61613039795544,42.73149409145325,77.33802534886495,134.70846798085446,140.8452946295031,136.8354252751193
ukmo_hadcm3,184.610626459125,204.4601306517458,238.71411486469162,194.30619891484164,95.60745449863855,48.96661744020479,28.157469863684792,57.426282823075006,121.0169848005104,159.25392433011456,166.47093347709162
ukmo_hadgem1,258.21373373267477,252.920264025527,308.01475173229994,236.39788049454788,182.5391801396779,123.23055709147708,109.96846151354107,103.88480818268623,145.6627501944969,186.16863315308146,222.61339722083736
