GCM (circulation model),Jan,Feb,Mar,Apr,May,Jun,JulAug,Sep,Oct,Nov,Dec
bccr_bcm2_0,228.3253517,171.9195193,184.9110278,170.8735595,178.2268782,204.7796989,255.2914628,249.0333716,245.9936559,244.9652094,223.8606743
bccr_bcm2_0,204.0760571,161.5982249,162.8638402,167.2374532,186.3309226,244.3563749,218.9949435,233.2449705,249.029139,234.0888496,219.9458014
cccma_cgcm3_1,110.805139,81.80936322,86.02001073,150.5152004,237.4786453,301.9097137,272.7883512,314.3897171,313.3720756,280.5040354,237.9362934
cccma_cgcm3_1,103.3340771,60.37099912,74.96461443,147.4766188,240.706003,293.5144647,289.160053,323.1963301,296.1449198,262.9455408,228.0008938
cnrm_cm3,220.5451114,155.187382,133.4738624,124.5363943,144.9083073,201.7499416,267.1053913,260.9984019,249.4516613,197.7323673,216.0420808
cnrm_cm3,217.8523607,156.6664031,126.5194988,115.6869348,143.0685718,201.9280478,242.0923984,247.5659819,264.7666462,184.1632567,206.8467836
csiro_mk3_5,109.1471517,95.46042369,98.11595367,98.47635812,179.5645905,381.9000749,299.8112781,308.9677781,282.3068378,249.1314163,149.5372995
csiro_mk3_5,168.2001783,350.0043071,330.0353088,289.8342262,307.3581971,242.5103578,196.7404503,151.6368722,131.0279152,130.6353792,114.457359
gfdl_cm2_0,146.85638567125773,71.92797741524231,60.47634816168537,59.02244307445001,131.5027939723231,273.64746915380766,338.63592529296153,307.2419586180769,306.95578237676926,348.5596066989231,300.53574664788465
gfdl_cm2_0,144.45102236816922,59.26286807428731,53.31268921261922,66.68771633733846,124.36408057580769,287.5120198176923,380.0908907377308,329.87403987007696,316.62505281896154,343.4606440618078,274.2333773100769
gfdl_cm2_1,233.24100729134994,164.17239357877313,133.29956722256847,116.4134682141461,163.5128658000692,284.6058866061154,346.60054368238457,288.33220320480774,261.96610260011533,291.23363025369224,289.8763738779231
gfdl_cm2_1,237.5858940711693,134.0409984588654,113.75661681238384,114.15804305437308,153.4199606088923,275.20643322280773,357.3253103402308,293.9313401441538,267.0740632276923,295.9950209397693,319.0935246394231
ingv_echam4,190.18261616051925,156.83007695128845,171.39000452480772,133.03247525146924,164.50075149533083,224.41298616834612,233.01783048192308,258.8701459444231,283.53077991192305,223.04205909138466,228.45544991134994
inmcm3_0,186.42155515236146,137.6307439071231,176.56297852440773,184.76421011415778,156.54820603583457,191.06709230866542,203.22800152126925,199.76805760315386,231.3012366661154,210.3081688514231,181.66820027273081
inmcm3_0,191.08768184365,141.2613532727077,164.0869191976039,171.88105861961915,171.15373875548082,208.7001580458961,222.39690898015385,200.66674980746154,233.2400019719616,209.1320542555385,184.53777782730774
ipsl_cm4,152.2484657580385,87.0679630866423,94.8104428511308,97.59926531861538,148.63979559682303,196.6381513156539,230.78236330473084,250.49634904123076,278.29023067765377,264.80813217169236,219.2666972232923
ipsl_cm4,156.2025586641654,105.39918782158465,97.00839966990385,126.47436919579998,156.8375882369269,191.58861659130778,246.66542640096154,259.750745919923,274.8899037288846,237.28923416130772,222.59867858884235
miroc3_2_medres,232.92779511673078,147.84986994815,130.18332980230772,100.06626642666541,125.28880222028076,203.5021931575,269.8766133235,265.7102972177692,249.74377969592302,241.81302290700003,249.65074216396155
miroc3_2_medres,234.14320666961538,179.65909605758077,158.9363397452231,118.52723327052692,154.00654924830772,202.0164454533462,281.24712958703844,236.1865122868077,235.84694554253844,247.58803793099997,227.07389009907695
miub_echo_g,119.59000250013843,116.4267429939,127.78392967799613,142.77296418413079,174.30588912960383,289.4125465980385,327.5550061739615,266.08387286842304,268.10736260046156,209.0037865271154,195.71880751384612
miub_echo_g,112.6194472679923,119.70921751169229,157.72604898300773,172.86321023793846,167.64913397570768,288.67056391793074,332.89106750492306,275.68788323042304,261.08560708842305,229.52439058749997,159.12078710707692
mpi_echam5,165.48315679113077,114.27265075540383,110.37131423212305,96.66950372547694,196.2083787184615,396.88766127365386,413.89342087973085,326.1145600538846,311.1479944083077,206.53000406126918,225.08957760150003
mpi_echam5,237.559883117727,156.79732153961925,126.51917919743846,124.19588441113079,246.52815892138457,319.8938716008461,364.54655515234623,327.96854635388456,292.75524432838455,255.67126816965387,258.26511559119234
mri_cgcm2_3_2a,86.9976115593654,78.73698682056536,90.68264770504616,151.78443028363458,220.88931039661534,257.5533101008078,300.51519892757693,283.01505044788456,289.57258723342306,226.5293514544231,130.48163208597305
mri_cgcm2_3_2a,91.23207033598078,71.41078633529231,111.97713367763846,161.16774485655384,227.37958115807695,271.63521458553845,290.39931605419235,270.9141059289231,278.87345886226916,232.19944469738454,133.19628994278847
ukmo_hadcm3,134.64826847960768,101.68739546260771,102.47674780622697,140.4938465999154,281.9117032564616,290.2034994271923,324.0439335749615,335.17010615426926,316.00565807638475,296.89009329000004,231.85665424065385
ukmo_hadcm3,137.45373417776156,104.51800727841155,106.9847998986154,140.10437158435,296.02284299407694,307.24466587949996,331.2372577373078,322.7919986431538,334.4802046556154,323.7666931151923,225.86912653996146
ukmo_hadgem1,69.0173444747796,32.471617368560004,39.20664476432654,64.7101089770604,277.0398365900385,290.4033936720769,276.2163062462692,222.67892690810766,295.2364014845385,257.32938737138466,202.68657097448073
