GCM (circulation model),Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
bccr_bcm2_0,96.62837219,74.95624924,66.8917675,61.51934242,68.69504166,108.9325447,114.9872932,144.5052948,157.4386444,149.8781967,115.7168427,104.2765121
cccma_cgcm3_1,37.11683464,29.97400856,32.81506443,31.58201599,54.72541237,40.06980896,63.55084419,88.59137344,124.1550636,133.070488,111.6005478,42.95817757
cnrm_cm3,82.61696625,67.13750076,67.49409485,72.42951965,80.41478348,74.95143509,98.10345078,111.4301682,119.498703,118.3882828,94.97689819,94.78612518
csiro_mk3_5,48.78565407,35.77630424,35.87896919,33.09870911,59.95342636,87.0285759,97.98466873,101.608223,111.0983429,143.1233368,70.89744568,57.46448898
gfdl_cm2_0,28.8208141327,26.520552635199998,19.15468883515,17.45548439025,25.017924308799998,23.579004287700002,40.50840187075,49.311294555649994,78.424407959,110.8795852665,71.44552993775,31.1989870071
gfdl_cm2_1,28.50364208225,25.7437105179,21.781664848349997,23.9092197418,24.12670326235,26.33267211915,48.13513374325,79.68208694455001,101.46992492675,125.766155243,86.5567703247,31.940784454350002
ingv_echam4,131.2848739625,101.48568344130001,71.9365196228,106.53422164899999,178.246017456,143.61474227899998,134.520629883,133.2744369505,109.046447754,110.6202583315,221.417175293,150.349838257
inmcm3_0,87.02911376955001,57.3148384094,40.4316291809,29.746507644650002,33.39391899105,44.01768302915,67.0454788208,74.12995529175001,116.74412536599999,95.86629104615,88.40143966675001,86.77001571655
ipsl_cm4,20.29737377165,16.65591335295,16.29339647295,12.5662755966,11.6521472931,11.53529024125,17.20116758345,28.6276483536,38.60006141665,32.7071170807,20.790519714349998,18.79285144805
miroc3_2_medres,32.86655139925,19.35301017765,19.613295555100002,17.43841362,27.0571498871,31.669386863699998,37.5377311707,46.393232345550004,41.48982810975,61.3869838715,55.364610672,36.03594970705
miub_echo_g,35.3905735016,30.0069999695,27.120177269000003,28.957072257999997,94.86444854735001,134.24310302700002,97.88454818700001,153.705131531,150.14736175550001,70.8307991028,59.838901519800004,55.51198768615
mpi_echam5,42.624303817750004,36.96827697755,25.44127464295,46.65358924864999,56.470983505250004,98.70903396599999,142.619873047,145.507202148,164.488471985,174.99332428,145.003944397,62.31339454649999
mri_cgcm2_3_2a,26.380244255050002,21.487066268950002,17.24226284025,19.84552669525,56.49640846255,64.53410339355,61.7757015228,61.14098930355,69.14379119875,134.301437378,90.68919754025,36.388582229600004
ukmo_hadcm3,53.1981506348,43.76053237915,41.050695419350006,57.5281238556,104.69351196285,95.38439178485,103.06690216075,86.47411346435001,95.0295829773,106.9473381045,89.59592056275,56.73906326295
ukmo_hadgem1,60.696735382049994,46.3264465332,42.7466506958,37.62627601625,41.2387123108,27.1568622589,44.35543632504999,71.82454299930001,93.12480163575,111.00807952849999,110.1643562315,55.764873504600004
