GCM (circulation model),Jan,Feb,Mar,Apr,May,Jun,JulAug,Sep,Oct,Nov,Dec
bccr_bcm2_0,96.06022263,72.65640259,72.88874817,63.88817024,77.69496918,118.2562218,112.3382683,137.1596909,163.1201401,160.7798767,129.5269547
bccr_bcm2_0,84.07940674,73.82452011,70.78409576,57.89157867,60.20349121,95.5160141,122.559063,144.5208206,152.307991,162.0096054,120.1115456
cccma_cgcm3_1,35.59026909,30.02876949,35.11302185,28.7048521,46.20733833,40.24971962,55.89757156,86.19429779,102.8384552,122.4232597,86.67891693
cccma_cgcm3_1,33.99526596,34.22383308,36.07745552,29.30090618,44.63873672,38.94768524,57.98146439,80.47664261,108.3727379,114.2117119,98.5761261
cnrm_cm3,74.68286133,63.64814186,56.2364502,69.12290955,85.75071335,76.84989166,88.98696136,111.0494919,109.1572533,107.3066788,87.2439537
cnrm_cm3,76.50299835,61.62864685,67.93571091,69.93353271,81.73403931,83.50246429,94.85552216,109.5044403,123.19067,122.0770035,96.52179718
csiro_mk3_5,40.67418861,31.95478344,31.29464912,31.16014385,42.16493416,69.85316849,74.20462418,73.28143692,108.2243729,115.5654488,78.2326355
csiro_mk3_5,49.28849792,75.18599701,85.70212173,94.91311264,116.3921318,116.9853897,88.40048218,52.62889099,42.8684845,41.7368927,32.199543
gfdl_cm2_0,24.10856628415,21.044677734399997,19.1491394043,19.45291519165,23.322707176199998,27.175275802599998,37.6827049255,58.06715011595,106.9253387455,135.27651214600002,80.38362121579999
gfdl_cm2_0,28.75117778775,21.46209716795,21.16615009305,20.7671880722,24.4341316223,22.32912254335,28.96946716305,55.857465744,105.08253479,138.0506820675,85.94454956055
gfdl_cm2_1,28.329417228700002,24.0427341461,22.114289283749997,22.20563316345,21.14017677305,23.4532737732,50.2433395386,92.6645889282,84.2374992371,117.1882324215,102.8502082825
gfdl_cm2_1,26.9440832138,24.21142578125,21.384203910849997,20.79474449155,20.50190067295,28.97254753115,52.795513153049995,78.56982040405,119.502872467,132.161529541,82.17902755735
ingv_echam4,101.64104080199999,71.81106185915,65.1752281189,77.8434562683,192.2777557375,163.6661987305,149.5302886965,115.605243683,91.13305282595,104.6021118165,230.663871765
inmcm3_0,73.7101135254,53.79885864255,55.6272354126,29.33793258665,23.03558921815,28.59466362,53.92665863035,65.78840827945001,90.4997520447,86.12567520145001,98.3417396547
inmcm3_0,77.2725715637,53.180685043349996,47.1402206421,30.780127525350004,23.612568855299997,25.0535020828,47.89539527895,62.0037307739,99.93522262585,96.29079055810001,90.4390144348
ipsl_cm4,20.3495206833,18.362417221050002,15.1679024696,12.90189123155,11.93937444685,9.338831663139999,12.61650371555,20.01877212525,25.35747814175,20.0195655823,16.43865728375
ipsl_cm4,18.24959754945,17.853747367849998,15.7452759743,12.9304924011,11.34253025057,11.142377376555,12.02494144439,17.5283679962,30.65191841125,30.077496528650002,14.874181270600001
miroc3_2_medres,27.04181194305,16.4558916092,13.07029390335,11.4431848526,22.41775894165,27.893254280100003,34.8430290222,42.882085800149994,35.396446228049996,38.388130188000005,36.8572025299
miroc3_2_medres,27.02191352845,15.2841601372,16.73090171815,15.963452816,23.52062416075,28.41823101045,32.74821472165,41.12090301515,40.4489440918,55.56593513485,55.28426551815
miub_echo_g,44.9403038025,25.15556144715,27.20551776885,26.5540866852,89.9961090088,168.248504639,98.29584503165,146.3522872925,106.15266799950001,129.161975861,64.21249389649999
miub_echo_g,37.83120536805,26.72486019135,22.71469020845,27.033728599550003,99.7737388609,126.8420829775,137.229614258,123.58858871449999,111.3861732485,81.38905334475001,68.68074798584999
mpi_echam5,41.583215713499996,29.8039112091,23.6350860596,33.3145236969,51.27627182005,96.1700096129,100.0138282776,139.6739196775,164.325149536,198.86647796649999,173.525909424
mpi_echam5,39.08402442935,29.67756366725,31.12596035005,38.23273277285,74.0308494568,81.14096069335,105.8294487,140.5579986575,158.1460113525,185.7498703005,175.1009902955
mri_cgcm2_3_2a,31.3015708923,19.601915359499998,23.50225925445,16.3670096397,51.70218467715,59.823295593249995,50.58081626895,72.6386260986,107.13361740100001,123.85611343349998,89.54577255250001
mri_cgcm2_3_2a,24.91925144195,22.583316803000002,18.63174533845,28.28579330445,50.99375152585,57.426361084,48.71034812925,68.29111480715,85.01068115235,108.221431732,66.72233581545001
ukmo_hadcm3,48.39880943295,31.7244386673,41.690507888750005,69.0916633606,102.36314010605,86.0903587341,84.6865196228,66.87785148625,72.54933547975,93.54231643675,80.81723403929999
ukmo_hadcm3,52.10492134095,43.11152648925,38.86780166625,75.66494750975,104.01641082750001,115.0362472535,83.3339881897,89.66663742065,87.18285369875,108.848529816,81.5347595215
ukmo_hadgem1,52.654947280900004,36.2568683624,34.9029598236,26.30609607695,23.662936210650003,22.6877031326,37.08032417295,68.588886261,84.36015701295,110.6420898435,111.10956954950001
