GCM (circulation model),Jan,Feb,Mar,Apr,May,Jun,JulAug,Sep,Oct,Nov,Dec
bccr_bcm2_0,249.0114365,230.1528015,191.5942001,162.2938766,197.207901,53.09593964,19.37383223,82.35830116,114.163208,232.4104233,343.7509613
bccr_bcm2_0,296.8746643,230.8303833,215.7639923,162.9103241,190.151413,42.48899746,17.66330385,87.57016373,121.4985352,204.3520203,371.4441071
cccma_cgcm3_1,281.4440613,243.1709976,363.802536,392.2127075,126.6103325,27.20294189,19.79378128,41.19050884,124.4270592,334.7353516,520.792923
cccma_cgcm3_1,273.9433975,238.556282,397.3085022,360.974884,129.003727,26.99901485,19.33697796,52.27797508,117.1256943,374.9877472,511.3110962
cnrm_cm3,231.8042755,194.141243,217.2219772,303.3099823,248.001709,56.37635803,16.76172209,78.45971298,186.1727982,329.787674,411.4341888
cnrm_cm3,240.0734863,198.5769501,221.1607208,278.0205154,241.8480835,75.42222977,19.41737127,88.73018265,176.763092,313.0367737,402.1698456
csiro_mk3_5,109.6006851,132.0340462,220.8648682,202.5621796,128.7388802,30.03554177,29.49822903,47.96728849,127.7790871,249.3165436,355.5014191
csiro_mk3_5,105.0882969,26.79456806,30.36943889,58.58939314,122.0092087,254.1741638,370.7953796,220.0989685,98.97079468,140.5521088,217.6587296
gfdl_cm2_0,194.71864318849998,192.1290130615,247.492767334,309.1857910155,119.47700881975001,18.5175881386,8.479340076425,34.46514606475,69.235868454,225.4883728025,401.69950866700003
gfdl_cm2_0,178.167175293,166.519493103,265.688156128,311.23808288600003,111.494907379,21.479979515049997,12.882780551925,34.6609773636,72.8599224089,218.449066162,387.7983703615
gfdl_cm2_1,157.73155212400002,132.898712158,187.06241607700002,164.581939697,68.42524337765,7.842889666545,8.124137520765,15.540314793584999,46.53578281405,148.4288406375,347.68637085
gfdl_cm2_1,170.45274353000002,167.97499084449998,220.565612793,200.89875030500002,73.5027599335,10.418841123585,6.39534437656,13.567161798485,62.4581413269,163.58858871450002,352.2374572755
ingv_echam4,58.243766784650006,84.03828811644999,139.4054985045,132.8399353028,129.1358184816,41.322349548350005,42.26753902435,87.4520282744,132.28252792375,183.2500686645,163.111503601
inmcm3_0,130.611881256,143.32331085250001,223.6827087405,199.3509902955,51.13271713255,24.923403739949997,22.2357430458,55.162311553950005,132.3902664185,231.7073135375,244.0063247685
inmcm3_0,120.4043922425,137.0744400025,216.520896912,174.27658844,61.5583114624,25.81719875335,20.62035226825,51.6038131714,118.1301994325,220.5869293215,244.892852783
ipsl_cm4,362.7187805175,258.9069366455,282.7366638185,267.30426025400004,141.429824829,34.089334487900004,19.48006105425,73.37896156309999,143.5261535645,289.35632324200003,360.436904907
ipsl_cm4,384.05001831050004,261.5516815185,295.8192443845,263.1266937255,166.6720428465,31.4547510147,15.052528619765,59.6516532898,152.901283264,304.77149963399995,387.8361968995
miroc3_2_medres,209.8517227175,232.1270904545,226.337173462,157.480377197,58.7144050598,10.30325078966,6.63360095024,37.4617767334,128.591308594,225.64749145550002,268.073272705
miroc3_2_medres,217.171463013,206.536354065,232.0778198245,131.48032379149998,30.9659395218,6.97634983063,7.1303253173800005,30.839222908,143.5728797915,244.266830444,252.339874268
miub_echo_g,103.0285873415,114.440311432,134.08526611349998,155.1783065795,97.21931838965,38.593376159650006,23.3806934357,39.79458904265,132.8875045775,224.30082702649997,178.107269287
miub_echo_g,100.2515373228,111.8012695315,145.29327392599998,140.12095642100002,110.12595367445,39.062059402450004,20.61263656615,33.7063484192,124.18238830555,228.476600647,171.4679412845
mpi_echam5,105.2669563291,125.320964813,144.77060318,132.5453300475,63.527288436899994,20.46532797812,29.018273830400002,76.17087745685001,120.3848037722,178.8767471315,185.890548706
mpi_echam5,114.79019546495,111.21775817894999,135.9046020505,137.112407684,55.3320007324,19.909554243109998,24.026739120465,55.039208889,123.52123832705001,183.9350814815,193.6118087765
mri_cgcm2_3_2a,236.8633041385,226.2816696165,290.41908264200003,349.23716735849996,312.396484375,116.985359192,108.2463493347,135.67937088000002,199.738510132,402.10884094200003,383.30708312950003
mri_cgcm2_3_2a,225.202217102,216.7265548705,289.39431762699996,345.1066741945,319.483123779,115.6398277285,106.64564514165,143.168960571,217.343177795,391.592254639,379.722061157
ukmo_hadcm3,245.71036529549997,223.0263824465,277.12940978999995,187.0801620485,95.84533309925,53.883216857899995,60.60430526735,131.1574630735,188.3070373535,248.512130737,302.044631958
ukmo_hadcm3,252.74685668950002,229.00337219250002,252.6767044065,202.12940979,108.8548774718,43.53128147125,59.414457321149996,135.75105667100001,170.71808624300002,267.76214599599996,306.694366455
ukmo_hadgem1,238.1956100465,224.4852447505,203.017730713,138.599651337,147.8857421875,38.16031551365,44.381617546049995,109.18996810905,189.7698516845,380.98626709,476.28836059599996
