GCM (circulation model),Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
bccr_bcm2_0,100.7493807,91.29243978,117.0682411,113.091685,167.326182,210.9254227,203.6846695,193.6404978,184.0103404,256.9761353,173.7530759,149.3242633
bccr_bcm2_0,84.65754445,97.30298996,106.3879954,98.87054443,163.0639318,229.7025579,206.8074824,164.1748632,192.3772837,246.2393417,150.6866315,117.8436279
cccma_cgcm3_1,98.7114385,72.8320109,72.38896942,72.48055013,131.3079453,178.9708443,229.4211426,261.170311,234.0658035,123.3288129,88.92192841,97.90995534
cccma_cgcm3_1,97.29830805,86.67307027,69.24900119,80.78075027,122.5583433,187.4151866,228.6994731,260.7444814,194.4881744,126.6576309,99.65425301,98.51194382
cnrm_cm3,85.93038114,54.54024824,50.50128015,56.88295873,106.4438782,191.5062027,217.9153061,155.955513,182.4413071,184.2100563,128.2470977,114.7627977
cnrm_cm3,89.12636375,56.59498088,49.52553463,61.83406258,108.5710665,186.4488831,180.0722605,169.512352,187.0689901,190.6506335,173.7030385,154.9906909
csiro_mk3_5,46.0491147,30.21585306,34.55795145,38.0181303,103.2966207,154.7952614,226.5777842,203.4063899,191.759992,115.6993376,98.9041748,71.53214264
csiro_mk3_5,119.0384509,203.754659,190.4681651,209.1603826,208.4783834,142.5971222,146.8973783,68.43999736,45.47003428,34.89905373,35.69051393,59.26042239
gfdl_cm2_0,54.41860326128333,39.4954134623,49.911121368450004,83.0033334097,128.7391700745,240.20959726983335,144.4324709576167,164.5343589785,114.4480692546,114.48764419561667,114.52081171675,77.61807759603333
gfdl_cm2_0,63.26129150388334,54.825298945099995,56.91001319885,82.27296002700001,137.668964386,204.04559834816666,192.93317921966664,191.27550760900002,122.29299036666664,94.55960337325001,117.06880569471666,89.02067438751668
gfdl_cm2_1,53.30669784545,32.033028284716664,43.14166196186667,48.9268239339,85.40611394255001,141.19993591300002,220.9557927448333,207.89440409350001,179.32142893483334,101.26984341931666,102.71159998573332,82.61979866039998
gfdl_cm2_1,65.13192303976666,35.103976885466665,33.906252543149996,47.153239568083336,85.36045074455,155.39321136483332,218.25027465816666,233.07521820066665,163.6250953675,116.72636922203333,108.03685951238333,85.46830177305002
ingv_echam4,102.04592895508334,90.75200144446666,98.85031509398334,95.42470677706666,164.94128163666667,223.96986643483334,232.30140686033334,265.04718780533335,208.11147308333338,134.88639704375,99.31461334219999,98.61491203311665
inmcm3_0,45.46419652305,49.52760632833334,58.82803153991667,45.978048960366664,99.53433736158333,243.05283355733334,316.63764953616663,292.72171020516663,181.43030802433336,131.7051773071333,62.70081742601666,72.83234151203334
inmcm3_0,51.81619008381666,54.16730181378333,58.859796524033335,67.7713286082,132.65239969883334,247.2339045206667,276.758178711,302.6734924318334,207.42101542166665,104.40006955468334,67.37335332243333,63.06426239011666
ipsl_cm4,130.13423283866666,75.04695065815001,70.82921663913334,61.57264264425001,56.521094640083334,98.21950912483332,242.68470001233337,159.51514180499998,50.40547879535,54.425714492800005,91.56753158570001,141.6698710125
ipsl_cm4,120.47385915136668,73.47445805866667,74.94082196553333,58.18171882628334,60.47616831461667,91.48672676081667,251.61465454083336,155.789568583,63.3445186615,60.6638514201,100.09510167443334,109.68245951348332
miroc3_2_medres,134.24283091225,86.2649790446,62.10786692301667,92.4485397339,164.767021179,207.19966379783332,200.4584198,228.98749033599998,182.6741638185,210.6651941935,208.55905914316668,205.73164876300004
miroc3_2_medres,134.2069969177,109.93514760351667,69.30412419636667,90.6115404765,190.18109385183334,201.99827321366664,174.38242594416667,159.47486623116666,149.21441904716667,237.5295817056667,217.70192718516668,203.9036954245
miub_echo_g,82.81864420573334,80.64347076415,84.73564275105001,75.85818036398332,77.00470097853334,101.69051361083335,153.67618306483334,144.19360733033332,126.65796407073333,78.8739687601,108.03739674898334,83.57124710076667
miub_echo_g,98.49312973028334,80.64725112915,83.42504183451666,73.00876744588335,100.22819264726667,111.83295694996667,160.16402180999998,144.01731109633332,144.57593027766669,88.11654790231665,78.42272059125001,103.03941472359999
mpi_echam5,68.36836115513334,59.06780624388333,53.41586271921667,112.78969701126668,188.52865346266665,219.95999145500002,273.8862355551667,285.89275868733336,176.1711781819167,115.94127782198332,93.36055374146667,80.06851450596666
mpi_echam5,93.45225016291666,70.25208727513332,74.47574361166667,104.43782806403334,193.72522989899997,222.88690439866664,346.99684397400006,269.0092366538333,221.658315023,152.91033172619998,79.09523709611666,107.60100301101669
mri_cgcm2_3_2a,76.40765762335,61.40357907616667,53.67311922706667,75.3484884897,145.3558565775,136.92855072033333,163.27851359033335,183.2850519815,124.1533584594,65.59594758358332,26.582440058416665,55.43591308591667
mri_cgcm2_3_2a,82.87095069883334,62.08952331546667,57.29055786133333,88.29265213011666,137.647895813,153.19780731199998,164.1407750448333,186.8741505941667,131.63371658331667,49.990076700799996,32.32628234228333,55.42598533631667
ukmo_hadcm3,140.05433400466666,87.70109303793333,111.89630635593333,182.25581614183332,256.1409200031667,352.3991292318333,251.7344411215,298.45519510900004,335.6519622803333,208.24142201733332,130.52413686133335,157.86361185716666
ukmo_hadcm3,112.01156489063334,79.38523483275002,107.1531804403,154.337712606,253.70601399716668,313.5477498375,259.41307830799997,254.57937113449998,289.68442026766667,264.12255350733335,151.20912424733334,141.07897186283336
ukmo_hadgem1,96.68493334458333,101.86703745530001,124.81077067049999,116.74560038251667,193.62141418449997,348.6693903605,282.3883768715,332.88131713866665,215.61480967195004,74.54903920493335,97.97269439703332,107.64615821826665
