GCM (circulation model),Jan,Feb,Mar,Apr,May,Jun,JulAug,Sep,Oct,Nov,Dec
bccr_bcm2_0,88.23769638,39.34146397,61.25746544,92.62907959,232.1053284,218.2570413,285.8266962,278.5101422,280.4589276,169.6525955,126.4102507
cccma_cgcm3_1,27.95227293,29.66302353,53.10188515,69.91500946,110.4083008,180.1303033,188.2852618,257.9076666,244.5877014,143.9200633,56.28675949
cnrm_cm3,55.91093124,25.65543816,31.21846054,60.89731583,112.9547403,240.6356384,263.780293,254.6240143,210.3063068,158.1044261,155.05561
csiro_mk3_5,5.846851779,5.38351716,6.376725397,21.08829809,103.0371588,304.7612122,305.8689563,313.8054822,271.4320612,105.1146141,30.95551906
gfdl_cm2_0,14.867208023076794,3.849485695064239,11.470792760855604,30.756594505300004,186.59056793209598,320.4019482422,332.98559692391996,352.30467712396006,289.49562835690796,139.508788604772,59.58726134302759
gfdl_cm2_1,19.73513413427713,12.88534660935896,27.1578312873748,62.63068489077202,183.55101623544004,304.90259704592006,348.55970214840005,333.98690368652007,264.19777893063997,158.63237159722797,69.163679189676
ingv_echam4,22.9347513675688,23.540968332290404,88.18983413691599,151.90867950443996,219.37691650396,219.70736206056,201.03945190428004,233.08958007811998,251.08283325188,122.46377456666802,79.68643222807958
inmcm3_0,26.468867740621995,29.59010826110799,52.821843032832,91.27730911250002,126.25430633548798,182.27483795167998,170.243641357364,176.68530914305197,210.45429870595999,135.922098693968,76.85147274012799
ipsl_cm4,17.6391522884384,13.2040140438064,24.8541148948716,65.941594543436,125.72015060420799,140.78249267575598,199.95525146472,273.05575836184005,214.08092956544,175.26726669310003,107.72525619506803
miroc3_2_medres,52.86161983490079,47.438199081408,55.92801437376399,92.378294067424,310.47356140147997,313.65087036124,297.48384460444004,276.86781616203996,265.47233947752005,194.385907287632,119.46430755613997
miub_echo_g,33.92340644834319,36.084978599572,74.07416221616799,141.871950530964,208.43443542463996,257.52208190916,292.8868676758,250.46956909184,212.33648498536004,130.471007995588,83.86862014769598
mpi_echam5,12.0354976367924,20.281231899264395,41.26749305726799,107.63865859981202,222.00810058592003,218.21457916260005,218.4788964844,241.29537841810398,172.324245605488,87.06048553466402,63.021334266700016
mri_cgcm2_3_2a,16.156605300902402,16.7182533645612,61.43951690671599,165.166368560864,260.99840576172,196.51286743167998,175.48030456544,201.31830139151995,200.45634704592,153.284080047556,61.416182556139994
ukmo_hadcm3,30.666434955619206,23.828857717526404,37.9103459072372,112.01114631656,196.44386596681596,325.51005432124003,266.01226196292,262.72034790031995,241.43372680664,138.14693695064798,78.817266159084
ukmo_hadgem1,31.0074145316872,10.509929471014397,11.57813400864228,49.77500785830118,228.15126281744003,335.36622070312,294.9300701906,297.84451660156,343.41976379388007,197.87992248525202,128.814154663064
