GCM (circulation model),Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
bccr_bcm2_0,78.25881035,41.59944435,54.09797432,89.12535339,202.298468,227.0953583,276.7863934,286.8919153,262.7046655,166.0604962,130.307364,118.2203322
bccr_bcm2_0,76.25783588,36.20194761,52.5862532,72.77726532,206.5284064,257.9949866,258.6110004,286.7284521,269.4393823,149.7440755,123.7098847,116.5821298
cccma_cgcm3_1,30.18627937,22.92639221,55.15259819,80.94165787,111.4863937,173.9815778,223.2275378,288.4066241,211.5950543,109.0824042,49.18781822,26.85640379
cccma_cgcm3_1,26.50486576,32.51688454,53.6148497,84.08152145,118.8051358,183.0178326,218.6740503,284.265271,240.1695123,122.5740987,53.99369476,24.24012375
cnrm_cm3,36.03377882,18.23466763,24.58556309,54.23983284,95.77861984,215.6947861,276.6779846,288.9295056,203.7378308,157.7681152,170.1706178,90.55876007
cnrm_cm3,42.89547974,15.94109192,24.14193436,60.63421631,96.58271088,222.4513876,274.2728113,285.491676,225.6126923,153.3151189,157.420002,86.13518164
csiro_mk3_5,3.464189229,1.726810427,5.18547775,16.68465233,82.82789093,300.5823993,298.8178601,311.0084265,290.3702869,113.6782003,17.98299445,9.17958793
csiro_mk3_5,106.7986609,255.1653851,315.5313492,303.3292975,306.9112695,106.6100514,34.82770641,8.075259361,4.076028352,2.862141929,10.05234598,34.29559706
gfdl_cm2_0,5.928769253492601,4.357781854869801,8.459576916695958,31.319676208499196,154.448128357064,288.92647705080003,332.20907653803994,367.88573730476,305.03478820803997,157.168211517308,57.118802604683204,21.226556262971595
gfdl_cm2_0,7.3190658199782,5.733637703654721,5.222835943996512,35.562665443423995,149.23315979001603,319.81908569327993,348.53751708972,357.05174926752005,288.45367584226403,170.056947326636,62.1281364822776,20.681212631464565
gfdl_cm2_1,18.32472985266564,8.855701025428367,14.0837443447124,52.01366737366399,170.97174438472,304.91263793956006,342.9655932617599,339.71032043456,247.89629150402806,144.97462574004797,69.72719992637961,39.44341189387081
gfdl_cm2_1,17.060901289587157,7.255589824466216,18.836579809191598,48.703230667111995,183.27541992176003,341.50746276859996,336.67117431636007,316.69047790532,257.81981353764,169.95583084108802,92.12436067580762,41.91077629565544
ingv_echam4,17.85339582680915,18.916476287846805,71.94535598754798,138.08467620846,212.50954772943996,222.87794311532002,206.92546325691998,230.74014526360003,265.51703796384004,130.178201599112,91.48973957053596,46.7989843273344
inmcm3_0,23.385140876767206,27.073762931818006,54.53597572328799,81.399073791472,113.96267547607202,189.3292178344,186.71940368651997,189.77589599611997,223.63743164064,103.14302330025201,67.66144351963199,44.30022102359239
inmcm3_0,28.758869743335996,32.729384689328,61.477093200719985,81.64246520997999,121.220296020484,196.04377166739997,195.797787170492,207.15760955820403,219.12463989252004,117.06323463432801,65.442172965964,52.044568786603996
ipsl_cm4,16.794287681578798,6.863081514841081,10.810265264514403,39.8690491104168,93.29030708317602,123.67322662350801,186.25918518060004,257.199753723196,228.06602844239995,175.722810363736,99.75933448787995,35.70869535445281
ipsl_cm4,13.666906499857202,5.3343314659584395,12.041926441198402,42.501626777644,108.97920944210799,135.17534805294798,201.084393310548,250.036976318312,222.31951202390402,159.50135910037204,105.98030784602406,43.2482975387704
miroc3_2_medres,50.98753627777,29.628173637388798,39.758885116592,53.69987091063201,245.72593566891996,306.3744610595201,274.42151428219995,291.64217285156,245.51521240240004,194.88418518058396,102.20520172110801,78.383811798088
miroc3_2_medres,54.46644725797922,37.105505371132,45.18545768737999,80.06736450195201,310.95383911127993,326.11868957516,302.54235290528,258.9312420655199,245.2563385009601,203.99185180678,124.22332794194,73.31578531269241
miub_echo_g,18.7377522182508,25.953262386319192,77.191222229012,143.280814819268,203.80098693840003,279.6019647216,282.41450561528,232.930546875,236.69297363280003,127.350158386136,82.1718365479,54.36271766661602
miub_echo_g,30.791684112584793,35.76729206084799,77.75970764153199,157.654198608424,200.54515319824,283.03567565916,285.91273132336005,241.82474121087998,210.94650329588004,134.07949066158798,85.65951660157602,41.11513935088399
mpi_echam5,12.879632058142404,10.677598476409601,27.7387714004508,98.10401718138402,211.97646911616005,221.67848724360002,223.19291320803998,219.5633303832801,194.286616210944,84.59498336790799,52.749788322444005,20.670333509441598
mpi_echam5,15.578982727533317,17.119800891873197,38.75189334866239,102.72531661992,208.86783447272006,209.31063049311996,222.11562896720002,238.61908691411998,207.3195742798,82.51427139278802,56.89262252806358,27.044542102821598
mri_cgcm2_3_2a,14.1934291076588,11.811901435853201,45.21071029663601,157.695902404888,263.47367065431996,214.03689758312,182.21901794431997,196.39039733888,201.88590759268,118.80279167180396,34.683068752284,18.2049326324384
mri_cgcm2_3_2a,17.765263404852004,16.075656394964007,55.644764099119996,186.643961181696,260.65274169931996,198.02494995111996,174.8105117798,183.66939514156,204.45100433351996,138.07925216676003,48.59341362002438,25.1596241473984
ukmo_hadcm3,19.885003356927598,15.966615543364801,31.789031219521203,90.10907623292002,215.58624450691997,322.30519927983994,272.54444335944,271.61523681632,254.45945617684,137.83450195312,79.05086029049599,47.553437404636796
ukmo_hadcm3,25.433053436302806,13.261873035426802,34.603128852832796,91.05918792720401,188.06734466557202,305.66438964836004,268.83451507572,245.61878173828006,256.05913879392006,123.59507171632399,62.98042724611721,53.48972843167482
ukmo_hadgem1,29.990262389193205,9.813747384548,15.058948645584799,42.939383811923996,229.85820373544001,315.49875762939996,275.64466247556004,272.60144622807996,339.4994348144,177.32055847170002,111.690669326776,72.5836554336672
