GCM (circulation model),Jan,Feb,Mar,Apr,May,Jun,JulAug,Sep,Oct,Nov,Dec
bccr_bcm2_0,96.35827182,92.08554356,85.33178535,92.58313839,162.5432428,100.9787527,86.85663194,143.8189235,154.6840383,138.1385662,237.5076705
cccma_cgcm3_1,63.9075288,73.07498081,139.7769461,193.247774,151.7119657,109.1362903,91.04283788,126.112557,152.5009666,226.3619561,205.688554
cnrm_cm3,123.652707,84.5531135,130.1000622,210.2199097,220.4849994,115.1925295,74.56934775,133.0473018,126.0187997,180.4503778,264.1648712
csiro_mk3_5,25.6142699,54.6808873,121.1384315,178.6269079,139.8879329,63.79562409,73.24128095,99.00133447,155.2681822,248.8201863,214.6410605
gfdl_cm2_0,78.94486816108613,64.6966718526454,100.43693542473078,187.93964092556158,161.77532562838462,59.12536078242307,39.86817231542615,45.14463870340577,71.37258048237155,196.07544737605383,226.2852161113077
gfdl_cm2_1,44.43389467087615,37.95223668906846,54.941323793874616,82.00419000477693,99.68713914434616,35.99341298529985,16.240645912967768,23.09849287684415,43.30441489586747,111.25185592356155,209.9350468563077
ingv_echam4,37.50920098561584,53.254907076161544,102.15614729663076,138.32436546920002,180.8166175255692,102.26819295149231,95.64037601769999,102.91914264973079,117.20322946401538,183.65983816292302,161.25170076812307
inmcm3_0,81.51668313835384,102.19766294029229,176.6758575439231,171.0010974590769,83.98504037121536,30.732286453252307,31.144752319043075,58.377083264853844,119.81304872952309,229.28970689053847,207.19873751130766
ipsl_cm4,171.58289513212304,104.52546163717695,132.85663956854617,139.1947320790615,135.27603706950765,61.17396662783075,41.403734042109996,76.8920448009954,135.68234605052305,201.65542367776922,220.35128197300006
miroc3_2_medres,81.3113658612077,88.34000792873077,102.81799697881539,113.63147735590769,57.8134563152,56.40696004725923,48.93979894201,95.15565754812307,175.51217724733078,175.9323900663154,128.02363527735383
miub_echo_g,89.82404503453846,91.85631473246923,102.05892826969232,109.0118748591,125.58127623336921,71.07107947418461,58.01926733899923,70.59305763239078,95.39805104173846,154.58692521314617,150.6720000046154
mpi_echam5,58.61913334412539,67.51950616100768,89.59454316355385,121.97411023653078,94.86437166654615,45.38185706504539,45.29631537663231,63.89406754419231,98.74715408907694,175.6120998676154,174.50455944355386
mri_cgcm2_3_2a,167.33582658025387,161.6229400633846,204.7009265606923,269.74078956015387,266.73677297738465,188.77584398716922,193.27788646400768,199.6807438778,227.12273759124616,298.1707323515385,264.00869281484614
ukmo_hadcm3,107.11643541780771,102.17637135433077,146.03329702523075,143.27341402498465,132.25695375296158,76.27723660825538,91.4864252163,122.78861999508308,161.37879973189231,181.6688775282692,167.8006439209231
ukmo_hadgem1,59.04004928242322,55.79582049301692,69.91231929339693,93.16856303581538,102.79403246369999,76.23033450203077,91.7935768274477,152.13138991146923,158.2701512849,209.57009829015382,198.9837540847231
