GCM (circulation model),Jan,Feb,Mar,Apr,May,Jun,JulAug,Sep,Oct,Nov,Dec
bccr_bcm2_0,203.8974533,145.2541361,158.7007907,132.8675275,137.0672734,47.03452272,20.00644731,23.92181901,20.45978148,48.12125823,156.1854
bccr_bcm2_0,177.3057043,158.1370871,169.5416855,128.3566008,134.2330401,32.6821345,18.4733799,24.25359394,22.67532792,41.81781164,158.5094537
cccma_cgcm3_1,201.7424289,200.2862853,184.7154739,111.3175179,52.78855528,26.47710085,21.19361839,20.47982812,30.70136865,73.56982907,169.6615281
cccma_cgcm3_1,206.4953517,190.2788199,205.5360393,113.2648944,47.27893897,27.0316134,22.60536307,23.42393564,30.965055,72.11878044,152.307193
cnrm_cm3,220.4574757,165.8992698,161.9186434,213.338695,145.717854,33.14098319,16.89595742,21.80448847,32.18200581,109.5817881,197.8500894
cnrm_cm3,225.0418383,170.9864381,145.9490705,187.4925472,144.2062914,37.23491252,16.38099902,22.5501295,31.18567851,100.2484933,218.678612
csiro_mk3_5,132.3887407,121.7277113,151.9573843,89.08254885,45.8480045,9.146742659,8.088920675,10.21671806,19.72918585,56.18621459,170.5637568
csiro_mk3_5,33.89209584,7.80652298,8.08316311,10.20289149,19.85120374,56.5403866,188.95641,190.4123276,129.5323455,131.9164498,142.4457425
gfdl_cm2_0,211.02808325634285,180.7413619995085,170.41509137835143,129.4749361310971,53.70854959488486,15.458578958685287,7.259061191973087,7.009836507270428,10.343846373040629,39.152927044433916,160.32009860447715
gfdl_cm2_0,234.06562227532282,165.08418421066855,181.28739444186854,120.22053080966855,44.21833711346286,13.0492953645348,6.816205484097237,6.530874213576273,9.820626562402229,37.70594911577291,147.29310978483142
gfdl_cm2_1,178.24556546894578,131.62852036612284,121.07097631184284,96.23044346401143,65.70066258570658,18.941989072729605,12.834505326613629,9.792463131464293,11.394336272991772,34.2929858293236,133.5386611938714
gfdl_cm2_1,185.63763994489713,131.1646572930314,125.74760965617713,100.61751905164283,63.25738282203913,17.88759921576671,13.14863776351917,10.801638280922674,13.617284125948627,37.94104824067043,129.97112633847144
ingv_echam4,129.1965231215143,107.45017329624282,127.21963577272285,87.05915494646285,65.98449044911028,19.217701701615344,16.944530104520773,19.700092903201625,31.238734756205428,94.96871871949142,166.49775085455715
inmcm3_0,180.58040313714858,188.14030009684,235.04993591302855,114.41173607967714,23.12756760801428,10.678143123217142,7.297100715977629,14.244492966793146,43.003444508184856,117.31545748030284,194.84805188863712
inmcm3_0,170.02902505056,171.7962077549114,226.32735116145432,104.34278836930288,29.621520103724286,9.9381820712768,6.137420468670371,13.539705841882286,36.86470932281286,103.4631334304886,182.51248299732
ipsl_cm4,238.7767715454685,181.8796083722543,173.41204387120857,150.36826804028004,69.0267270224857,20.413290572171434,10.581421222111212,14.478522021427258,23.79155071122,61.67413659775913,110.9104263033257
ipsl_cm4,240.84862278528567,194.58561107089145,184.62146475658287,134.33418339316572,71.71488936283143,16.903719958240057,9.111505844551711,12.08525986842437,24.941798942438286,68.42049937931485,119.25199584959142
miroc3_2_medres,188.64573931018856,204.72729263309716,175.35839745649713,107.4946495056114,49.158573041648566,21.519301802771714,15.908980260578852,13.323895004817429,25.808482190543998,53.838539082704564,98.47586332056284
miroc3_2_medres,174.48616823466858,194.102910505,176.70036980769706,105.18811558316573,41.08204972403486,20.083747625352565,13.914504739214854,12.875147846772286,25.786753668109426,53.02883524215143,84.83093566891144
miub_echo_g,167.1878056117657,123.90548956736285,141.06723284041428,96.43685259134,48.97017157419114,21.197084004540283,14.942728946248806,12.514074495859171,24.464312832698287,95.7917578561143,169.15230385917425
miub_echo_g,140.1709687369686,112.14548950202285,150.5530406407257,99.44599336897431,54.695400810251144,20.908965236799137,14.742903711437132,12.6968250410904,26.89759145462572,86.14344602310571,166.29512939463717
mpi_echam5,139.12609579904003,114.87040939339144,101.85979679648572,80.79925003052286,26.085890381674,4.667593153456123,4.979156024112785,10.278633424425257,22.054578028398314,61.837910543164575,122.49111251826858
mpi_echam5,154.54758878441146,115.59120941160286,104.22708380563712,76.64894926884858,21.838173774307716,6.262781765207189,4.3706729273690765,7.382563941818486,21.91880058730838,65.75195390151514,110.14013530178856
mri_cgcm2_3_2a,227.33095986502002,205.76381375445143,229.30973031185428,193.90744083953717,86.44048186709142,34.33243778774972,27.692114639263426,33.31525169101515,51.29432355334142,117.72428528925141,226.3702538626229
mri_cgcm2_3_2a,215.43264127452852,199.79095813209142,235.82534288675424,194.3852626254943,79.97724606651141,35.164066396474,28.420281485157716,34.44694243840656,51.65091551370885,114.20222462242288,227.23109610420005
ukmo_hadcm3,190.59050467361993,159.43256999427143,147.08049948555714,91.0521332331943,39.68507377590443,18.540129607061996,14.34684774875917,25.886854955114,38.94337391852971,60.9791854313583,105.77540561133999
ukmo_hadcm3,183.49842006140284,154.17651443490857,131.84425027028854,100.43404606411997,50.436487545286866,18.943530443739718,14.487431951929286,26.935122459284287,35.04953744071171,64.67576844351714,105.32429041180285
ukmo_hadgem1,144.49486250197572,126.47171196259569,129.89472217554285,91.16651317052286,78.95836718421087,31.274800917086687,20.437330670019684,27.41402324951543,34.729412933792574,85.34541356220286,156.21798771449713
