GCM (circulation model),Jan,Feb,Mar,Apr,May,Jun,JulAug,Sep,Oct,Nov,Dec
bccr_bcm2_0,8.036832809,7.936097145,12.16085815,10.03833199,5.135251045,17.58763695,10.11487389,4.820687294,2.880887508,3.09045887,4.142773151
cccma_cgcm3_1,125.1260757,110.6417313,110.5519409,104.2485428,126.8692627,94.48388672,32.74824142,19.1824379,12.08423615,7.33230114,11.73605061
cnrm_cm3,69.71086121,68.12315369,51.68953705,39.58798218,43.59697342,42.78152466,27.75909424,16.57661247,19.57582092,30.42847061,53.34441376
csiro_mk3_5,8.704216957,9.918334961,10.65065384,8.320879936,9.405478477,7.524534225,5.553144932,3.997680902,4.39936161,5.044959545,5.421792507
gfdl_cm2_0,56.8671455383,61.4469985962,64.1742553711,27.6106281281,14.1854295731,15.5228681564,14.1032543182,11.3947820663,10.6249837875,9.5173330307,16.69764328
gfdl_cm2_1,96.2171554565,68.6264190674,91.0226898193,91.1750488281,101.626274109,78.4426803589,84.9227371216,43.5104408264,18.9967746735,17.4740943909,46.1460151672
ingv_echam4,4.73267793655,3.48912167549,5.00242567062,6.46145248413,4.72777414322,4.00565671921,3.6204328537,2.61329007149,3.14067816734,3.59079813957,3.09712004662
inmcm3_0,4.33724403381,2.84060645103,2.95071101189,1.33806300163,1.12002754211,7.3117275238,10.7611227036,4.11755132675,6.77193498611,5.75189638138,3.46764612198
ipsl_cm4,32.38306427,22.7057991028,17.5082836151,9.1909122467,10.3288230896,21.0466423035,27.5979633331,21.7083930969,20.455165863,21.4855613708,27.8832302094
miroc3_2_medres,60.0834197998,70.5380325317,101.566055298,139.034194946,205.56918335,215.207885742,99.9466018677,20.0686969757,12.6605072021,9.64273071289,15.2469100952
miub_echo_g,115.02620697,38.8556747437,39.2963027954,73.2454833984,82.5632019043,107.614173889,105.296340942,42.5839500427,41.2516021729,58.7315292358,89.402633667
mpi_echam5,0.499806195498,1.06593644619,7.843957901,7.15602350235,4.41567802429,4.7136592865,1.12841796875,0.604118168354,0.434988677502,0.604506015778,1.11307477951
mri_cgcm2_3_2a,84.3492279053,76.2706069946,62.1699333191,43.0476608276,28.8797988892,25.8469104767,18.0752391815,10.7933998108,12.2629203796,20.7395648956,32.6074523926
ukmo_hadcm3,24.3241271973,6.87811756134,20.6123275757,32.9935493469,19.595495224,0.624070048332,0.39368981123,0.523293375969,0.917387008667,0.795808374882,9.24975967407
ukmo_hadgem1,3.05744194984,2.4250793457,2.87236118317,1.8654500246,1.2112416029,2.7143239975,5.51951503754,5.36719608307,2.96232247353,2.46414279938,2.74422049522
