GCM (circulation model),Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
bccr_bcm2_0,54.08542875,50.10966809,59.51437374,65.55661286,70.43493967,68.00114649,74.48428044,74.43675767,76.55364909,69.6023086,65.11055405,57.89741514
cccma_cgcm3_1,62.24072027,57.24048448,60.46462325,59.70685447,65.48141856,67.01421827,68.07160133,65.0143177,66.89814055,64.13912761,71.3859928,70.08152903
cnrm_cm3,64.41341328,57.52317639,70.80296506,80.30451778,91.53901043,92.17370944,97.61402443,90.73968503,86.94435889,81.82628371,68.19157718,66.61348796
csiro_mk3_5,69.54382106,64.10854116,66.03073631,57.06770773,65.87576136,62.80174093,61.71441411,64.88963204,68.92178716,73.01945571,71.35768316,72.82132831
gfdl_cm2_0,67.70539684009555,66.69404607521452,73.53323015369973,75.44286202790576,87.80408002371514,85.86737148616358,74.33899571834746,67.00282144423701,70.37529853960224,72.64690100463291,78.0702828813928,70.55304864042117
gfdl_cm2_1,69.01938907879776,61.67753645785704,67.24041373235265,66.84488340269802,70.0378901720558,71.76723982033523,69.27571578682839,65.72553665185211,70.24607375791271,67.787894857791,74.31132623381015,73.19745659767283
ingv_echam4,75.53781141009324,67.44588688306365,76.31535922736289,72.10046190751959,66.29382928718763,63.77154523137134,66.43158188230524,67.94190241115275,66.02853500277764,71.69631070686488,77.27566852713417,80.90009119029303
inmcm3_0,79.79844880043989,70.39928356371048,75.47476586320394,70.7984702973436,71.00259361719576,61.16878927734715,58.946363064721865,57.45192345597725,59.10409682409689,74.33947096322743,77.32978624358432,86.95630945886684
ipsl_cm4,88.98130164776434,73.74046005097735,77.09251404759203,70.56343242830322,61.12663610082266,59.509989849058016,64.25017495524042,65.30445049528736,77.00227124790844,85.20961761474648,86.11506150072886,91.3228435183384
miroc3_2_medres,68.00793434200794,60.305488117913704,63.299396391229195,59.76605060510947,69.71610080096136,64.064746035604,67.32644301341045,66.21965618322736,76.29475272623473,79.37396568192196,72.86002911594139,72.11501292279327
miub_echo_g,66.90209335937051,60.391853955618934,67.81135737925635,68.8607179767888,70.95810122500687,67.31559600831432,76.88418792207048,77.47638037742304,70.97665131537349,71.29305537322968,68.0377573253467,70.50053482816055
mpi_echam5,75.866175035585,66.0749586823519,80.24830059517286,74.67965571839228,79.40508997024243,82.21503973719545,83.38147089918743,87.16920964736589,82.32871687290785,74.46576390540568,78.20274027684864,77.99664934972093
mri_cgcm2_3_2a,56.75091800547075,53.31639094127033,58.16064085686813,59.861475684098174,60.43310597145949,64.00183175034802,61.01663076323356,67.07528361689212,61.06157929497118,57.6495639888531,61.960682766694454,66.72966803696332
ukmo_hadcm3,68.30865104894117,59.51534727624698,68.24375314071735,70.04723804192501,73.24498960443161,73.85814195826048,74.30397475182829,71.2621778871044,68.56076559818578,70.30446429087092,75.86063260984754,75.35865923056829
ukmo_hadgem1,72.65887433334885,59.90038311096011,71.07238971444083,65.20149014775455,73.16911920942627,70.14514559255612,60.813072876748585,65.34938452783393,69.8813598506785,70.75446930194083,72.99378935417054,80.17350473428269
