GCM (circulation model),Jan,Feb,Mar,Apr,May,Jun,JulAug,Sep,Oct,Nov,Dec
bccr_bcm2_0,55.7220744,50.58947241,61.22632813,61.75328918,71.71830836,63.14214432,73.36503315,77.0825378,77.7129769,68.57250517,60.7196072
bccr_bcm2_0,56.62742273,53.48866489,61.39892265,61.27726958,72.39278141,65.13361124,75.9704765,77.78496673,73.01824066,73.36970248,63.17681482
cccma_cgcm3_1,64.64513519,56.80354244,63.89890481,60.10987253,70.06286862,67.8707766,67.42617915,66.66494634,69.79549005,67.62772939,78.19546418
cccma_cgcm3_1,65.75644659,53.95083699,62.81075318,63.44483337,66.13016128,66.12441006,68.0143611,66.46223931,65.46098162,61.09904346,73.06230885
cnrm_cm3,66.11305165,61.12934623,72.77899706,77.68831944,93.55308994,93.29574585,94.91623886,90.86511959,87.78862858,84.59660006,69.09208141
cnrm_cm3,69.0842781,59.11243634,72.8305257,80.62868262,92.86164303,92.44433092,94.31590935,92.21757132,88.9889333,81.93811175,72.36570011
csiro_mk3_5,77.07445256,69.15717297,70.20054856,65.79433764,69.19564508,69.5034789,63.36234399,65.73174301,68.39314721,72.1210743,74.46248713
csiro_mk3_5,70.98628036,62.08161125,61.55718377,63.06737769,72.39912855,65.87866336,75.34732618,74.49840167,72.7123688,74.51836916,69.25779642
gfdl_cm2_0,68.96699847366258,66.64688743439764,72.86408512373637,77.85661327451976,81.13575333343069,80.7140071136315,73.4991080633496,64.56660885241101,69.95924128401792,75.88644828463345,77.26798508946287
gfdl_cm2_0,72.92845581177953,66.04719897338427,76.1564328438589,81.06752714551114,86.89703879987073,82.10486823547812,71.58016987341772,65.8417752255865,70.1522026608954,76.84091083902273,76.19133075038957
gfdl_cm2_1,71.86516584361853,64.11970813256661,72.30727514899006,69.49984970235438,69.3087881176285,69.4635565153964,68.60402125744967,67.04935384659119,74.2787691368019,73.97506619688481,75.16806958263042
gfdl_cm2_1,71.00281839774942,64.2177493245197,72.10839409957732,68.58975002057421,72.59749654493065,70.89888357473272,69.4862531669881,64.88584408647631,73.79674875111466,74.19761421556834,75.774386379789
ingv_echam4,77.06830692052667,70.23894651988653,79.04126815367883,71.0202040101572,66.9996971600236,61.29903056121133,67.21181438045548,68.18196669020264,66.99868583247985,73.71892288378419,79.62519642361173
inmcm3_0,84.21238461634185,74.14180256184545,80.17460404488953,70.99572240445335,71.74865697446425,59.57140307712536,60.3094828003996,58.44640342612541,64.03650150632456,81.59520057668105,86.78312772049868
inmcm3_0,85.357613894101,72.22145724355683,77.15919994058973,72.48883161282882,70.77195205296641,64.24532213770738,60.57579689074045,57.79199775437942,64.76513516338667,81.83561805715436,82.59433169851852
ipsl_cm4,89.54709098701468,83.33395800982498,77.10781025112917,67.93731716088598,59.33540303451862,59.51432726181083,62.972291405498346,64.074026564417,73.3488838607157,86.60715313860972,90.98479022170028
ipsl_cm4,89.51099010477813,77.30387068864208,82.61787329884712,68.13730471270415,61.014408632407346,59.99476184334017,65.31918262518738,68.02404442927191,71.82165284643922,91.03497170807337,91.52590918125038
miroc3_2_medres,69.70986968442294,60.05286490709549,64.82851955717555,61.93573563117336,67.50290188527525,59.543443182755375,64.58525558837647,61.67205788547238,75.25535890407767,81.50575188802887,75.48367726237812
miroc3_2_medres,67.11203070471987,61.843610069098304,66.49429881603544,63.6996865938481,64.985703241191,57.65884441330311,63.642416070524625,64.84372488577812,73.94883118959211,79.49730278310392,74.74104348560803
miub_echo_g,68.2626073794424,59.60336456156337,67.12920825083363,69.01565493014519,68.57361757339068,67.91839116454845,77.39232453188258,78.0819911034471,71.47392214430536,68.5623235191325,73.34219804605273
miub_echo_g,68.21552770333513,58.90213509510324,70.41075399689383,67.86814491052962,66.06934656081059,71.35838109150478,76.10100532488305,77.76253087138129,72.7797148197984,68.64372764620954,70.33550526673865
mpi_echam5,79.0594875735144,75.63750806414231,80.14880425556662,78.45786751655366,79.8677819670014,84.26616188519381,84.99757434960601,87.5492195482537,83.73479818227183,78.02391748594582,77.07912767083292
mpi_echam5,81.15575738082444,70.38616540009204,78.38741638535065,77.18721114608223,79.70630789607452,79.58535954244522,81.03456474479987,88.2374836381766,82.72417696694652,75.85694823420702,73.16947869469875
mri_cgcm2_3_2a,61.00011820091272,54.21458730674289,59.39849596546543,60.663902792851964,59.92485460430193,60.29146204789364,62.45096716282913,67.44004441841459,59.657030005312066,59.63282327351084,64.15216670190921
mri_cgcm2_3_2a,63.00715928302769,55.344190314524475,63.10174294064964,60.88489924642104,62.07156625664283,64.72350063184739,65.18649897870667,67.99187006150022,62.78848210347933,59.072817476598274,65.81908132786397
ukmo_hadcm3,71.85768425434642,63.383639207199415,70.56328016504612,75.923915099616,76.2380481420295,73.24452603554519,71.50928917431189,71.85889481844443,71.04715777751476,72.03134422467973,78.64247496526889
ukmo_hadcm3,72.97456340123993,65.38475034242231,69.38769662528554,73.32553479438828,76.25519174144146,72.67226207434483,72.74844222205034,69.72478034966576,70.44246944048787,72.14603791986511,76.88397897805777
ukmo_hadgem1,76.05683071059907,65.56297862084264,67.72645913454168,66.45885765759517,76.17548114015531,67.1560072935279,63.04182957294855,64.66483772485049,75.67567597601328,79.69821108487676,81.62923451849555
