GCM (circulation model),Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
bccr_bcm2_0,100.85035530726667,60.09557795527082,81.03446737925415,105.55975325904166,196.9542115529583,209.28465906770836,239.7358379363333,242.33718236287496,246.64447784416666,179.2350487708625,150.58332061765836,140.74157492318338
cccma_cgcm3_1,41.125579436612504,34.705673853558324,46.89907256762083,85.60105721160416,161.60741678865,206.89442189529166,221.09435526529168,270.88711039233334,211.23211908342088,138.72716506319165,76.04715426760832,44.14164201418333
cnrm_cm3,73.76451047264582,41.3529863754875,45.54043873147916,68.27529319122917,113.95526711156667,223.36288738254166,233.9492012659583,232.82216644295832,220.654624939,170.99087238311668,135.79892992975417,107.5763282776208
csiro_mk3_5,14.942208210629163,14.70208420356,16.80811401209,26.6688409249,98.05691893889167,214.27213160191664,193.7679875691417,221.48081970211672,219.98420683540826,111.01222531000418,40.43663338820542,20.348548024901245
gfdl_cm2_0,29.667261083916245,13.408574869237498,14.903399368124168,30.875889023141667,132.7236057918,296.51720873512494,289.07684644075,275.8672021230417,227.39781538645832,133.77684617041254,76.65426488717084,42.86216257014166
gfdl_cm2_1,29.338245709716674,22.726575652757504,30.115892748033755,51.71831480662083,150.31300926221252,258.0451978047084,301.39707056683335,264.63454055779164,213.2555513382209,159.73540890217083,85.74641184017959,53.003938953099585
ingv_echam4,35.9705376426225,29.769314527517086,67.349138259875,109.2220401763875,166.5630064010417,183.7876075109167,164.00996176398334,196.10156949357497,212.7566808064167,143.50701967883336,122.34562853968748,64.50779793661333
inmcm3_0,47.68745879330834,38.260733405749995,47.04367621739166,72.85044272742915,126.909674644475,143.82814820609585,143.03656339645417,165.97006607053333,181.47096697497082,151.3037664890625,119.10462450981252,83.60469778382084
ipsl_cm4,28.188807606700006,20.93428033589375,30.791179617245835,53.27315839131666,105.40073808032918,145.26380920411668,171.3509445190792,217.24986394237501,172.57597398753333,161.1948413849333,98.00819492348334,46.489862521470826
miroc3_2_medres,110.01029769577501,73.44983561832915,62.833868106225005,59.58771610259581,209.7239271799583,237.16656239825002,264.95211029062494,244.5534674327083,250.06555875150005,215.96320819854168,180.45412031809997,159.08161751433747
miub_echo_g,58.25536950429168,52.701735973354175,74.112421512575,106.56165822347918,174.36021232606254,233.03430271141667,283.7690423329166,218.5956039429584,182.823008219375,150.25760777798334,113.92232847207913,76.30443231259999
mpi_echam5,27.761315067613335,21.793374737104163,38.408619244887504,81.61574077600419,209.968132654875,243.59791628525008,255.17066891991666,248.11041768404166,140.7235260009,97.32192166648332,87.40327612559581,63.45792583625414
mri_cgcm2_3_2a,32.05395607154167,28.77251692613875,48.06728005408334,123.34822654727084,260.54996808375,260.6096124648334,223.1968231200833,226.49001312245835,197.7595469157667,122.9429642359333,55.56522746879583,38.483545462279174
ukmo_hadcm3,42.56274239221249,30.955818812045834,41.967991352074996,118.30097770693334,219.20074876150002,238.97104835508333,206.09451484679164,249.96716435754163,256.154344240875,161.29240639995416,88.71335458756664,77.55057040845834
ukmo_hadgem1,39.94360733034417,25.809589395924167,24.147607525187084,56.90859746935416,200.3117577235084,267.7238639197083,253.55462471646672,288.8251822789626,315.650541941375,203.96529531481247,168.3048462868125,110.33511304853754
