GCM (circulation model),Jan,Feb,Mar,Apr,May,Jun,JulAug,Sep,Oct,Nov,Dec
bccr_bcm2_0,86.09655213354584,53.77158757050416,70.22899993261667,97.10599168145832,175.08206272120833,219.1575584412083,235.03948275254172,251.7705268859166,238.9552764892084,185.30368868517917,157.11772187555002
bccr_bcm2_0,87.37890315052499,50.142669677745836,63.2166859308875,89.62870550157083,173.8918968837083,243.03685061145833,219.42376518237498,253.37848599754162,236.63328679408335,166.06908830002084,136.61713918046667
cccma_cgcm3_1,49.63366039593334,32.766771594675,51.68346865972084,98.22899595895835,167.90602238974165,208.37106132508333,234.33347765616665,291.55813916525,201.78680578867497,109.4154766400917,65.72444486619167
cccma_cgcm3_1,40.837011337274994,36.78470424810417,48.815630912787505,89.08793433510418,164.25036176043335,218.33505439758332,239.15291849770836,279.1224390665833,234.6875982284125,119.56982978182917,81.31602239608749
cnrm_cm3,57.29202820857585,35.515786230559165,42.06567474206667,62.05884234110834,104.36908094093333,202.06814320874994,254.3553320566667,262.39776102708333,200.78061803187495,157.8699108759292,149.8076118628708
cnrm_cm3,55.3202057480575,32.84757826726791,38.70735987027499,67.21578399340417,101.03385011354999,205.847564697125,240.42453829437497,254.33003298441668,228.6662438710417,167.8212413788,139.91032886500417
csiro_mk3_5,11.608736425638753,7.201663017273333,9.61656630039,21.53808623552375,78.638782342275,214.82522932687493,197.1169157027792,228.7550471623291,227.49951426192501,122.05962030090002,29.89780682325167
csiro_mk3_5,101.15835150081669,199.20382245376666,202.45395533245417,222.81902662912498,258.81995582583744,110.5767097871125,48.65637775260416,19.145229071385,11.73486731449917,10.064283420637503,15.197648763651669
gfdl_cm2_0,15.80883832772708,9.117906006677083,11.331701755522916,27.54091298580417,120.32629776004585,275.68103281666663,281.67559496558334,285.40216636662495,229.00956916813334,174.54238684969584,76.28004169469581
gfdl_cm2_0,16.439161688085,12.449729373055002,10.04045475522583,27.120491703341667,118.47830518085418,279.52005640670836,304.7255725860417,274.78108978279164,236.86691252398745,171.23672405876252,82.82512927058335
gfdl_cm2_1,33.55333818989334,16.25827478866125,19.414521843198333,43.593623240800014,134.17732906349167,264.6053562164166,296.507606506375,257.8368040719584,178.64884376531245,170.51666529977084,91.15507467588583
gfdl_cm2_1,31.559661994364575,16.706059147904586,19.18836069106292,41.106364647549995,132.242954254075,284.6636619568333,303.76024119054165,258.55547777799995,194.49981133149166,159.05687729524166,124.81551663087083
ingv_echam4,28.363257626707078,27.488338788346258,65.46826052665,103.899350007375,167.36789687477918,178.56436951958335,170.60954920454168,192.48468208303748,209.2481241225125,152.05070956547914,116.51166717210418
inmcm3_0,45.302289048829174,38.090694904325,43.54824487368334,58.00283463795832,110.83766142524166,149.0068174997875,151.36707401272918,171.99298604332913,186.4127391179917,119.21828222278583,107.21774331730414
inmcm3_0,54.692278623570836,43.39725724856249,51.88125975926249,63.22952397664585,114.60882012041252,145.33107153578334,148.62847534808333,179.60734367362917,188.98784478506255,122.13652543221582,103.49104845519578
ipsl_cm4,26.48617712657125,18.214611033589165,18.39374789595625,32.0823903878625,77.81308253607081,132.42941252389167,159.35000006360414,206.7542889912083,177.51462666194163,162.17727279664578,90.1558800538292
ipsl_cm4,21.30718235175917,15.964923540753334,20.299968500937087,33.44812134901917,90.0183075268875,132.4374065399583,171.58902041117497,208.21445910141674,179.21964438758746,147.64991839729169,96.63557251294999
miroc3_2_medres,100.4807212352875,42.29772957166458,45.026331583654155,40.255487600954176,174.07807636262498,230.76704851791666,251.49108695987493,254.29398028058336,213.9114106495417,208.57430966695009,164.62345226603753
miroc3_2_medres,109.00999470555,58.69498451549584,52.829082409566674,57.678622881575,212.8114318847083,234.3848883310834,271.02097702020836,206.08475812275,202.6705814997916,211.81390349077083,192.4655769666125
miub_echo_g,38.36959930262499,39.36963462829167,71.67418305077082,120.03134266535831,145.21729516985832,257.1358652115418,280.68374315895835,202.67310460404167,216.60625902808337,137.80411068599167,111.6380583445042
miub_echo_g,49.684424241370834,49.52591085432502,76.90135892226667,123.04184881843332,162.358205795275,246.97907638554167,274.18585840866666,216.04236412050008,183.27965927133332,132.82732566194997,105.26514641445833
mpi_echam5,31.220435341188338,17.40635466575458,27.589212894437498,67.34211619693333,205.60372861224997,250.46590487154162,253.12892341620838,231.97876993812497,172.97579669963332,94.03524835905417,91.14526609579998
mpi_echam5,35.706272880252094,23.97514116764208,34.485718409225,74.93115011848751,212.09236780795825,218.68785540262505,249.75547726945834,251.07082112637508,189.08593591055413,105.17211866381666,90.75051112967917
mri_cgcm2_3_2a,28.579705953591667,25.002058764297086,35.30776151020833,105.69803428659998,232.95943069462496,253.9028968810792,224.957574844375,219.04756387079166,191.35707887008752,91.64311635493503,28.8892239729625
mri_cgcm2_3_2a,32.57898251215416,27.251687486971253,44.67561427752083,124.25878938035002,244.3956642152083,250.79978275300004,219.56676292420832,214.25895722712502,193.1647925376709,113.28981916112497,40.24214732647915
ukmo_hadcm3,36.96587431431251,26.784904440254167,47.95611651739585,102.47004795079165,231.774851799,231.07597414654165,216.39609018966667,254.15845171608336,266.5853856404584,165.90803527834586,99.01718616491252
ukmo_hadcm3,35.349606275570835,24.764032244683346,42.379492839175,98.13469330470417,214.64979044595836,245.15664164229167,196.81805737816669,231.56937789925,273.3529446919584,149.71019649501665,89.17038583753333
ukmo_hadgem1,38.40326799946832,23.704355796169168,27.463311870892497,39.73370178541666,193.66631635028747,254.75584252677922,238.68733946480418,268.61225175866247,315.061536153125,193.05928611760837,135.8928650618083
