GCM (circulation model),Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
bccr_bcm2_0,275.7223323,239.9180929,224.9391134,133.8085108,49.23788382,5.334911573,1.221822985,1.307007406,3.443325392,73.17265533,213.3381037,271.8091949
bccr_bcm2_0,276.4477158,254.396789,235.9585459,131.8592387,48.74446983,4.425474286,1.015063061,1.271362932,2.890757956,61.82207581,217.6379354,287.474587
cccma_cgcm3_1,247.4710393,213.6385068,141.8844893,31.20437956,13.32168458,6.779347654,4.621999694,3.216184024,7.464795466,41.75484076,152.0076911,207.1336517
cccma_cgcm3_1,267.587087,234.391095,147.1232445,35.91417255,10.32020449,8.124703892,5.872718694,4.450919656,8.155573138,34.32829332,155.2381523,229.296906
cnrm_cm3,312.2657959,270.2451996,255.6678507,147.0566254,32.46634601,2.077587355,0.516835066,0.71374296,16.31467546,105.6583823,216.6620781,312.2242264
cnrm_cm3,307.3756282,266.6444036,223.3037954,133.9151886,31.30282251,1.951488672,0.514023621,0.814434988,13.79172227,97.45954514,238.0202291,288.086765
csiro_mk3_5,248.8436905,215.1564443,217.7901377,37.67105239,3.805633338,0.183565544,0.091590642,0.04631851,3.267385819,31.38038465,147.3440773,215.0618332
csiro_mk3_5,1.632096016,0.108625604,0.106243375,0.120748197,2.868414931,32.18483716,159.3083227,223.1615069,222.8103404,256.5789007,180.9774101,34.5857021
gfdl_cm2_0,316.2854303995666,270.2479232788,173.99325459799002,45.31748040518333,4.789721345900666,0.98395425590377,0.69077370166769,0.6305467955770633,1.7939073865617,19.234143652528434,140.21359087628667,292.84776560473335
gfdl_cm2_0,316.86810811363335,279.83855641680003,188.11686185195668,31.17898157437134,4.162956364950667,1.4504986772927333,0.40220886816593,0.8758301898836,2.265500906607434,17.143209137528565,136.20886230466667,285.9961385091
gfdl_cm2_1,320.02574412046675,268.5609207153667,184.5968518575333,37.27720967928,8.650301778313802,2.17416331203164,1.85232567861685,1.1509094464284333,2.3193963021035335,13.087834656241233,123.14340413409998,302.78470153806666
gfdl_cm2_1,308.3800201415999,267.72189229326665,203.65987447103336,35.579117059707336,8.788605447612333,2.460263768955697,1.3798325090355097,0.4401784842211132,1.7964244892186332,12.831514600908001,109.20011901858,288.40457102459993
ingv_echam4,206.00841929119997,177.08315633138665,180.83151855473332,59.399452527360005,9.16946571668,0.6434251678173993,0.5312410482513407,1.0228663359930534,11.728747292363666,107.96959584561002,217.38334960943334,226.32875671383337
inmcm3_0,160.4189552306867,171.7062151591,127.94142653142667,28.90891977152034,3.4219489514811,2.768784431617166,1.835018245378467,3.090012963611334,11.737174526850334,54.21049156185333,116.56172180164667,139.93297932941996
inmcm3_0,153.9273119609,161.17439676922334,146.05781796770003,26.512795869506338,4.251798359556367,1.8756192455695666,1.6010066350299335,2.6730791568759997,10.221079977353332,47.70976994832667,108.62300186159665,143.07393925981998
ipsl_cm4,226.07397308343994,199.19870656333995,142.28799235025664,57.0202864647,12.188104200365997,2.3208181515337336,1.4251586286975635,1.0938628087437665,2.7098458707324666,18.092604653038,46.32906831101001,150.28345870971668
ipsl_cm4,231.3065114339433,203.6193154652733,147.54576174416334,53.14392201111333,12.653523151081666,1.9866470396511333,1.2926817656187233,1.04324490129931,2.6191492140305335,16.87535402774967,55.07910639443,156.10240351360665
miroc3_2_medres,270.3048731486,274.6713195801,195.56234461460002,42.50198987325333,17.719770987828337,13.625200688839998,10.576082487902001,3.828904231389333,4.808499153454334,30.992305215206663,115.62185236610335,202.4556182861667
miroc3_2_medres,264.50540974936666,258.71195780436665,201.41054051726667,39.26990636191,17.953427592912337,13.012396955493996,9.452457956470466,4.018144414826099,4.018933753172333,18.845888614653337,93.69221954354333,197.7592748007333
miub_echo_g,223.93800964356666,182.90046691893335,154.97998733526666,42.644868151340006,5.983599885302,2.6012908021621333,1.6656606602790631,2.378685738643334,16.154718081158332,107.10487874354332,203.60927937820003,235.48465423589994
miub_echo_g,219.36304168713332,178.2824793497667,153.7685620626,40.28699296316001,6.885443774861333,2.1758159771557337,2.367825863759,1.8395331189039694,17.520375235879666,105.14388249714999,213.99409739180007,228.04159189859996
mpi_echam5,166.26057662966667,150.40646896369998,105.31759770703664,41.15202242533,5.399817442894999,0.3210839074105134,1.0646613707144967,1.7404840213558934,6.474980241554833,45.06610838570334,120.26913884469667,183.04510523476665
mpi_echam5,172.5727989197,143.95669047036662,108.95043500264669,44.79891192119666,4.996754968166333,1.0241374353566333,1.0113114426532002,0.4519417926716593,6.573755141594803,54.72323411306666,123.98958689371331,175.3590385437
mri_cgcm2_3_2a,257.3078186035,229.77779337560006,212.56215006511667,81.66645778023067,9.056264531613898,5.019733430944234,3.264314011732633,2.250755981603701,6.6755044301340005,47.87614781062999,168.74958966572336,267.77413177489996
mri_cgcm2_3_2a,248.78607432043333,217.05696716316663,206.02734324136995,75.99834623336201,8.4639649828271,4.948782738050666,3.3504426081978664,1.8225841393069664,7.959181658426667,53.41772060394333,170.91942024220998,267.8844772338
ukmo_hadcm3,257.7371297201,200.61166763306665,115.98784294134335,28.68021697997666,4.5932239691423,4.191527915001666,2.9086200157784003,5.0411542057979,18.898760652543334,64.47260880473533,144.91582705177998,244.69540710456667
ukmo_hadcm3,265.71335245766664,191.4075177511,99.51214536034334,24.874683539076667,5.255132335424335,3.488550384839667,2.5593537926677,6.990124094484332,18.280177895226,62.69205458960666,145.43739980060997,224.41610209143334
