GCM (circulation model),Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
bccr_bcm2_0,24.51182637,24.86638675,24.65924869,23.86680657,22.10940484,20.06869655,20.17230063,22.78129483,25.32360678,25.60041201,25.17554251,24.27750403
bccr_bcm2_0,24.32125746,24.64334971,24.64427509,23.81084408,21.91824219,20.15334556,19.96420167,22.58632032,25.22414945,25.63232516,25.05266456,24.51622536
cccma_cgcm3_1,25.83146573,26.02073602,25.97510697,25.104207,23.59253969,22.10284275,22.14632828,24.023811,26.11830733,27.20675943,27.00836087,26.15647105
cccma_cgcm3_1,25.7551283,25.92400205,25.8297635,25.1680811,23.6458643,22.03181903,21.96007558,24.04877033,26.53714637,27.57963319,26.95702936,25.85285977
cnrm_cm3,25.47709021,25.74624796,25.68384383,24.86689272,23.24139539,21.8080362,22.20573182,24.65411944,26.80198899,26.93140999,26.00258589,25.22830781
cnrm_cm3,25.41187266,25.77382599,25.57590289,24.67802969,23.0001908,21.69557001,22.17995986,24.57511821,26.7679099,26.91446693,25.93738981,25.20825897
csiro_mk3_5,30.88225873,30.7584477,29.85586737,29.55299323,28.88982587,28.24262528,28.55499605,29.9726838,32.41708428,33.35929857,31.96415278,31.42638985
csiro_mk3_5,28.64846343,28.1909894,28.36679226,29.88133577,32.07537518,33.05380154,32.22700298,31.72359865,31.06075834,30.86354349,29.89691054,29.44900675
gfdl_cm2_0,25.64513025874468,25.466674534620324,25.116674642648235,24.30431885845972,23.791006172653073,23.75690358929779,24.720657078566372,26.714402595451325,28.743097355935372,29.218168410578297,27.95860479574557,26.268110292144684
gfdl_cm2_0,25.33836904880222,25.318342360777436,25.07111554440751,24.383403001638506,23.58865937089644,23.563840207801324,24.63006686320308,26.86616772676944,28.622450566920342,29.405071427331855,27.937811792426096,26.176601443667256
gfdl_cm2_1,26.455818783921682,26.19107123180842,25.604044551344657,24.790180577643813,24.1319919012283,23.99745002679068,25.05073776920177,27.257599552119014,29.197043764905754,30.110697113307094,29.597912678680075,27.333019425384524
gfdl_cm2_1,26.29628004225928,26.05037749974469,25.483789494607954,24.53867454866371,23.916378325068134,23.6964485371,24.945548538614172,27.102755251183176,28.991491942277868,30.004230735576087,29.173481088822573,27.2359863551292
ingv_echam4,26.768814897115924,26.663603791093376,26.250585640427428,25.51346149275841,25.315577549217252,24.934207477396903,25.603485782588052,27.86336672622653,29.429916651906186,28.975660881111928,27.497858638254858,26.633963390794687
inmcm3_0,26.033205150503093,25.670946644471233,25.165605528161045,24.33831746599116,22.607299264553962,21.074031188424765,20.4868155960469,21.769610649719905,24.178763735606644,26.03755336525132,26.59284608554247,26.481377930765916
inmcm3_0,26.00722618440268,25.528818721264585,25.12772160082564,24.248406334260604,22.51981860135442,20.808202152759822,20.310026320737517,21.70302845102647,24.230790940006184,25.91513844717788,26.512623879760184,26.458021180816804
ipsl_cm4,28.656974049793345,28.922596619191573,28.64981241141635,27.88464558019511,26.02216224333009,24.348897883322557,24.013646758762825,25.496899360049987,27.999893998675233,29.43091333439869,29.669951447344243,28.9370672175292
ipsl_cm4,28.715369435537596,28.887020684976108,28.665080652826102,27.889897439330102,25.69764304371724,24.191713856384055,23.872808270752202,25.483069225748224,27.941792851003964,29.36466925967434,29.58351688891328,29.270765051377417
miroc3_2_medres,26.106595064686733,26.150572515167692,25.931927031118573,24.874468778084942,23.077985645394254,21.482788356002654,21.119003025828317,23.16587410985664,26.299493570247762,27.252216440385393,26.32586980498939,25.990700240683168
miroc3_2_medres,25.720261565351308,25.739733670662844,25.609329898800883,24.546663537487603,22.9162022413394,21.148677589612827,20.771824119366382,22.611811274978734,25.828674316405763,26.86058773614823,26.260881677138048,25.69331400373275
miub_echo_g,25.058382557556186,25.323738840826532,25.092297579331426,24.741093323297775,24.266449649777435,23.738423710374754,24.170333187138056,26.545563824410166,28.20720503814955,27.540944597363726,26.059400440321223,25.183839375994676
miub_echo_g,25.02392092004336,25.156541267319476,25.141728899119478,24.72620574141061,24.25067975879778,23.55099433290885,24.164577382855743,26.428246557184067,27.939353065151803,27.23466815779645,25.874038156153983,25.16217837713361
mpi_echam5,26.076177411372573,26.179148851241138,26.039577382855292,25.50790216226282,24.484303702296035,23.66171197132078,24.60851983264468,26.860669431429628,28.75408165855706,28.526436189631866,27.63319275442432,26.319862568270338
mpi_echam5,25.84102407810045,26.01757880016415,26.074640459715926,25.285201351196015,24.553319340256195,23.568290372865043,24.26165069310221,26.48940445891195,28.43244920578495,28.28877825441726,27.282145812445563,26.19937403856503
mri_cgcm2_3_2a,25.2199299229991,25.156138597334515,25.239681952821222,24.625628581088495,23.29762119529291,21.819746034335402,21.464582595148244,22.68527086646106,24.27195186108541,24.95937462190267,25.337969484580544,25.334518567649543
mri_cgcm2_3_2a,25.162662742409715,25.028889208769012,25.177376536138933,24.542338683538045,23.197866929313264,21.655170812015037,21.3307133227345,22.538530062782723,24.10969570463051,24.81133992692831,25.227495311634062,25.312110428261505
ukmo_hadcm3,27.474202924071236,27.140431091849983,27.0721237047584,26.28010140478142,24.711797123463715,23.296228864553985,23.39667787805353,25.900021578358416,28.523231843928315,29.374003857635397,28.44118263447476,27.70588792108892
ukmo_hadcm3,27.39996580951194,27.38067843006724,27.0420144680314,26.23368470858847,24.75886765201593,23.245236962240796,23.414293137270334,26.0479737678469,28.287699741599123,29.00402967064911,28.371034740343784,27.61404918569204
ukmo_hadgem1,25.854673672564147,26.084270240984065,25.807271231595127,24.776850337475214,23.3210238566438,21.894306959300888,21.486355536807082,22.807350901374775,25.22803990186859,26.341604182151315,26.421354310702185,26.061988357945108
