GCM (circulation model),Jan,Feb,Mar,Apr,May,Jun,JulAug,Sep,Oct,Nov,Dec
bccr_bcm2_0,17.62031047,18.09070841,19.10745239,19.21392822,17.83580526,17.39242554,16.72449748,18.21037801,19.35746257,19.92541504,18.17062378
cccma_cgcm3_1,18.61430868,19.009552,19.15318807,19.55950928,19.7448527,18.86289469,19.06536865,19.92729696,20.4614563,19.9142863,18.50597127
cnrm_cm3,18.61462402,19.13101196,19.51775106,19.20302327,18.41556803,16.92360433,17.00275675,19.26547241,20.38694255,20.08669027,18.85796102
csiro_mk3_5,22.52386475,23.07803345,23.53344727,24.10985311,24.03438314,24.34877523,24.37021891,24.93969727,24.87681071,23.61035156,22.47966512
gfdl_cm2_0,17.591135660800003,18.097900390600003,18.580444335933333,18.806386311866664,18.5185139974,19.420196533200002,20.44737752276667,20.908732096366666,20.79809570313333,19.40966796876667,18.147857665999997
gfdl_cm2_1,18.99389648436667,20.031311035166667,20.4837849935,20.786509196,20.98959350583333,21.60509236653333,22.597971598333334,23.344146728500004,23.489624023433336,22.0752766927,19.592407226566667
ingv_echam4,18.284647623733335,19.162058512399998,19.75548299153333,20.3437805176,19.7007039388,20.1285502116,20.403218587233333,20.6508585612,20.5616353353,19.609405517566667,18.071604410800003
inmcm3_0,20.750254313166668,21.406036376966668,21.2905883789,20.222239176433334,18.486521403,16.9562479655,16.851969401066665,18.290323893233335,19.664978027333333,20.68689982096667,20.450968424466666
ipsl_cm4,22.278076171866662,23.257639567066665,23.8158162435,23.82522583006667,23.53686523436667,23.341471354166668,23.469543457033335,23.7860514323,23.6395772298,23.3444519043,22.727274576833334
miroc3_2_medres,19.226867675799998,19.696533203133335,20.378275553399998,20.644877115866667,19.805867513,18.526214599633335,18.697001139333334,20.465260823566666,21.447011311833336,20.6878967285,19.886444091766666
miub_echo_g,18.481394449833335,19.0298461914,19.987040201833334,20.736643473333334,20.70991007483333,20.783467610666666,21.3580525716,22.2128601074,22.420369466166665,20.724039713533333,19.132344563833332
mpi_echam5,19.433471679700002,19.93544514973333,20.360850016266667,20.316579182966667,20.1516418457,19.94577026366667,20.3108113607,21.265797932933335,21.58019002276667,20.49780273436667,19.471038818366665
mri_cgcm2_3_2a,19.729237874333332,20.236714680966667,20.787434895833332,20.497456868466667,20.6881917318,19.944254557266664,19.571807861333333,19.867502848300003,20.41188557943333,20.357594807933335,20.2701619466
ukmo_hadcm3,20.508066813166668,21.285085042333332,21.445210774733336,21.1981302897,20.118174235033333,19.06210327146667,19.133178710966668,20.024291992200002,20.841603597,20.983917236333337,20.5907084147
ukmo_hadgem1,20.015696207666668,20.639719645166668,21.393005371100003,21.1603190104,20.5816040039,20.255421956400003,20.625386556000002,21.303049723333334,21.706339518199997,20.785451253266665,19.697174072266666
