GCM (circulation model),Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
bccr_bcm2_0,18.09923299,18.8908488,19.50078328,19.7171936,18.53166707,17.77318319,17.45367432,18.8950297,20.25786336,20.64967855,19.21159871,18.0729777
bccr_bcm2_0,18.35450236,18.75734456,19.14725749,19.4793396,18.60947673,17.64436849,17.39090983,18.92283122,20.12081909,20.85331217,19.05659993,18.41928101
cccma_cgcm3_1,19.27495321,19.72108968,20.2008667,20.51100667,20.75442505,20.07269287,20.22658285,21.31050618,21.66623942,20.75649007,19.16486613,18.99416097
cccma_cgcm3_1,19.24697876,19.81310018,20.0464681,20.55760701,20.64605713,19.76277669,19.99020386,20.94830322,21.65248617,20.50997925,19.20119222,18.96526082
cnrm_cm3,19.61472575,20.30788167,20.65912882,20.19181315,19.29925537,17.86796061,18.02204386,20.46743774,21.6268514,20.83159383,19.92426554,19.69403076
cnrm_cm3,19.7940979,20.34172567,20.58886719,20.18301392,19.29000854,17.95467122,17.97730509,20.37301636,21.47610474,20.93746948,19.6105245,19.38540649
csiro_mk3_5,23.71394857,24.17140706,24.73598226,25.39175415,25.42867025,25.71939087,25.79201253,26.3083903,26.58455404,24.997111,23.7396342,23.29451497
csiro_mk3_5,25.7484436,25.73422241,25.71368408,26.15287272,26.23421224,24.80836995,23.33401489,23.05007935,23.39336141,24.1050415,24.67201742,25.22244263
gfdl_cm2_0,18.51343790693333,19.1585286458,19.771759033166663,19.912404378233333,19.606353759766666,20.607554117833335,21.612569173166666,21.9907023112,21.4862162272,20.553120931,19.230367024766668,18.23805745443333
gfdl_cm2_0,18.3522745768,19.107014973933335,19.7073771159,19.8034769694,19.62901814776667,20.6105448405,21.641591390000002,21.897165934233332,21.742553710933333,20.596547444666665,19.19140625,18.1301167806
gfdl_cm2_1,19.947316487633334,20.909749348933335,21.693481445300005,21.755767822266666,21.876241048166666,22.821543375633336,23.840799967433338,24.505472819,24.40587361653333,22.99780273436667,20.677785237633334,19.78389485673333
gfdl_cm2_1,19.802703857433333,20.527923584,21.184906005833337,21.4929707845,21.6277770996,22.592864990233334,23.539896647133332,24.5377298991,24.368621826166663,22.748555501266665,20.663543701166663,19.653371175133334
ingv_echam4,19.943735758466666,20.9823099772,20.969930013033334,21.757629394533335,20.6230875651,21.098937988266666,21.569101969366667,22.055847167933333,21.964182535800003,20.450856526699997,19.2263285319,18.5662536621
inmcm3_0,21.872639973966667,22.419637044300003,22.21908569336667,21.4255371094,19.530202229833332,18.531463623033336,18.068288167333332,19.537760416666668,21.248718261700002,21.685424804666667,21.208780924466666,21.3669128418
inmcm3_0,21.6819864909,22.4524332682,22.231475830066667,21.301818847666667,19.661570231133332,18.362213134766666,17.893636067733336,19.227528889933335,20.989440917933333,21.671966552733334,21.180480957033332,21.160807291666668
ipsl_cm4,23.371724446633333,24.2901916504,24.861907959000003,24.665629069,24.612019856766665,24.608917236333337,24.612253824866666,24.782094319633334,24.854614257799998,24.374379475933335,23.797597249333336,23.198557535833334
ipsl_cm4,23.262217203800002,24.188832600933335,24.675059000633336,24.690480550133334,24.480916341166665,24.434539794933333,24.541676839200004,24.885609944666665,24.831217447900002,24.221984863266666,23.620137532533334,23.2298787435
miroc3_2_medres,20.478129069,20.9114888509,21.4480082194,21.604695638033334,20.747599283833335,19.356282552066666,19.5338643392,21.382497151699997,22.323659261066666,21.334991455066667,20.533304850266667,20.0871073405
miroc3_2_medres,20.169759114566666,20.650868733733333,21.3110148112,21.560821533233334,20.599487304700002,19.177734375,19.481618245433335,21.18650309243333,21.9762980143,21.272145589166666,20.416198730466668,19.849792480466665
miub_echo_g,19.176534016933335,20.083669026666666,20.5145670573,21.446166992200002,21.459625244133335,21.788421630833337,22.2728678385,23.329071044933333,23.61439005533333,21.6042582194,19.934265136700002,19.1251220703
miub_echo_g,19.447275797533337,20.271830240866667,20.5744628906,21.184590657533334,21.288574218766666,21.367980957033335,21.8700052897,23.149546305333335,23.5524698893,21.454060872366664,19.998575846366666,19.069030761733334
mpi_echam5,20.185017903666665,20.7890625,21.421966552733334,21.076975504566665,21.264933268199997,21.201873779299998,21.737996419266665,22.317392985033333,22.34358723956667,21.254099527999998,20.099070231133336,19.688456217433334
mpi_echam5,19.6642150879,20.501963297533337,21.003489176433334,20.874654134133333,20.9938964844,20.831390380833334,21.234263102200003,22.060465494800003,22.259948730466665,20.939392089866665,19.9251200358,19.45372517903333
mri_cgcm2_3_2a,20.480784098333334,20.8957417806,21.454986572233334,21.124704996766667,21.230763753266665,20.541931152333333,20.1914876302,20.599863688133336,21.249735514333334,21.25377400716667,21.033925374333336,20.41723632813333
mri_cgcm2_3_2a,20.402608235666666,20.6934102376,21.226267496733332,21.004282633433334,21.255238850933335,20.470703125,20.0942993164,20.530995686833332,21.04946899413333,21.082122802733334,20.812347412133335,20.460225423166666
ukmo_hadcm3,21.51928710936667,22.243509928366667,22.423065185566667,22.294881184899996,21.302947998066667,20.32708740236667,20.246327718066667,20.98788452146667,21.7603047689,22.063802083366667,21.39393107096667,21.196472167966668
ukmo_hadcm3,21.344319661466667,22.096995035800003,22.39217122393333,21.969401041666668,21.186472574866666,20.0765991211,20.0985616048,20.89424641926667,21.688334147100004,21.869079589833333,21.294474283866666,21.077270507799998
ukmo_hadgem1,20.730092366566666,21.266957600933335,21.821736653633337,22.1599731445,21.468577067033333,21.35310872396667,21.523366292333336,22.012247721366666,22.4589131673,21.88338216143333,20.6257425944,20.421376546233333
