GCM (circulation model),Jan,Feb,Mar,Apr,May,Jun,JulAug,Sep,Oct,Nov,Dec
bccr_bcm2_0,-11.64075726,-8.384620466,-2.221850044,4.458981665,10.69406409,15.99585905,19.02835304,18.13014101,13.02355395,5.406389387,-2.569164226
bccr_bcm2_0,-11.78927005,-8.423397566,-2.731848165,4.172010522,10.41620275,15.96310294,18.71452392,17.90139459,12.88068761,5.407867733,-2.598172188
cccma_cgcm3_1,-11.29564873,-7.67675972,-0.263711026,6.185631802,11.63671463,17.07650566,19.96478773,18.35620017,12.68689346,5.900723708,-0.656630867
cccma_cgcm3_1,-11.32470603,-7.901893114,-0.290428413,6.051000997,11.60617608,16.69895042,19.58781343,17.9159825,12.4091042,5.504090359,-1.203447442
cnrm_cm3,-8.598304397,-5.385074365,0.367333462,6.161211516,11.48323149,16.88021238,19.25617579,17.90039002,12.98281148,5.897832067,-1.332206124
cnrm_cm3,-8.517282486,-5.180841295,0.308221516,6.066131692,11.70897795,16.9787951,19.17611734,18.03064808,13.04326409,6.029987837,-1.131309861
csiro_mk3_5,-6.853009174,-3.431910013,2.971210781,9.91046253,16.0274079,21.30461482,23.79964196,22.23920501,16.18832779,8.182140852,1.280062224
csiro_mk3_5,15.69108843,20.91468731,23.57088079,21.96036901,16.17328734,8.324367322,1.169471138,-5.097640038,-6.836775479,-3.901556567,2.709479181
gfdl_cm2_0,-12.109978876617665,-8.587127785932992,-2.7732515837026397,3.4678519399528236,9.51555021185489,14.43722112555089,16.88929166291814,15.319710480538964,10.278639040495035,3.244294618304777,-3.8796920776373156
gfdl_cm2_0,-11.762578110947327,-8.561513549403719,-2.722686115063312,3.6096223529992715,9.64459288747574,14.43847385205918,17.107862673307853,15.543015329459353,10.356769360994932,3.470053120664037,-4.356359331232778
gfdl_cm2_1,-8.890638351439495,-6.143832959627039,-0.5054913571006898,6.119387676841774,12.397343384591377,17.023729826275492,19.096328434189896,16.97164876837674,12.146141654561788,5.66892734326906,-1.6911103599958615
gfdl_cm2_1,-8.595214442204087,-6.196507052370306,-0.48230567731462815,6.25038929989565,12.370055951567753,16.971955449959047,18.978671726426807,17.045947727402567,12.478221491762037,5.631034549913685,-2.2580738569564254
ingv_echam4,-7.0171221180967,-5.041904047915605,0.8883619810403353,7.84531974792487,13.557415510477343,18.715533708271508,21.72413213629325,20.79735384489409,15.862774597970093,8.36172023572326,0.5490236784294973
inmcm3_0,-10.34930791353051,-7.183256249679389,-1.1376663509171052,6.862434889141451,13.463546150609142,17.73885576348407,19.89502967031212,18.524971108684927,13.401104374933363,6.5905140324631954,-0.8179066306669162
inmcm3_0,-10.497177023636532,-8.254060343692675,-1.6349234831966428,6.252489993447145,13.166967693127315,17.699392017565234,19.9559141460225,18.465886567765928,13.23922859995055,6.011604309081157,-1.1882011012043237
ipsl_cm4,-11.428995082256305,-8.203454770537267,-3.6292238737394475,3.039742218821447,10.155004501341075,15.601829227647636,17.885191164519316,17.138714238218025,12.449451747692219,5.33714374743018,-2.9985952879259625
ipsl_cm4,-10.90200775548113,-8.602960636742962,-3.6371061927392234,3.1482108266728135,9.96894063447507,15.66480486016549,17.974937037414538,17.10048806039909,12.441590660495057,5.229419808638932,-3.063217765407499
miroc3_2_medres,-7.493787263568759,-4.7811594511336395,0.16391734072857353,6.988696048136416,13.883921673427665,19.113499691611114,21.412118911742127,20.619945526124408,15.774013519286568,8.336260243467473,0.6811358301275775
miroc3_2_medres,-7.81706674475705,-5.40781432704011,0.08807659149101245,7.07537641023251,14.018182051810257,19.190020912571956,21.45854056508846,20.5023765563957,15.765960392199062,8.189739126908165,0.08782697978709367
miub_echo_g,-8.335583486055857,-7.088169850802352,-1.8448822623806878,4.343117061413479,9.436700068021894,13.553073180349395,16.462694268479684,16.028539256043068,12.198129553541397,6.642584850911819,0.367796847693703
miub_echo_g,-8.651758444938096,-7.33943201366188,-2.3408832550058634,4.12714822668792,9.372930074990165,13.125456257869754,16.151627390008635,15.792131223173424,12.246338392558016,6.508489407989904,0.16092089602780005
mpi_echam5,-7.252530951247702,-4.15842638517703,2.72931836780857,9.536700800845367,14.483348645660316,18.258803718969492,20.133197483266066,18.895247108058868,14.738686712162893,8.552388642962212,0.8689918518066855
mpi_echam5,-7.648249224612318,-4.626888777079059,1.8766223003991758,9.096287275616668,14.1370721114297,18.186820682725415,20.017866736962745,18.87266660991316,14.48056552284713,8.456087112425882,1.063402125708303
mri_cgcm2_3_2a,-8.285567885951949,-4.87551493393984,1.756815157438946,7.49687465868426,12.14265281275492,17.09139994571035,19.82884708203738,18.23980993973516,13.47072611356935,6.818313297471018,0.5282995324386434
mri_cgcm2_3_2a,-8.458523549533837,-4.750913921151747,1.9609636005603712,7.3009951742071095,12.275797191419018,17.2840746829374,19.875978469845474,18.297997926410375,13.417321255332787,6.870323181149499,0.847664080168947
ukmo_hadcm3,-9.697324803003204,-6.61242655703977,0.3454545673573414,7.869798359119353,13.441142433566041,18.228922793740395,20.510320261906603,19.128090607492478,13.728131143670396,6.840664512230961,-0.8996926357882266
ukmo_hadcm3,-10.038867599085393,-6.576010001334457,-0.13276376222243477,7.3469112797784515,13.145242389879012,17.947515989604227,20.414039411044367,19.001822822971302,13.533798920481065,6.733178490086749,-1.1806810278643531
ukmo_hadgem1,-13.069885655453453,-9.956496841028951,-2.643132360358652,5.559460790533597,13.244809602436408,18.273477654707136,21.07986580698261,19.78631762454523,13.866099809342792,5.8299560546865585,-2.724457339238636
