GCM (circulation model),Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
bccr_bcm2_0,22.34619522,23.89844131,24.68943558,24.27293396,22.97540054,21.82633133,22.18609695,23.69276962,23.89183121,23.48280258,23.14736557,22.21917953
bccr_bcm2_0,22.15176468,23.74183884,24.79647064,24.28417587,22.89448013,21.93850632,21.96735458,23.6342865,23.89546661,23.45911942,23.05186386,22.20761948
cccma_cgcm3_1,24.84354553,25.82138748,26.1506218,25.42367554,23.64252014,22.95221024,23.13361969,23.93591537,24.10121078,23.79442062,23.81721039,24.05382843
cccma_cgcm3_1,24.68440704,25.38838806,25.68833389,25.27400055,23.72593002,22.92004166,22.96966629,23.67015762,24.10738068,23.78810654,23.77071152,23.90156708
cnrm_cm3,24.17629776,25.34421539,25.69695816,25.32110214,24.27143784,23.6235405,23.72768555,24.39972687,24.72789307,24.22092743,24.22630005,23.65367737
cnrm_cm3,23.94029236,25.19660416,25.57799835,25.04336395,24.11820755,23.53210449,23.73020554,24.43115768,24.67820969,24.39067307,24.2033844,23.57640305
csiro_mk3_5,30.39361191,30.21294098,29.22431412,28.60068741,28.34873123,28.61770096,29.23705444,30.44910126,32.02445602,32.63086548,30.88829651,30.94220734
csiro_mk3_5,28.21249084,28.56746521,29.1694397,30.41123047,31.73080978,32.07332687,30.95941772,31.06689758,30.5809021,29.83574753,29.16438293,28.58023834
gfdl_cm2_0,24.939636993422504,25.8227195739725,25.98087463379249,25.38567276001001,24.655114746095002,23.84599914551,24.678975677487507,26.392248535149996,26.75152435303,26.247346496585003,24.92432479859,24.323513031007497
gfdl_cm2_0,25.254933929450004,25.9802894592275,25.979515075680002,25.399192047117502,24.471392059317502,23.683090972902498,24.7509399414025,26.3216331481925,26.70727005004751,26.327448272700014,25.0588813781725,24.728498077390004
gfdl_cm2_1,26.448325347900003,26.9105842590375,26.742737579347498,26.1229949951175,25.0726020812975,24.220008850104996,25.499685668942504,27.671549224857493,28.1054466247575,27.557022857662503,26.7749824523875,26.169597625730006
gfdl_cm2_1,25.759735107424994,26.472685241699992,26.501741790769994,25.85315170288,24.7594963073725,23.846565246590004,25.3877777099675,27.408704376219994,27.716719818122492,27.36803817749501,26.254890441895004,25.711157989502492
ingv_echam4,25.685166931149997,25.795115661625005,25.524752044675,24.860669708247503,24.232757568365,24.05039978027,24.445143127444993,25.7389289856,25.884062194832502,25.405664062502503,25.11975021362,25.322822570807503
inmcm3_0,24.382546997072502,24.465360260007504,24.680317687990005,24.842424774172493,24.351277923585002,24.023036956787497,24.422147369385,25.685334777829997,26.335539245605,26.261200714105,25.698315429692503,24.974028015124997
inmcm3_0,24.376856231690006,24.24319000244,24.67468109131,24.819406127932496,24.348130798342506,24.0512084961075,24.345709228517496,25.61925048828,26.265738677979993,26.2626441955575,25.702186584472507,25.015597534175004
ipsl_cm4,27.42373504638,27.854871368412496,28.152509307859997,28.187779235832505,27.4631690979,26.58815917968999,26.51291809082749,27.4917213439925,28.177178955072502,28.161956024167505,27.881063079825008,27.408423614504994
ipsl_cm4,27.428591156010004,28.002639007565,28.26615905762,28.038916778557496,27.4340530395525,26.459130096435,26.46114959717,27.54696884155249,28.134077453612502,28.077571105952508,27.894496154789998,27.495787811275
miroc3_2_medres,24.03314361572,25.164557647710005,26.44246292114,26.34324798584,25.026219177244997,23.9005378723175,23.965184783934998,25.098142242435,26.141180419922495,25.451278686527505,24.487056732172498,23.862392425532505
miroc3_2_medres,23.773445892337506,24.8850448608425,26.10940093995,26.037244415277492,24.818373870852493,23.63865585326501,23.602223205572496,24.739906311037505,25.799839782717505,25.177630615232495,24.236653137204996,23.578664398199997
miub_echo_g,25.89932250975749,26.194720458982495,25.3390213012725,24.211027526855,23.514479827880006,23.411427307125006,23.848193359379998,25.076667022707507,24.915253448479998,24.146477508542503,24.165692138675,25.127343749992498
miub_echo_g,26.0187118530175,26.08184127807501,25.6250007629325,24.2623649597175,23.393837738029998,23.120389556877505,23.848329162595,24.933155059814997,24.656535339357504,24.150804138185006,24.304499816889997,25.112100982665005
mpi_echam5,25.437459564207497,25.658635711665006,25.69997863769749,25.372901916500002,25.08467864989749,24.867978668207506,25.56187057494,26.557830810542505,27.011002349852493,25.885036468507497,25.340342712407498,25.099002075197497
mpi_echam5,25.05353164673,25.355110931394996,25.439652252194996,25.050615692140006,24.946813201904995,24.576355743407504,25.072932434084997,26.184946441647497,26.446035003669994,25.771441650387498,25.04507980347001,24.985559844972506
mri_cgcm2_3_2a,24.047506713875002,24.451855468745002,24.9015747070275,24.936956787114994,24.5385795593275,23.958859252929994,23.641793060307496,23.746726226805,24.1667297363225,24.395405578614998,24.286471557619997,23.939197540285004
mri_cgcm2_3_2a,23.911428070072496,24.319813537589997,24.921192932122505,24.83655319213751,24.4375755310025,23.794213104245,23.533168029787504,23.63711471556501,24.059819793697496,24.288771820077507,24.163176727295,23.931449890137507
ukmo_hadcm3,27.462461090084997,27.547328948967504,27.696544647224993,27.34815521240001,26.430977630602506,25.776605987554994,25.5810920715275,26.795202636719996,27.903875732420005,28.131120300280003,27.445425415037505,27.25167922973501
ukmo_hadcm3,27.434306335454995,27.652309417719998,27.5920242309625,27.091767120362498,26.3531471252475,25.649149322507498,25.523513031002498,26.86622543334999,27.7479263305675,27.938999938962496,27.42563705444,27.1778663635275
ukmo_hadgem1,24.9000236511275,25.757619476327505,26.166785430917503,25.577209472654996,24.63166198731,24.05905990601,23.8427238464475,24.298425292965007,25.360229492189998,25.696747589107495,25.104370880132503,24.8215698242225
