GCM (circulation model),Jan,Feb,Mar,Apr,May,Jun,JulAug,Sep,Oct,Nov,Dec
bccr_bcm2_0,22.90019444,23.46681867,24.29677473,25.00731986,24.95373971,23.80603899,24.04506138,24.33224487,24.6156747,24.08859689,24.03500366
cccma_cgcm3_1,25.14805821,25.90893991,26.78801618,26.87174334,26.05167498,25.83831787,25.75547137,25.55941772,25.21537127,25.085192,25.09421648
cnrm_cm3,23.83897618,24.2837786,25.05808367,25.7981393,25.32433646,24.06816319,23.8759722,24.36175537,24.41013445,24.25545393,24.34906878
csiro_mk3_5,28.33367484,28.31697736,28.6529977,29.3064488,30.54852731,30.68136597,29.97665841,30.50627354,30.64988491,30.7719029,30.22002302
gfdl_cm2_0,26.10375976562857,26.34953090124286,26.844464983271425,27.502912248885714,27.695726667142857,26.667576381128573,26.234980991885717,26.880358014771428,26.94858660015714,26.337812151214287,26.091504778171423
gfdl_cm2_1,25.47461373465714,25.800406319757144,26.198917933871428,26.525028773700004,26.764783586771426,26.2673601423,26.441802978514286,27.253487723214285,27.368974958157143,27.192609514514288,26.45026070731429
ingv_echam4,26.22942243304286,26.804949079228575,27.26926095145714,27.302856445314283,26.3243408203,25.411760602685714,25.331551688057143,25.75612095422857,25.772596086785715,25.415435791028575,25.347024100157142
inmcm3_0,25.110648018985717,25.186955043242854,25.670750209257143,26.253522600457142,26.384634835385718,26.10810198102857,25.87310791015714,26.346357073100002,26.679805210657147,26.444641113271427,26.090488978800003
ipsl_cm4,25.79598999025714,25.943272181914285,26.596335274814287,27.479675292957147,27.77492850167143,27.323595319485715,27.018689836785715,27.28118460518571,27.496599469871427,27.46155657085714,26.997549874442857
miroc3_2_medres,26.22311837332857,26.87355695451429,28.133409772585715,29.368826729900004,29.258353097100002,27.68294416157143,27.671190534314285,28.029510498042857,28.591792515357145,27.492915562214282,26.576228550514283
miub_echo_g,28.79776436941429,28.942343575614284,28.444475446428573,27.42524937221429,25.956891741071434,25.4674987793,25.218610491085713,25.26542881557143,25.175585065571426,25.2978515625,26.221897670199997
mpi_echam5,26.274291992185713,26.864057268414285,27.544594900957147,28.031982421885715,27.68924386161428,26.864842006142855,26.852290562214282,26.944109235485715,26.688432965942862,26.019191196985712,25.833435058585714
mri_cgcm2_3_2a,25.35353742327143,25.87091064452857,26.750187465114283,27.43828473772857,27.005811418799997,26.32005964007143,26.00019182475714,25.7894505092,25.813742501399997,25.764705113,25.473423549128572
ukmo_hadcm3,25.780038016185717,26.325404575900002,27.3878958566,28.43662806918572,28.420022147042857,27.644749232700004,27.33125959124286,27.480843680242856,27.664354596814285,27.682739257814287,27.182878766757142
ukmo_hadgem1,24.49339512415714,24.31007603235715,24.807394845142852,25.981148856028575,26.593854631714287,25.894858224057142,25.486123221242856,25.768694196414287,26.024727957585714,25.705248151499998,25.430358886728573
