GCM (circulation model),Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
bccr_bcm2_0,23.66650391,24.15659441,25.03604562,25.79273769,25.59577724,24.37685721,24.41766793,24.78428432,24.8838501,24.58220128,24.56719971,23.97199358
bccr_bcm2_0,23.49059623,24.10729109,25.01876395,25.64935303,25.57550921,24.38108608,24.3623788,24.89212472,24.93219866,24.60759626,24.50295585,23.86820766
cccma_cgcm3_1,26.42616054,27.13339669,27.73627581,27.83963885,27.08755929,26.71402414,26.71041434,26.59725516,26.31367275,25.92738996,26.19694737,26.39501081
cccma_cgcm3_1,26.21190098,26.74248832,27.47442627,27.68523734,27.01839338,26.58760289,26.56369019,26.44761876,26.13550241,25.87992641,26.1476702,26.19387817
cnrm_cm3,24.79646955,25.3410165,26.1988351,26.91000802,26.14239502,24.68739973,24.71464757,25.09324864,25.16660854,25.2026498,25.1968471,24.81604004
cnrm_cm3,24.78029524,25.24176897,26.06869943,26.7696882,25.9647304,24.74757167,24.54198783,25.02488926,25.1085859,25.1673584,25.17118182,24.78893171
csiro_mk3_5,29.28265817,29.39140102,29.67030988,30.27806745,31.58859253,31.97031948,31.31791905,31.42409842,31.71231079,31.93219866,31.16357858,30.04081072
csiro_mk3_5,31.58101109,31.72307042,31.1869594,31.55571202,31.61156355,31.62734985,31.11066982,30.07029942,29.30858067,29.36488124,29.67744664,30.44571359
gfdl_cm2_0,26.983668736057137,27.501373291014286,27.8357195173,28.517674037400003,28.802468436099996,27.63335309708571,27.2317679269,27.846365792400004,27.86003330774286,27.108655657085716,26.905848911828574,26.599796840099998
gfdl_cm2_0,27.03112357001429,27.33700125557143,27.73900059292857,28.511535644528575,28.75002179828572,27.604954310842857,27.36774117607143,27.94936697822857,27.704319545214283,27.270939418242857,26.997946602957143,26.778320312485715
gfdl_cm2_1,26.55831037247143,26.682625906800002,26.856632777628572,27.30585588727143,27.610469273157147,27.234684535442856,27.438245500828568,28.235844203400003,28.32486833842857,27.95671735492857,27.193407331200003,26.712916782942862
gfdl_cm2_1,26.360037667414286,26.58782087052857,26.960941859657144,27.293099539614282,27.601126534600006,27.131591796871426,27.29999651225714,27.96212768554286,28.040265764514285,27.704267229357146,27.023289271757143,26.530957903185712
ingv_echam4,27.037244524271433,27.580051967071427,28.09228515625714,28.292694091785716,27.347111293228572,26.331896100728574,26.264896937785714,26.7563694545,26.756539481042854,26.294529506142855,26.328286307199996,26.587655203671428
inmcm3_0,26.22962733678571,26.23180280412857,26.658081054685713,27.38846697124286,27.459346226257143,27.007385253900004,26.897133963457144,27.237845284585717,27.447335379457144,27.18434797015714,26.839538574228573,26.596745082314282
inmcm3_0,26.130998883928573,26.15734427314286,26.630222865514288,27.33394949777143,27.372589111328573,26.897151402057148,26.75874110631429,27.357966831742857,27.466857910171427,27.242636544357143,26.913931710399996,26.5254080636
ipsl_cm4,26.5802961077,26.697143554685713,27.344273158485716,28.155090332028575,28.6827784947,28.287724086199997,28.01059395927143,28.221470424114283,28.3741367885,28.341142926914284,27.842346191414286,27.042855399014286
ipsl_cm4,26.661433628657146,26.883950369671428,27.51391165598572,28.209886823371427,28.72397286551428,28.25477382115714,27.894413539342857,28.17998831611428,28.304949079242856,28.344879150371433,27.928405761714284,27.091796874999996
miroc3_2_medres,27.262215750557147,27.812508719314287,29.21921648298572,30.529606410442852,30.49250575472857,29.25139508928571,29.29762050082857,29.81114850724286,29.891339983257144,28.625902448385713,27.74016898018571,27.370370047442858
