GCM (circulation model),Jan,Feb,Mar,Apr,May,Jun,JulAug,Sep,Oct,Nov,Dec
bccr_bcm2_0,21.70406887,24.19347927,27.25623431,27.14372907,25.54419599,24.00161525,22.75898961,22.59227862,23.19901167,24.03971209,23.45179967
cccma_cgcm3_1,23.4856611,25.56986564,26.75135585,26.45996094,25.73999023,25.01916504,24.34438869,24.07614136,24.1800014,24.36226327,23.80245318
cnrm_cm3,22.74287851,25.24310739,27.00895691,27.29973929,26.66362871,25.53288487,24.51896449,24.16275896,24.11275373,24.10598537,23.2190639
csiro_mk3_5,28.71153041,30.69509888,32.05135018,31.33987863,30.28315953,28.30201067,26.70048523,26.30352783,27.04644339,28.05767386,28.69264657
gfdl_cm2_0,24.907945905392857,26.285169328964287,26.820484706328568,26.12600054060714,25.09604099819286,24.427668980192855,23.506343296600004,23.059376307885717,23.173468453542856,23.210678100578573,23.13116891042143
gfdl_cm2_1,25.29077802386428,26.436909266871428,27.03663635252857,26.135306222085713,24.899475097642863,24.406079973499995,23.99363708495714,23.35833958217143,23.54533604213572,23.71509007046429,23.779316493435715
ingv_echam4,26.59162030902143,28.94086783272857,30.030330113007146,28.673812866221432,26.943932669500004,25.114087785992858,23.953962053571434,23.607940673835717,24.04517909459286,25.05448477609286,26.344268798835717
inmcm3_0,20.685664585657143,22.997813633499998,26.486716134207143,27.16310119627857,26.68246459960714,25.672182355592856,24.61726161412143,24.056187220971427,24.32264273507143,24.640572684135712,23.454398018964277
ipsl_cm4,25.49534170969286,27.129725864957145,28.21192278180714,28.559047154007143,28.09572710311429,27.526582990364282,27.0024457659,26.70192827497143,26.813422066814287,26.890908377514286,26.89039175851428
miroc3_2_medres,24.154150826585717,26.780059814450002,28.477615356435713,28.002663748599996,26.802355085085715,25.370664324064286,24.07347324915714,23.547842843199998,23.83858380999286,25.06309291295,25.436285836357147
miub_echo_g,25.990343366357145,27.26830618720714,28.495243617464286,27.965338570728566,26.366208757671426,25.002907889235722,24.386422293535713,24.20658002582143,24.38724844795714,25.041486467650003,25.861655099035712
mpi_echam5,23.93838282992143,26.10929652622143,28.427124023435713,28.39388820102143,27.228060041164287,26.35758536202857,25.460213797435717,24.885349818635717,25.229274204785717,25.602822440007145,25.319399152485712
mri_cgcm2_3_2a,25.326032366071427,26.665525163928574,27.512309483121424,27.45513044085714,26.747028895778573,25.88947187150714,24.728870936807144,24.346893310557142,25.118048531664282,25.97975158692857,26.129841395785718
ukmo_hadcm3,24.268923078264283,27.343085152757144,29.079995291564277,28.59555489676428,27.24367414201429,26.072681971964283,25.17363412039285,25.05329241071429,25.854367937378573,26.65262930733572,26.45878165108572
ukmo_hadgem1,21.942629132935714,25.171827043807138,27.97454833983571,28.35611833845,27.73627362932143,26.558898925792864,25.147851126521427,24.318147931778572,24.760014125271425,25.331218174535714,24.678573608414286
