GCM (circulation model),Jan,Feb,Mar,Apr,May,Jun,JulAug,Sep,Oct,Nov,Dec
bccr_bcm2_0,20.3687439,20.6963562,20.9332255,20.87539469,20.46460164,19.21824341,18.5525472,20.16315104,20.52151693,19.97296143,19.94466756
cccma_cgcm3_1,22.69318441,22.90828451,23.3074056,23.48178711,23.26119792,22.87647705,22.70215658,23.06859538,22.92421468,22.63106283,22.50580851
cnrm_cm3,21.70980632,22.00091349,21.77346802,21.57642212,21.29755046,20.5208374,20.14268392,20.52531535,20.82589518,20.49710897,20.8520752
csiro_mk3_5,25.15609538,25.00112305,24.91183879,25.16436564,25.27591349,25.12582397,24.76697591,24.88340047,24.89364217,25.22462158,25.13123372
gfdl_cm2_0,22.56634521486,23.082503255206664,23.347943115240003,23.23913370767333,22.345363362633336,21.68598429362,22.399078369133335,22.11677246092667,22.150882975246663,22.24424235026,22.29168701172667
gfdl_cm2_1,23.064782714853333,23.544120279953336,23.60499267578667,23.241217041013332,22.498022460926666,22.678267415366665,22.721856689460004,22.009322102880002,22.039652506506663,22.29055582681333,22.470760091139997
ingv_echam4,21.932678222653333,22.08550008138667,21.818225097653333,21.651833089200004,21.61221110027333,21.47059122722,21.94867553710667,22.777929687493334,22.22072347006,21.418194580066665,21.442665608713334
inmcm3_0,22.45635579428667,22.440264892586665,22.736570231126663,22.899409993493336,22.687402343753334,21.80695800782667,20.86690266927333,21.320611572266667,21.972536214186665,22.41273396809333,22.777990722660004
ipsl_cm4,25.10133463541333,25.358734130846663,25.674407958986667,25.714988199873336,25.548419189439997,25.100349934893327,24.88302815754667,25.180253092453334,25.151023356133337,25.15743815103333,25.335467529299997
miroc3_2_medres,22.392449951173333,22.913039143873334,23.379791259780003,23.565299479173337,23.177891031893335,22.18982747396,21.719319661460002,22.51862182616667,23.10205485026667,22.61384480794,22.34264526367333
miub_echo_g,22.52436726888,22.84777221680667,22.897890218086665,22.871073404940002,22.78284708658,22.66263631184667,23.410821533213333,24.42221883138,22.992891438813334,22.271445719406664,22.400425211593337
mpi_echam5,22.248933919266666,22.451086425786666,22.71276245116,22.984588623033332,22.78598632811333,22.01223958332,21.849548339846667,22.521264648446667,22.66156209309333,22.322517903646663,22.19119059246
mri_cgcm2_3_2a,22.821203613279994,23.365958658853334,23.889927164706666,23.848850504559998,23.19689737955333,22.396472167966667,21.86325480144667,21.760367838546674,22.028774007166668,22.318204752593335,22.481573486326667
ukmo_hadcm3,24.070882161453333,24.188527425126665,24.513462320966664,24.696103922526667,24.58027750650667,23.945534261066665,23.32082926432,23.778184000646664,24.214638264973335,24.425805664066665,24.323557535799996
ukmo_hadgem1,23.177996826173334,23.469934082033333,23.53707682291333,23.378767903639996,22.916933186833333,22.20460408528,21.975384521486667,22.287058512373335,22.594490559893334,22.553304036453333,22.50166829428
