GCM (circulation model),Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
bccr_bcm2_0,21.12379964,21.39070435,21.52596639,21.5523763,21.11480509,19.86760254,19.30480143,20.74175008,20.92455648,20.52416382,20.50461426,20.72612305
bccr_bcm2_0,20.97675374,21.16495972,21.43699544,21.42155151,20.92804972,19.90421956,19.20678507,20.68932699,20.87703451,20.40640055,20.36159465,20.74953613
cccma_cgcm3_1,23.63995972,23.70636393,24.08602091,24.45653687,24.14424032,23.75806478,23.7666748,24.11292928,23.94187215,23.58925171,23.4905721,23.47513428
cccma_cgcm3_1,23.46220296,23.52520345,23.90675252,24.3960083,24.07806193,23.61911214,23.53285522,23.7924703,23.74231567,23.40105591,23.33205566,23.28750814
cnrm_cm3,22.71702881,22.99816895,22.95126139,22.6244222,22.05994466,21.30384521,21.04134318,21.51181437,21.83453573,21.48644409,21.81246745,22.19380697
cnrm_cm3,22.74632975,22.9614502,22.74561361,22.57407023,22.26455892,21.38515218,21.21192627,21.67324626,21.96377767,21.56068726,21.80930583,22.16519979
csiro_mk3_5,26.02261556,26.1428243,25.97618815,26.25775757,26.46175944,26.41163127,26.03484701,26.00470581,26.06414795,26.32533366,26.20062256,26.32625122
csiro_mk3_5,26.34094849,26.31334025,25.91720785,25.8083374,25.85203247,25.96869303,26.11951497,26.343809,26.16440023,25.95983683,25.95038859,26.31426799
gfdl_cm2_0,23.390948486319996,23.98785807292,24.378348795580003,24.30910644532,23.505690511066668,22.689418538406667,23.317864990233332,22.979689534506665,23.038962809246666,23.2555826823,23.198293050126665,23.084790039053335
gfdl_cm2_0,23.201365152999998,23.775604248053334,24.25360107420666,24.231009928379997,23.236126708986667,22.480957031253336,23.209204101553333,22.69227905274,22.949287923179998,23.22737223306,23.159761555993335,23.119732666013338
gfdl_cm2_1,24.06172892252,24.502933756520004,24.39042561849333,24.328369140626666,23.569950358066666,23.75725097656667,23.7013671875,22.93883666992,22.91196695964,23.170086669906663,23.503053792306662,23.755238850906665
gfdl_cm2_1,23.76712443034,24.255344645173334,24.276503499353336,24.065132649733336,23.28686116536,23.498728434253334,23.576932779960007,22.838472493486666,22.728076171866668,23.02497762044,23.21988118489333,23.366916910799997
ingv_echam4,23.131589762366662,23.05971883137333,22.74277343749333,22.52519124348,22.564823404939997,22.537821451826666,23.002793375646664,23.760107421873336,23.00327351888,22.462204996746667,22.386755371086668,22.704471842466667
inmcm3_0,23.497914632166673,23.374090576173334,23.56522216798,23.801753743493336,23.526289876286665,22.61202392577333,21.78603922526667,22.172241210926664,22.780135091153333,23.332360839846668,23.65137736001333,23.758276367186667
inmcm3_0,23.484531656893335,23.343196614586663,23.670935058579996,23.858184814453335,23.5082804362,22.53532714842667,21.78874715169333,22.18169555664,22.768133544926663,23.340195719406665,23.65699462891333,23.76325683593333
ipsl_cm4,25.96998901366667,26.304323323573335,26.560766601566673,26.649932861333337,26.523581949873332,26.05388183592667,25.967633056640004,26.195290120446668,26.098144531239996,26.109206136066668,26.183154296873333,25.877787272139997
ipsl_cm4,25.98510538736667,26.439324951159996,26.56196085612,26.545371500639998,26.500236002593333,25.962528483066663,25.828910319006663,26.114658610019998,25.96217447916,25.99606933593333,26.117134602853337,26.00935465493333
miroc3_2_medres,23.40038045246,23.877787272133336,24.32311401368667,24.441011555993335,24.12979939778667,23.378676350920003,23.02592976889333,23.674521891273336,23.98217569986,23.45734863282,23.175740559886663,23.184012858073334
miroc3_2_medres,23.296299235033334,23.629083251946668,24.201324462893336,24.302551269533335,24.053558349613336,23.046608479806668,22.726723225919997,23.38798014323334,23.919095865886668,23.294724527986666,23.05701293945333,23.127099609379993
miub_echo_g,23.186446126293333,23.482552083333335,23.624167887373336,23.569024658200004,23.52844645181333,23.64261881510667,24.322839355473334,25.111537679039998,23.711824544266662,23.07803548177333,23.20810750326,23.07678426106667
miub_echo_g,23.139369710293334,23.329933675120003,23.585072835286663,23.612772623700003,23.500482177733332,23.511836751300002,24.3314839681,25.133064778633333,23.480784098319997,22.913110351560004,23.071870930979994,22.95402628581333
mpi_echam5,23.24520874023333,23.188342285166673,23.3795308431,23.689347330719997,23.52918701172667,22.85122273764,22.787902832033335,23.413734944673333,23.675280761720003,23.069008382166665,22.947465006526667,22.983516438806664
mpi_echam5,22.931699625666667,23.086745198573333,23.217801920573336,23.363795979820004,23.477280680339998,22.75307210286,22.545591227206664,23.194753011073328,23.24417928060667,23.002663167326666,22.732269287113336,22.89135131836667
mri_cgcm2_3_2a,23.5624674479,24.02999674478,24.387725830073332,24.304402669273333,23.849816894526665,22.988977050773332,22.42415568034666,22.34020385742,22.646883138019998,23.06384887694667,23.21450195312,23.282617187506666
mri_cgcm2_3_2a,23.35618896484,23.904237874353335,24.42720133463333,24.308516438806667,23.715777587893335,22.810744222006672,22.266746012366664,22.22375081378666,22.49077555338,22.830037434900003,23.04182332355333,23.20192464192
ukmo_hadcm3,25.145835367826667,25.118996175119996,25.410970052080003,25.657444254553337,25.533382161453332,25.012717692053332,24.53298746744666,25.119545491540002,25.587371826166667,25.66192016601333,25.370058186839994,25.248396809893332
ukmo_hadcm3,25.113490804046666,25.207912190766667,25.339198811866662,25.552333577480002,25.53961791992,24.90173950194667,24.449477132160002,25.175738525386667,25.462080891926668,25.54307861328,25.349336751293333,25.22435709634666
ukmo_hadgem1,23.87278238932,24.239416503913336,24.13493245442,24.140075683593334,23.613114420566667,22.701507568353335,22.409375,22.940543619786663,23.518800862626666,23.532397460933332,23.353556315093336,23.585868326826667
