GCM (circulation model),Jan,Feb,Mar,Apr,May,Jun,JulAug,Sep,Oct,Nov,Dec
bccr_bcm2_0,20.50863647,21.27690125,22.99713135,24.58073425,24.07539368,22.25552368,22.68855286,23.22010803,23.3065033,22.79708862,21.89126587
cccma_cgcm3_1,23.33276367,24.93475342,27.17312622,28.24900818,27.07218933,25.52793884,26.05067444,25.59588623,24.51165771,24.34811401,23.95776367
cnrm_cm3,21.60073853,22.44317627,24.11076355,25.27653503,24.78453064,23.52742004,23.13848877,23.64021301,23.85931396,23.64622498,22.73962402
csiro_mk3_5,27.89993286,28.67970276,30.58506775,32.61827087,33.46409607,32.16401672,31.31304932,32.64303589,31.85043335,30.98187256,30.28971863
gfdl_cm2_0,23.1995391846,23.799255371100003,25.00914001465,26.50967407225,27.2198638916,26.3128051758,25.24424743655,25.54876708985,25.10768127445,23.8849029541,23.22148132325
gfdl_cm2_1,23.351577758799998,24.47497558595,25.7750091553,27.0198059082,27.898895263649997,28.113357543950002,28.53202819825,28.16288757325,27.1857757568,25.522384643549998,24.1859588623
ingv_echam4,22.7391052246,23.9557495117,25.06747436525,24.60472106935,23.1036224365,22.43452453615,22.7139892578,23.5832366943,23.4350891113,22.68241882325,22.673248291
inmcm3_0,23.46423339845,23.6842651367,24.28590393065,25.3854370117,26.41859436035,26.96072387695,26.81077575685,26.89266967775,26.8628540039,26.212341308600003,25.0768890381
ipsl_cm4,23.584274292,23.97541809085,25.43850708005,27.5537414551,28.296081543,27.866104125950002,26.97940063475,27.20155334475,27.5968322754,27.4179840088,26.147293090799998
miroc3_2_medres,23.65339660645,24.53317260745,26.338684082,28.423248291,29.6031951904,29.067489624049998,29.236404418950002,28.84942626955,28.411026001,26.6231536865,24.8379058838
miub_echo_g,25.121032714800002,25.66859436035,26.71255493165,26.88177490235,26.2745666504,25.164123535149997,24.601089477549998,24.50291442875,24.557434082,24.7911376953,25.01570129395
mpi_echam5,23.715652465799998,25.188369750950002,26.927169799799998,28.1496582031,27.2677307129,25.832366943350003,25.79862976075,26.2490234375,25.35366821285,24.2410583496,23.410964965799998
mri_cgcm2_3_2a,24.126937866200002,24.884262085000003,26.328048706049998,27.6163330078,27.38450622555,26.36293029785,26.4219055176,26.16842651365,25.8801422119,25.59487915035,25.015945434549998
ukmo_hadcm3,23.6670227051,24.7072906494,26.12065124515,27.4298248291,27.23596191405,26.01991271975,26.2325744629,26.524826049799998,26.6791381836,26.16476440425,25.226730346700002
ukmo_hadgem1,21.83013916015,22.6877746582,24.3121795654,25.8539581299,26.2307891846,24.1008453369,23.830139160149997,24.571609497049998,24.417678832999997,23.414138793950002,22.60614013675
