GCM (circulation model),Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
bccr_bcm2_0,21.03820801,21.7772522,23.67375183,25.36912537,24.8407135,23.18508911,23.08364868,23.62651062,23.74845886,23.25694275,22.34576416,21.29634094
bccr_bcm2_0,20.94142151,22.03631592,23.96783447,25.32260132,24.90330505,23.04992676,23.1701355,23.71676636,23.78540039,23.30656433,22.53872681,21.46522522
cccma_cgcm3_1,24.77648926,26.01126099,28.70414734,29.66815186,28.48681641,27.09866333,27.62211609,27.1734314,26.40118408,25.4238739,25.23069763,24.73994446
cccma_cgcm3_1,24.72798157,25.7000885,28.1187439,29.50193787,28.36524963,27.1836853,27.43469238,27.67417908,26.08958435,25.29850769,25.43643188,24.83744812
cnrm_cm3,22.54902649,23.50254822,25.6368103,26.59037781,25.59687805,24.13354492,24.33381653,24.63182068,24.67181396,24.6081543,23.67756653,22.57788086
cnrm_cm3,22.66871643,23.65264893,25.19485474,26.2495575,25.32891846,24.11903381,23.75022888,24.40571594,24.61839294,24.43751526,23.66365051,22.64564514
csiro_mk3_5,28.74742126,30.02926636,31.74597168,34.12077332,34.46868896,33.7210083,33.85404968,34.76985168,33.61758423,32.40325928,32.02627563,29.92858887
csiro_mk3_5,34.90049744,33.72247314,33.35096741,34.12875366,33.23707581,31.79634094,31.5431366,30.05630493,28.82209778,29.69111633,31.62158203,34.01858521
gfdl_cm2_0,24.06190490725,25.05889892575,26.13130187985,27.47430419925,28.579605102499997,27.151611328100003,26.07272338865,26.63261413575,25.85908508305,24.791885376000003,24.16078186035,24.11518859865
gfdl_cm2_0,24.20697021485,25.05354309085,26.01724243165,27.68460083005,28.40217590335,27.18968200685,26.6420593262,26.68142700195,25.79579162595,24.754409790049998,24.264663696299998,24.10771179195
gfdl_cm2_1,24.5406799316,25.36390686035,26.8577270508,28.0662689209,29.0815124512,29.33880615235,29.8293762207,29.2402038574,28.02630615235,26.2424468994,25.020187377950002,24.43898010255
gfdl_cm2_1,24.46110534665,25.34017944335,26.797042846700002,28.056213378899997,28.9953765869,29.33389282225,29.54682922365,28.8856506348,27.26737976075,25.926742553700002,24.7710266113,24.243331909200002
ingv_echam4,23.6564941406,24.83288574215,26.06364440915,25.46353149415,24.153640747049998,23.26892089845,23.75662231445,24.92587280275,24.78231811525,23.718643188500003,23.7194366455,23.4718170166
inmcm3_0,24.584442138649997,24.7895050049,25.559158325200002,26.5979309082,27.5433807373,28.08432006835,28.147567749049998,28.0194396973,27.84716796875,27.21565246585,26.16282653805,25.126449585
inmcm3_0,24.4151916504,24.541336059549998,25.2258758545,26.5294494629,27.356826782200002,28.029357910149997,27.96310424805,28.129379272450002,27.80278015135,27.182785034200002,25.98684692385,24.9023742676
ipsl_cm4,24.4214172363,24.7922515869,26.419418334950002,28.1139526367,29.34591674805,29.109039306649997,28.4575653076,28.6117858887,28.777816772450002,28.51290893555,27.18563842775,25.1698760986
ipsl_cm4,24.393081665049998,25.08465576175,26.493728637700002,28.23692321775,29.4987335205,29.10244750975,28.31768798825,28.46014404295,28.515625,28.5754547119,27.420822143549998,25.2003631592
miroc3_2_medres,24.5384063721,25.520401001,27.676834106450002,30.0814666748,31.0163574219,30.2889099121,30.406829834,30.32958984375,29.8277282715,28.1881561279,26.10986328125,24.9754638672
miroc3_2_medres,24.0955200195,25.44540405275,27.2234954834,29.47816467285,30.479507446299998,29.7222137451,30.09510803225,30.10688781735,29.399795532200002,27.561096191399997,25.4934234619,24.57736206055
miub_echo_g,26.25666809085,26.3372955322,27.3458557129,27.749130249,26.9499053955,25.68629455565,25.388351440450002,25.17205810545,25.2914733887,25.6284637451,25.7562561035,25.9886779785
miub_echo_g,26.04840087895,26.41076660155,27.7001037598,27.56480407715,26.37060546875,25.63932800295,25.27656555175,25.0623168945,25.159500122049998,25.4582824707,25.6273956299,25.929367065450002
mpi_echam5,24.97183227535,26.316726684549998,27.88792419435,29.00607299805,27.663406372049998,26.2121887207,26.5055236816,26.92294311525,26.42280578615,25.170959472649997,24.19136047365,23.981460571299998
mpi_echam5,24.3882446289,25.7508239746,27.2662963867,28.3365325928,27.83540344235,26.1423187256,26.369110107399997,26.7133483887,26.0538482666,24.8596496582,23.9739227295,23.9276428223
mri_cgcm2_3_2a,24.915115356450002,25.6774597168,27.008773803700002,28.57232666015,27.469314575200002,27.1147918701,27.3086395264,26.8370361328,26.3953857422,26.18185424805,25.65129089355,24.849609375
mri_cgcm2_3_2a,24.951583862299998,25.769454956049998,27.55044555665,28.2579345703,27.681610107399997,27.16204833985,27.55905151365,26.914566040049998,26.378356933600003,26.1614379883,25.6933898926,24.8747558594
ukmo_hadcm3,24.8721160889,25.8274078369,27.34007263185,28.63552856445,28.297775268549998,27.370513916,27.72930908205,28.2561187744,28.37619018555,27.3604888916,26.36585998535,25.45501708985
ukmo_hadcm3,24.8271026611,25.73179626465,26.8716583252,28.29806518555,28.09475708005,26.9807128906,27.504333496100003,27.90167236325,28.0274963379,27.1330413818,26.2336883545,25.19198608395
ukmo_hadgem1,22.915451049799998,23.687973022450002,25.0407867432,26.844833374,26.9609832764,25.056320190450002,25.39970397945,26.26078796385,25.852523803750003,24.6736755371,23.709274292,22.7755279541
