GCM (circulation model),Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
bccr_bcm2_0,19.38036285,20.78458384,23.17642294,24.14127329,23.43710987,23.18272111,21.16807515,21.01439028,21.86322516,22.59855033,21.45264332,19.82764579
cccma_cgcm3_1,21.24285806,23.37559715,25.02498565,24.73565674,24.48559075,24.91824506,23.56080586,22.94311276,23.81523009,22.76826848,21.97190733,20.72389015
cnrm_cm3,19.39133928,21.16631998,23.02855126,23.32176332,22.89486694,22.67176448,21.71366429,21.37677414,22.33878388,21.83571068,20.53921839,19.29613021
csiro_mk3_5,24.20229608,25.87716262,27.69808135,27.75852265,26.70038089,27.73050257,27.36173475,27.08818178,27.41523784,25.72578389,24.54918526,23.90349105
gfdl_cm2_0,20.50782734638379,22.002326759127023,23.649285393794592,23.771005166532436,23.184315449481083,22.79647002348378,22.500728297881075,22.463411898224326,22.90297637115134,21.669066558013512,20.30574984163784,19.461561048351353
gfdl_cm2_1,21.21214088233514,23.169064908421625,24.803256473021623,25.288849701748646,23.860193201018923,22.81262784390811,22.61915794578649,22.84118817303514,23.5410263473946,22.56026479360811,20.75196137298919,20.0846706081
ingv_echam4,22.936126708983785,24.895001385662155,26.64636477909189,26.508541622667565,25.940176474083785,25.712116963151352,23.622147018845943,22.64920373864865,23.957841203013512,23.75445639121081,23.158283130537843,22.521575927732428
inmcm3_0,17.440704345702706,18.79893369932703,20.11348992425405,21.720819421727025,22.752260775183785,23.95897612701081,24.46508046743514,24.058260531040542,23.69046267947838,21.93586524757027,19.896938014672976,17.752059524121613
ipsl_cm4,23.48790019267027,24.60356016417567,26.187142037048652,26.8872829127973,26.551827095643247,26.54996964738378,26.506040830872976,26.293987377270266,25.77973484348649,24.806191109321624,23.99039108688919,23.1533310348973
miroc3_2_medres,20.673411601291892,22.39464094831892,24.379354116072967,25.00189208984055,24.575544202651344,23.339188859270273,21.226224332248645,21.16606676256757,22.197485021645946,22.726446203283786,21.396882753118916,20.46369975321621
miub_echo_g,21.465845881278373,22.848168450421632,24.380277891418917,24.83843251821081,23.389009217959455,22.71006816142432,22.568735483524314,22.020204286302707,22.2586480217946,22.456742570205403,21.71896857184324,21.07828006228649
mpi_echam5,22.982367438237844,24.236209353878387,26.29918526314324,27.674527554897292,27.68197714315946,26.568234005483777,25.012663970116215,25.200616784986494,25.78826326936216,24.68155402106756,23.85887352195406,22.957145897118924
mri_cgcm2_3_2a,23.35969584696757,24.60447569150541,25.954306937551348,26.266382990662162,26.078289959881086,25.281849629175674,23.403944685651346,22.798354690135135,23.94178895692162,24.070963266721623,23.686575399870268,23.183877481000003
ukmo_hadcm3,22.512169090464866,24.19815970755135,25.545301282724324,25.506865630270276,25.062578355943245,24.846932900927033,24.575754526494592,24.562029039537837,24.50101615287567,23.953694936389194,22.94494051546757,22.117635366078378
ukmo_hadgem1,19.980867952913513,21.381460653772972,23.944704622832433,25.152834505648645,24.70969205289729,24.517531936235137,23.890590358424326,23.722737905137844,23.574933851083784,22.290599926097297,21.483792691610812,20.258911957602702
