GCM (circulation model),Jan,Feb,Mar,Apr,May,Jun,JulAug,Sep,Oct,Nov,Dec
bccr_bcm2_0,20.14372625,21.78768673,23.78728258,24.8082828,24.30937401,23.69959403,22.03762652,21.74929892,22.65486599,23.3568074,22.12608874
bccr_bcm2_0,20.4834471,21.85141156,23.70133436,24.81289178,24.04423729,23.64717391,22.20110259,21.39029343,22.26743956,23.26913617,21.99590817
cccma_cgcm3_1,22.40256397,24.3865076,26.21358593,26.02102496,25.75227232,26.17182304,24.45708734,24.15094159,25.0817236,23.96067191,22.70810101
cccma_cgcm3_1,22.42268743,24.38773078,26.05385198,26.05122664,25.74314757,26.21261267,24.76636402,24.39677718,25.17801563,23.84223567,22.80572592
cnrm_cm3,20.38253207,22.55384785,24.33105386,24.05625379,23.75987945,23.41802979,22.70871796,22.6072198,23.58097551,22.68203818,21.39556967
cnrm_cm3,20.34333678,22.22158978,24.10643047,24.30301151,23.66491864,23.28368893,22.65363621,22.35035417,23.25938127,22.6902639,21.38284879
csiro_mk3_5,25.85766519,27.35244009,28.99834215,29.53485932,28.04352466,28.98286149,28.752255,28.48711498,28.76798723,26.80552385,25.70967061
csiro_mk3_5,27.90295163,28.83864697,28.6427002,28.33911133,28.64792365,26.72173165,25.38927398,24.58235457,25.43264111,27.13283147,28.76579656
gfdl_cm2_0,21.438072410791893,23.133589461043247,24.799795614699995,25.096980739283772,24.317226100610807,23.73798267261351,23.585544895481085,23.690042031781086,24.076995024805406,22.849197800091897,20.95444962785135
gfdl_cm2_0,21.29167546452433,23.0153519913973,24.954396840689185,25.349090576172976,24.18848646009189,23.917961326802704,23.65054073848649,23.30699941274595,24.067954398486492,22.70044027791622,21.017202841262158
gfdl_cm2_1,22.45675824138649,24.319949588259462,26.091509844808108,26.627809266778378,25.32081727723244,24.314679944840538,23.530828527508106,23.776458740232435,24.666405755118923,23.321131525821613,21.507682181691894
gfdl_cm2_1,22.26814476218919,24.054835963900004,25.91309418548918,26.275897876635135,25.184210699954054,24.335939974399995,23.41504813529459,23.905066412848647,24.44998251425135,23.172515869143247,21.497702933640547
ingv_echam4,24.021932241078375,25.952803328221627,27.715619886254046,28.163156870243245,27.175428235851356,27.24858876820001,25.145457499732437,24.051733068516217,25.403957882448648,24.862063021275677,24.24110123917027
inmcm3_0,19.20767541834324,20.227910222240542,21.458734460775677,22.825289339635138,23.895492966110815,25.1364416174,25.413799388991894,25.052972742029727,24.73537465688378,22.686783249313514,21.367910024275677
inmcm3_0,18.823518495294596,19.812589078337844,21.3892195418,22.7398211505027,23.87738037108649,25.07817778716216,25.321115029824327,25.00049405483514,24.71328075511621,22.857517551727028,20.753064954608103
ipsl_cm4,24.367544638132443,25.598958608272973,27.168027310754052,27.7367603198973,27.542957202810804,27.594352103567566,27.653512490751353,27.40800929713513,26.698459109751344,25.922779804951347,25.00702069257027
ipsl_cm4,24.306676916178386,25.706831648543247,27.131520039329732,27.62789174672973,27.42398731128649,27.530463966159466,27.57945540143784,27.28272639095135,26.796462600291893,25.881773252745948,25.05346184807027
miroc3_2_medres,21.666716704497297,23.52937853014324,25.25855646906487,25.8818466598865,25.270850104251355,24.13488687051082,22.14710297455676,22.026010049348653,23.05382640941892,23.497965219854056,22.2624181799
miroc3_2_medres,21.452174831081077,23.100703883818916,25.122952847875677,25.868551718227025,25.43394593934595,23.872587461735126,21.938947522962167,21.828350995035134,22.837483174094594,23.334719271275674,22.0898470491946
miub_echo_g,22.36365818333784,23.988086597335133,25.36555109796487,25.355632060281078,23.880694415124317,23.855867128118916,23.643989356783777,23.322332433745945,23.1448083826,23.367600724505397,22.488703547294598
miub_echo_g,22.345161231791895,24.01124036634595,25.319376352664865,25.552917480470263,24.205659608586483,23.547705573005402,23.46980904244324,23.015177133921622,23.03076419314865,23.069289748729727,22.545641100089192
mpi_echam5,23.30006779850811,25.13198110218919,27.095328666067566,28.380421406510813,28.676185401705407,27.858556798986488,26.461493414797303,26.144057815137838,26.360284753751344,25.45422940641081,24.35846194706487
mpi_echam5,23.274636758340538,24.727943214205403,26.70313984639459,27.921925312762166,28.397784258859467,27.194651010872974,25.772464236702703,25.401867840740536,26.36133637298649,25.4107187632027,24.282149856154042
mri_cgcm2_3_2a,23.94269788587568,25.228220346808108,26.669202649921612,27.151090879700007,26.77692392709729,25.69841786976757,24.154416470913517,23.629552892737838,24.79067085884595,24.608589790962156,24.16414333033784
mri_cgcm2_3_2a,23.83284450221351,25.069006842532435,26.435392637508105,26.863891601562166,26.756421063394598,25.79489795581621,24.066047462256762,23.453619879645952,24.706630397483792,24.519068537529733,24.102738663954064
ukmo_hadcm3,23.66996311496486,25.001177813551358,26.279567409205406,26.555984084675675,26.11800240181352,25.979326402824324,25.65741626636216,25.419541642475668,25.336291338940548,24.989429370772964,23.792906890054045
ukmo_hadcm3,23.64176899678108,25.031068544135135,26.44223187421352,26.197776175840534,25.993197879270262,25.6873688569,25.338003622521615,25.27441901129459,25.347530055691895,24.9458725388027,23.76634587468108
ukmo_hadgem1,20.451298894102706,21.72988149281351,24.203555545281088,26.077019768794603,25.72114769187838,25.588041563286488,24.6876278439,24.64890516126486,24.72562717746757,23.40798950194865,22.52791698559189
