GCM (circulation model),Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
bccr_bcm2_0,18.85250419,19.5262364,21.68457031,24.02105713,23.6196943,22.2675912,22.5541251,23.06433541,22.8633946,22.08849226,20.5673087,19.30409459
cccma_cgcm3_1,20.62657819,21.72377232,23.64937919,25.9647086,25.9319894,25.22925241,26.0992606,25.92377145,24.60574341,23.45959037,22.37628174,21.55178833
cnrm_cm3,20.02244786,20.90669033,22.91468593,24.47068133,24.1937997,23.39552961,23.04699707,23.23532976,23.67054967,23.2381679,21.70646449,20.53210449
csiro_mk3_5,25.27787999,26.35130092,28.91950335,31.53417969,32.47615705,31.13586426,30.89122663,32.0874939,31.38375419,29.42765154,27.42344884,25.51354545
gfdl_cm2_0,21.119633265914292,22.080400739414284,24.01872907365714,26.429207938057147,27.169119698642856,26.460889543799997,25.432211739685716,25.8548714774,24.94547816685714,23.298863002242854,22.09871564592857,21.23500714984286
gfdl_cm2_1,20.716988699785713,21.595328194757144,23.54594203405714,26.093575613842855,27.29003470282857,27.341910226014285,27.96513148717143,27.49638148717143,26.323163713714283,24.16365269252857,22.45293317524286,21.264491489942856
ingv_echam4,21.924503871371424,22.860621861042855,24.21660940988571,25.004215785442856,24.6529802595,24.1280604771,24.457349504757143,25.235220772885715,25.12997000558571,24.13739885602857,23.167458670471426,22.501988002228575
inmcm3_0,21.774793352414285,22.02128819057143,22.67620849608571,24.350851876385715,25.865103585371426,26.66871425082857,26.45457240512857,26.282754080642853,25.884102957585714,24.842189243857142,23.41390991211429,22.373404366642855
ipsl_cm4,21.257664271757143,21.84464372907143,24.16731480188571,27.59829711914286,28.64200265067143,28.39961896622857,27.640816824771424,28.05852835518571,28.253561837314287,27.213976178842852,24.938119070885712,22.77199881417143
miroc3_2_medres,22.74633353097143,23.88429914202857,26.30590384347143,28.8450578962,30.53816877091429,30.143955775671426,30.309121268128568,29.574428013400002,28.55528041292857,26.037867954785717,23.86786760602857,22.71353585378571
miub_echo_g,23.88219778875714,24.73355102537143,26.2950744629,27.07999965124286,26.51749529158571,25.59514072964286,25.137860979342854,24.938328334271425,24.916067940842854,24.788578578414285,24.38281685967143,24.020642961771426
mpi_echam5,22.50182233537143,24.01771763394286,25.864916120257142,27.234401157914284,26.854644775385715,26.3111921038,26.307482038214285,26.73242187498571,25.82581438337143,24.195011683857143,22.9555402483,22.476954868871424
mri_cgcm2_3_2a,22.66169956752857,23.549800327857138,25.415134974900003,27.237391880571426,26.684753417971425,25.871141706185714,26.237884521485714,25.912096296042858,25.386274065285715,24.860338483528572,24.160552978528575,23.20907592772857
ukmo_hadcm3,23.004839215957144,24.44896589007143,26.266204833971432,28.20154680525714,28.574663434700003,27.90009416852857,28.360944475442857,28.612745012557138,28.330252511171427,26.991341727114282,25.44379970005715,23.593523298014283
ukmo_hadgem1,21.792083740214284,22.478084019271428,23.905147007542855,25.439902169371432,26.267634800514287,25.29530116488571,24.8086983817,25.4957231794,25.562840053014288,24.32505580354286,23.01620047432857,21.93849836078571
