GCM (circulation model),Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
bccr_bcm2_0,23.65722656,23.10560608,23.13014221,23.64684296,24.41854095,24.8926239,25.72851563,26.40981293,26.33417511,26.05418396,25.39748383,24.51755524
cccma_cgcm3_1,25.07169342,24.58421326,24.5749588,24.88052368,25.6736145,26.427742,27.04718781,27.47955322,27.57938385,27.44102478,26.86624908,25.94754791
cnrm_cm3,23.88648224,23.50511169,23.27322388,23.58589172,24.11377716,24.47457123,24.97489929,25.40868378,25.52069855,25.42036438,25.16979218,24.51797485
csiro_mk3_5,27.75880432,27.41191864,27.55524445,28.20133209,29.20569611,29.71108246,30.34772491,30.79444122,30.75192261,30.41953278,29.55262756,28.43439484
gfdl_cm2_0,23.77336883545,23.54554748535,23.9338684082,24.36278533935,25.2714996338,26.037780761725,26.6819152832,27.174690246575,27.1106491089,26.3494720459,25.45596313475,24.628593444825004
gfdl_cm2_1,24.248504638675,23.996520996100003,24.166282653799996,24.692451477050003,25.506271362299998,26.179328918449997,27.1744995117,27.952468872075,27.967453002924998,27.07695007325,25.939132690425,25.108322143549998
ingv_echam4,25.442993164075002,25.278076171875,25.4400100708,25.781982421850003,26.032699584975,26.42150878905,27.201690673825,27.607673645025002,27.630867004375,27.18701171875,26.584968566875,25.9077682495
inmcm3_0,22.798500061025,22.966590881349997,23.513526916500002,24.312652587899997,25.002426147475003,25.808944702125,26.1285018921,26.269065856925,26.132637023925003,25.465576171875,24.37953186035,23.2668609619
ipsl_cm4,24.118263244625,24.000656127925,24.441459655775,25.337707519525,26.2414855957,26.768669128425,27.428855896025002,27.735160827625,27.599433898925,27.028419494625,26.117416381825,25.001770019525
miroc3_2_medres,23.504737854,23.003273010250002,22.770668029775,22.951782226549998,23.570281982424998,24.374275207525,25.10945129395,25.658271789550003,25.900749206525,25.7627029419,25.202804565424998,24.370223999025
miub_echo_g,25.084060668924998,24.696411132799998,24.660110473625,25.031707763700002,25.751426696775,26.267585754400002,26.577171325675,26.896629333474998,27.0099029541,26.888221740725,26.458969116225,25.691360473624997
mpi_echam5,25.420593261724996,25.15125274655,25.19803619385,25.57661437985,26.51586151125,27.28578186035,27.8684463501,28.313926696775,28.381271362299998,28.088981628425,27.563179016124998,26.370414733875002
mri_cgcm2_3_2a,25.469123840325004,25.948074340825,27.044067382825,28.5514984131,28.964881896975,29.417381286624998,30.353515625025,30.0621032715,28.9895095825,27.167655944824997,26.4581375122,25.963836669924998
ukmo_hadcm3,25.3763961792,25.864051818825,26.6072769165,27.42988586425,27.620658874500002,27.986045837425,28.629753112775,29.164581298825,29.058052062975,28.419654846175,27.1926727295,26.1159057617
ukmo_hadgem1,24.586669921875,24.228507995625,24.243644714350005,24.829757690424998,25.728973388675,26.637641906749998,27.217643737775,27.618766784675,27.706886291500002,27.20401000975,26.39626312255,25.369544982875002
