GCM (circulation model),Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
bccr_bcm2_0,20.58153619,21.13889567,22.79197184,24.53683133,24.27805244,22.64199151,23.02334595,23.56786431,23.58799913,23.12309774,22.15031264,21.1167806
cccma_cgcm3_1,23.78471883,24.47535197,25.89818997,26.85822211,26.55159166,25.90768772,26.26759508,26.20179579,25.57259793,25.36172146,24.84641181,24.39011298
cnrm_cm3,21.71393161,22.37434557,23.94273546,25.38794623,25.0126275,23.605523,23.24346924,23.69139947,23.93216621,23.73172336,22.76115926,21.9353163
csiro_mk3_5,27.10833401,27.52610609,28.83751763,30.45116509,31.54674615,31.21671549,30.90483263,31.92463515,31.72766791,30.84744602,29.5064799,27.74273682
gfdl_cm2_0,22.69563463,23.2663506402,24.362731933600003,25.709126790366664,26.476660834411113,26.049716525622223,25.454010009777782,26.09061686197778,25.62529500325555,24.285766601566667,23.43353271483333,22.973988850911113
gfdl_cm2_1,23.068572998055558,23.711432562922223,24.713484022344446,25.830593532988885,26.6805114746,27.081203884544447,27.7355923123,27.849012586811106,27.345889621300003,25.857760959188884,24.512149386944444,23.661810980911113
ingv_echam4,23.191518147777774,23.752878824844448,24.691491021044445,25.33758544923333,24.98149617512222,24.608747694222227,24.76306152344445,25.406463623055558,25.527777777788884,24.887596978077777,24.148610432944444,23.577239990222225
inmcm3_0,23.42204454211111,23.502248128244446,23.9670952691,24.919806586355556,25.819908989800002,26.364817301433334,26.360548231333333,26.530639648444446,26.57594468858889,26.049394395622226,25.020046658,24.02019924588889
ipsl_cm4,23.281429714611114,23.495425754122223,24.68434312608889,26.51685587565556,27.28919135201111,27.152703179244444,26.603871663411113,26.766316731777774,27.088372124566668,26.799567328555554,25.55327012803333,24.287092420788884
miroc3_2_medres,23.41790093314445,24.15044826932222,25.7346428765,27.706105550111108,29.110700819211104,28.686048719622224,28.829538981133332,28.39350382486667,27.822116427955557,26.158050537100003,24.4907836914,23.570380316833333
miub_echo_g,24.925635443766666,25.2052001953,25.994649251311113,26.288055419922223,26.024197048622216,25.268880208344445,24.93930731878889,24.884480794277778,24.959971110022224,25.072601318355552,25.14256795247778,25.203982883033333
mpi_echam5,24.093641493055557,25.0149875217,26.2352871365,27.24529351127778,27.074968126077778,26.467146131733337,26.58845689562222,27.049655490444444,26.75929768878889,25.56967502168889,24.609680175766666,24.10217624242222
mri_cgcm2_3_2a,23.998090955944445,24.716064453133335,26.181193033855553,27.59823947483333,27.42496405706667,26.412058512366666,26.476799858944442,26.22662692597778,25.90583292645555,25.52235243053333,24.933654785144444,24.230153401699997
ukmo_hadcm3,24.170366075300002,24.93473307291111,26.122745090055552,27.42822943794444,27.510345458977778,26.855319552955557,27.018035888677783,27.306935628244446,27.526574028866666,26.93981933591111,25.86801825628889,24.59082709418889
ukmo_hadgem1,22.658786349822226,23.00912814671111,24.02345445418889,25.410356309677777,26.01003689236667,25.088555230033332,24.583597819022224,25.134416368266663,25.48688083224444,24.829589843744447,23.87627834743333,22.948621961822226
