GCM (circulation model),Jan,Feb,Mar,Apr,May,Jun,JulAug,Sep,Oct,Nov,Dec
bccr_bcm2_0,21.17549303,21.68795776,23.5014445,25.33795844,24.97062853,23.54446072,23.44430542,23.95470852,24.08213298,23.62079536,22.65751817
bccr_bcm2_0,21.02932061,21.89073012,23.71444024,25.24825372,25.12351142,23.37494236,23.53279283,24.03431532,24.09745619,23.64465332,22.80047268
cccma_cgcm3_1,24.98280504,25.47007921,27.22038778,28.07678901,27.77173869,27.09164429,27.44624159,27.41412354,27.05301581,26.37052409,26.04009671
cccma_cgcm3_1,24.97150675,25.29449124,26.82854546,27.97476196,27.60702176,27.11953057,27.33707004,27.60659451,26.79804484,26.24909465,26.10527886
cnrm_cm3,22.64385647,23.424764,25.5436164,26.75674438,25.92522515,24.18491957,24.339603,24.6745775,24.76052178,24.74259101,23.68436008
cnrm_cm3,22.7400038,23.52772692,24.97833591,26.39759657,25.51196967,24.26615736,23.88336182,24.444536,24.65053304,24.50795831,23.6729499
csiro_mk3_5,27.92837185,28.70613946,29.90229289,31.73731486,32.49979655,32.46769884,32.57200114,33.2342631,32.92407566,32.0091451,30.87541707
csiro_mk3_5,32.65366279,32.34855143,32.36351522,33.12556627,32.78204685,31.61636353,30.69247097,29.10012478,27.97753567,28.44299995,29.80503676
gfdl_cm2_0,23.50501166451111,24.437266031888885,25.394429524733336,26.633138020844445,27.72994316948889,27.101298014311112,26.296841091577775,27.166151258666662,26.393771701400006,25.202684190533333,24.354536268455558
gfdl_cm2_0,23.593132866766663,24.410349527999998,25.350765652122224,26.82076348196667,27.53895399306667,27.07352362738889,26.868482801655553,27.356563991955554,26.438374837244446,25.199100070533333,24.431501600500003
gfdl_cm2_1,24.177198621955558,24.58907063801111,25.80112711588889,26.829789903433337,27.761406792555558,28.17215983072222,28.922617594411108,29.009063720700006,28.231584337011114,26.631757948133338,25.275210910377773
gfdl_cm2_1,24.102176242388893,24.5232916938,25.761528862833337,26.796088324655553,27.644439697266662,28.144687228733332,28.791442871111112,28.802815755222223,27.79633246527778,26.3946126302,25.16069539385556
ingv_echam4,24.008772108288888,24.556040445955553,25.664761013433335,26.332085503466665,26.056850857222223,25.4689195421,25.630855984155556,26.335211859822223,26.535634358733336,25.807122124566668,25.07047186957778
inmcm3_0,24.5243496365,24.587181939033332,25.17578124998889,26.04851277668889,26.844221327033335,27.37328084311111,27.5652770996,27.585954454199996,27.542805989577776,27.010603162966664,26.06056043836667
inmcm3_0,24.386579725477777,24.386657714844443,24.884019639766667,25.953840467666666,26.647935655366666,27.25854831271111,27.37202962238889,27.66836547851111,27.48540242513333,26.97201199002222,25.926306830522222
ipsl_cm4,24.062449137344444,24.24696519638889,25.595967610677775,27.016866048177775,28.16999647352222,28.26137288411111,27.807701958544445,27.85870361328889,28.046156141488893,27.74089898002222,26.46721055773334
ipsl_cm4,24.021745469844443,24.523559570322224,25.692260742177776,27.12844509548889,28.30460272894444,28.19648573135556,27.70261976453334,27.738220214833333,27.907708062077777,27.7937520345,26.666005452477773
miroc3_2_medres,24.27510918513333,25.0879143609,26.940653483066665,29.253414577900003,30.416469997833335,29.821641710055562,29.911092122388887,29.824205186633336,29.19414605035556,27.63448079426666,25.7197672526
miroc3_2_medres,23.887105305988886,24.989776611333333,26.559465196388885,28.664208306188893,29.847791883677775,29.254814995655554,29.563764784077776,29.585567898211114,28.774241129555556,27.071702745233335,25.097547743066663
miub_echo_g,25.915778266066663,25.847802056199995,26.622768825955557,27.117173936633336,26.774603949644447,25.815277099611112,25.702097574866666,25.57905409071111,25.6689690484,25.855383978944445,25.85621812608889
miub_echo_g,25.719122992633334,25.879899766711112,26.88097466363333,26.98050265842222,26.266208224822222,25.7893541124,25.566928439677774,25.499359130855552,25.560777452255554,25.732574462877775,25.766510009755557
mpi_echam5,25.15180799694445,25.880669487844443,27.109415690099997,28.100785997166668,27.561296251088887,26.945261637377776,27.33021036782222,27.86373562283333,27.7585381402,26.542629665788887,25.370744493277776
mpi_echam5,24.704057481544446,25.490641276044446,26.589409722222218,27.5099995931,27.53882514104444,26.7620985243,27.087107340488885,27.60626559786667,27.3701985677,26.267673068577786,25.10986328126667
mri_cgcm2_3_2a,24.762115478511113,25.485236273866665,26.88581678602222,28.575117323122225,27.550425211588887,27.173448350688894,27.375054253477778,26.968488905155553,26.431515163866663,26.089063856344442,25.571197509755553
mri_cgcm2_3_2a,24.852718777122224,25.63644748263333,27.412255181211112,28.23637559677778,27.72376505533333,27.227630615244443,27.691338433166663,27.048261854377778,26.41461520724444,26.08849419488889,25.615549723300006
ukmo_hadcm3,25.300452338344442,25.99382188583333,27.263417561855555,28.502163357211106,28.521911621099996,28.03095838758889,28.30135091146667,28.733618842222224,28.877980550122217,28.039520263666667,26.932352701833334
ukmo_hadcm3,25.28278944226666,25.925981309666664,26.819502088755556,28.283979627833332,28.322438557944444,27.66089545354445,28.14945136176667,28.50607638887778,28.680443657777783,27.826314290366668,26.825893825955557
ukmo_hadgem1,23.57217068143333,23.86042277018889,24.665276421455555,26.218237982855555,26.717322455522222,25.676188151044446,25.685085720466663,26.4671122233,26.703338623055558,26.04641723632222,24.973222520611117
