GCM (circulation model),Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
bccr_bcm2_0,14.93128805,16.59336867,19.87715892,23.88832565,26.21811966,26.56991928,24.84983245,24.4464881,24.06247812,22.12688777,18.68086121,15.88748615
bccr_bcm2_0,14.73107059,16.34710788,19.53272713,23.66532965,26.09868115,26.59550598,24.60311539,24.31819058,23.94102384,21.96613845,18.69121734,15.84501324
cccma_cgcm3_1,13.22794565,16.68114262,21.3175462,25.77198832,29.12065084,29.38701717,26.891022,25.79397583,24.79179369,22.28249096,18.05956221,14.1129145
cccma_cgcm3_1,12.58483779,16.11991707,21.17923298,25.85394962,28.97190519,28.8991683,26.82436324,25.57352063,24.65899712,21.919789,17.67994838,13.63278252
cnrm_cm3,14.47714031,16.61219963,20.13951745,23.24730689,25.16095106,26.12070458,24.84224114,24.51867352,23.79374438,21.51258702,18.21943232,15.16254661
cnrm_cm3,14.72655669,16.98414085,20.3663511,23.46628645,25.52637745,25.7660779,24.72514735,24.47124218,23.72495371,21.57018638,18.47612567,15.37826241
csiro_mk3_5,18.69347213,21.31448418,25.28985812,29.60793041,32.58451182,33.73699708,31.94035596,29.48896533,28.19759835,25.5233662,22.33157376,19.58055857
csiro_mk3_5,32.53118005,33.61955113,31.99257397,29.43129953,27.99057412,25.25261668,22.37176136,19.44274227,19.03603694,21.27119405,25.31611809,29.25582724
gfdl_cm2_0,14.470950641461513,17.24497148631739,21.303444651374843,25.31760804843407,28.138098792694333,28.75067921866579,26.367448384783888,24.990237885872933,23.759001335211877,21.562175379389938,17.800119450658148,14.806234714207566
gfdl_cm2_0,14.658586620229567,17.18918953954181,21.22496694378794,25.013870914425592,28.045200044072214,28.812037105054323,26.25021524344877,24.841198136323534,23.447944303530015,21.48451381446648,18.242900071948796,14.816625679487242
gfdl_cm2_1,15.965430605732742,18.531562872688184,22.39753898688228,26.39714549917194,28.471674016091676,27.671140957721217,25.90092292718372,25.538874803389113,24.112316300380883,21.694868509746144,18.81260154521585,16.404799604839894
gfdl_cm2_1,16.006356568461,18.530714186945318,22.398044822490263,26.216797685204384,28.305825832669015,27.03247475412872,25.648395099469738,25.275284218570608,24.063695856954304,21.35032532278038,18.349905908636106,15.837650400349284
ingv_echam4,17.939772884399748,20.096149275788783,24.5104062240723,28.28021159214005,29.992529674963798,29.286702654004586,26.975428758467604,26.367266359579734,25.852971169798863,24.111834230677403,21.194717812329557,18.362510343570342
inmcm3_0,11.283622944251642,13.31602032416877,17.22448217341247,21.43383627021982,24.747171047515742,26.851470947263373,26.66198730469231,25.50765208016159,23.72449297609629,19.75875584424921,15.931510722742086,12.644786733441377
inmcm3_0,11.450519257943679,13.226211412819154,16.684146847343367,21.32026145732047,24.698179261867875,26.888917906087602,26.58597584952505,25.26618944015876,23.589876158050266,19.908853986622972,15.842658388934389,12.13362283622015
ipsl_cm4,16.089504410728452,18.53962288916101,21.37081071971469,24.382272906008396,26.83527313502522,28.18600112780048,29.083889851532774,28.606459626055784,26.28429905714135,23.894895030333437,20.479302330354628,16.83576870808551
ipsl_cm4,16.468164764678743,18.39582230559354,21.30669220780699,24.65831034162178,26.99347085868212,28.26626938000691,29.051509620871517,28.469273389964286,26.306162606297182,23.806087797721023,20.512585665276763,17.42706568895419
miroc3_2_medres,15.877682981238511,18.35837062058665,22.017567052250033,26.269147484705655,28.80357914477091,28.1098181800476,26.645770317684068,26.175947071171688,25.5383570848278,23.59653196081426,19.962459868036955,16.50479801144028
miroc3_2_medres,16.096746529089693,18.11742191821557,21.873167594974852,26.407079105879916,28.955567486518287,28.352435086679115,26.66282100171415,26.166055054789368,25.716930288131145,23.587849304734505,19.93307792190871,16.703463394026098
miub_echo_g,16.25982031357858,18.314027229242736,21.903836140589288,25.61358750604814,27.805993274250543,29.214697103583937,28.276836564055497,26.118120041566634,24.69597470443717,22.48784374136114,19.98172294143588,17.053656654016223
miub_echo_g,16.299991033775083,18.15296409404304,21.88870725378893,25.481518230604838,27.849897536559844,29.155904584225485,28.107344905886208,26.25548749265389,24.599347680016248,22.36955868881241,19.63228289848554,16.948389914181327
mpi_echam5,16.74136352538488,19.55755831288065,24.400396836538143,28.611075612297597,30.656298612073623,29.631410311808157,27.98717019410443,26.836723665226426,25.995966278344806,24.366009197405926,20.881899673323545,17.735785155166376
mpi_echam5,16.677465658273988,19.33021504900011,24.35804789045238,28.611722692982035,30.445210144579196,29.150679866822315,27.681278465066338,26.835515925310442,25.944980587581043,24.371829142613727,21.18706006075221,17.604932801911694
mri_cgcm2_3_2a,15.596702643199407,18.335959645500008,22.482468056470104,26.00787866643419,28.101458794245392,27.923487300368663,26.857663044883182,25.80699414278673,24.903988998546197,22.800828241668015,19.455255018925904,16.174235116065432
mri_cgcm2_3_2a,15.698462022088007,18.494604060080324,22.514366487481727,26.02149328721385,28.130216615385574,27.954568778523097,26.84065449132037,25.807114862759295,24.922160730955845,22.884015108624837,19.604214288488944,16.375784274753887
ukmo_hadcm3,17.09580048417678,18.932707524932088,23.405971425823548,27.711080635542505,29.91757310175132,30.414620998686367,27.79535344216734,26.48689634610355,25.544554853860262,23.47566911815505,20.141844352789732,17.368448983247962
ukmo_hadcm3,16.928930366986116,19.073441632021844,23.30873526513858,27.20788061090835,29.681291158216055,30.594967732386014,27.931528817236472,26.62632737961106,25.65870085859842,23.435276537872124,20.12663390573089,16.953181714080973
