GCM (circulation model),Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
bccr_bcm2_0,25.45008163,25.38781482,25.55528714,25.70609778,25.68929658,25.33309121,25.18937206,25.16735281,25.36329616,25.55307147,25.81506464,25.73397408
cccma_cgcm3_1,25.93721067,25.99460305,26.13814981,26.44621638,26.74286518,26.51207331,25.99955738,25.89186318,26.07213703,26.22793206,26.30310315,26.14057981
cnrm_cm3,25.86683294,25.72499958,25.81261159,26.04240802,25.95728145,25.88147159,25.573648,25.16833706,25.02315818,25.1707978,25.47307325,25.78937886
csiro_mk3_5,29.46320885,29.39577036,29.81286971,30.14387664,30.12713343,29.59023838,29.02690532,28.83097082,28.95644513,29.27044841,29.6972838,29.64068767
gfdl_cm2_0,25.784631627209162,25.853967797666396,26.16367089657099,26.42319401166106,26.488223476268697,26.13981803137023,25.843263349458017,25.99920398042289,26.240660689256476,26.532038564900752,26.508861046709164,26.19668905243206
gfdl_cm2_1,25.927549172903817,25.82262880746946,26.15402198383663,26.43775508968167,26.41528320312595,26.15653747092518,25.773584729842742,25.897389419204565,26.32177035499007,26.574263943970234,26.604201921070228,26.299115362969456
ingv_echam4,27.285218216990835,27.141971500776346,27.054206207507637,27.21989615636869,27.429472246238177,27.227134413391592,26.8650577923748,26.709163753129765,26.782380548145046,26.97334837003282,27.143710070893135,27.370468722046557
inmcm3_0,26.199682570596952,26.19766584789084,26.28770644791831,26.187743208791606,25.85320835259007,25.639297135912212,25.33482558854505,25.332264441570977,25.614776844285498,25.91263073636947,25.993671912272525,26.1011564531397
ipsl_cm4,27.04701174670534,27.180581828109926,27.44016830793512,27.631172238413733,27.560132674587795,27.273966781964894,27.057547066956477,26.958273618279396,27.10936498277938,27.430140138585486,27.421297029690088,27.19588790777327
miroc3_2_medres,26.482656697276347,26.57613902783129,26.855722441932045,26.988222311463364,26.975266551243514,26.849813213781673,26.65064967497634,26.652949675348832,26.709357108780157,26.81390241083969,26.73380867761449,26.5176994964351
miub_echo_g,26.671214329379367,26.581948316736643,26.458382875863354,26.52946693477939,26.599283232944263,26.48735780206032,26.220457586622892,26.09563114078931,26.054687965915264,26.325259609077868,26.60658811613434,26.7340241643313
mpi_echam5,27.010234337728246,26.951297439693874,27.19664455734198,27.746818018327467,27.981859512912987,27.590351832731294,27.039695681511443,26.777511946114497,26.895973962683208,27.290941078241993,27.423231518000758,27.357886394465655
mri_cgcm2_3_2a,26.60941413704505,26.76451774772061,27.402322550764886,27.846204451936643,27.722713324864884,27.329469404144284,26.82598690586183,26.722351307180908,27.064959344059552,27.534183181880138,27.667844816019084,27.02981986708245
ukmo_hadcm3,28.50378091826489,28.59561739623282,28.745315435277085,28.976696684157254,28.913731698769464,28.485742467048855,28.16482707015497,28.164703835052663,28.25055514037405,28.441954401610687,28.670442537497703,28.696561624071755
ukmo_hadgem1,26.870608264249622,26.89642170913281,26.988841748416796,27.037911218536653,26.95008628787099,26.599834878933585,26.236882799454207,26.289791893408403,26.54706066801526,26.73713532658322,26.94500872197022,27.063206330508397
