GCM (circulation model),Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
bccr_bcm2_0,23.20270746,24.00641285,24.81411882,25.07717757,23.88666465,22.91530817,22.46228166,22.59107139,23.28292569,24.16826422,23.54333357,23.26335699
bccr_bcm2_0,23.51948547,24.05686535,24.78629927,24.97524608,23.97955045,23.11308427,22.50612016,22.35399974,23.17226757,24.06554343,23.27930381,23.51336947
cccma_cgcm3_1,24.24825634,25.64978998,26.65922408,25.70004272,25.08523005,23.94380882,23.04584156,23.45915222,24.32972024,24.76114724,23.54347229,23.12475447
cccma_cgcm3_1,24.49884311,26.21879578,26.41960005,25.53058555,24.9432595,23.77389526,22.82285794,23.36979675,24.33929998,24.60389987,23.63088851,23.514371
cnrm_cm3,23.04114047,23.87242126,24.88372525,24.22394631,23.12491816,22.54542819,22.53515764,23.21715615,24.22440407,23.63449235,23.26787498,22.83818886
cnrm_cm3,22.75102927,23.77735623,24.61298995,24.3990645,23.11905462,22.58075645,22.64969843,23.15950706,24.12054998,23.76341802,23.01684848,22.53678617
csiro_mk3_5,29.35022666,30.01263844,30.53393416,30.76960338,28.73081415,28.20863342,27.63812672,27.64482533,28.28331687,27.95994429,27.14701843,27.93292236
csiro_mk3_5,28.44439559,28.02125827,27.51067977,27.45789684,28.07414384,27.83409257,26.85035706,27.38546753,28.92595742,29.74194059,30.37508462,29.8750652
gfdl_cm2_0,23.315838900468176,24.950166182086367,25.753272316668184,25.592020208172723,24.190863869418184,23.352572354404547,23.064702814272728,23.400496049349996,24.113081498577273,24.206372347745454,22.552137895054543,21.770145763054543
gfdl_cm2_0,23.147922862654543,24.778128884059086,25.91816988858182,25.721539584077277,24.132091175422726,23.552427812054546,23.171779285781817,23.30562106044545,24.171005249018183,24.136592518181818,22.506767966531818,21.864901455963636
gfdl_cm2_1,23.878924283113637,25.278826626863637,26.277292424986364,26.38437583228182,24.75919272682727,23.528169111763635,23.094002463604546,23.54804992675,24.359673239968178,24.38430369983182,22.662234219636364,22.32589582963182
gfdl_cm2_1,23.39462280272727,25.13288740678636,26.086076216272726,26.285909479313638,24.666913119222727,23.427147605199995,22.90384743430909,23.53955771705455,24.160933061086368,24.091616543863633,22.678139426495456,21.905703457913635
ingv_echam4,27.16379477760454,28.436810580163634,28.42313870516818,27.928039550781822,26.04881009188182,25.91810053044546,24.80556279961818,24.709025989877276,25.5642006614,25.383610118522732,25.15219254927273,25.82346690784091
inmcm3_0,22.820073908013637,23.64442998713636,23.81299521706819,23.09828463468182,22.516376842159094,22.020445390186367,21.662024758081824,22.54485667835,23.69304171475909,23.535365711563635,23.00670415704545,22.425483010036366
inmcm3_0,22.59853571111818,23.463933771309087,23.77663074839545,23.06167879971818,22.46956842596364,22.020201249549995,21.486028497868183,22.268538041540907,23.419183904472728,23.46792602539091,22.77307822487273,21.985652576786364
ipsl_cm4,26.494984019881823,27.564025878913636,27.90199002352273,27.05233071067727,26.31337946110909,26.157816106618178,25.685168179590907,25.892808394,26.25507146662727,26.14439946955,25.37601679021818,25.57203258168182
