GCM (circulation model),Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
bccr_bcm2_0,13.37915243,16.0599589,19.50622152,23.02446289,23.88986613,23.42678833,22.81109009,22.91700846,22.71225993,19.36109416,16.48933309,13.84496053
bccr_bcm2_0,12.86252035,16.04495239,19.81593018,22.82440186,24.13039144,23.20688273,22.54968669,22.82096965,22.40340169,19.11859945,16.66663411,13.61417236
cccma_cgcm3_1,16.62527262,19.07634074,24.26256307,27.64008179,28.23638916,26.65770671,25.42039998,24.68697917,23.89214274,21.54790853,19.25811157,15.99056803
cccma_cgcm3_1,16.22579549,19.1258016,24.00790812,27.34730225,27.41622314,26.19636027,25.07281291,24.6198527,23.61588745,21.96799723,18.45652059,16.01792399
cnrm_cm3,14.00869954,17.01079305,21.87324219,25.58821818,27.35385742,26.16023153,24.29743449,24.07653402,23.30003662,20.56195068,16.87481486,14.49035034
cnrm_cm3,14.12475382,17.67690023,22.35179036,25.48280843,27.33651937,26.03000692,24.03622843,24.08828532,23.17992757,20.18723755,16.8047526,13.6959493
csiro_mk3_5,17.61416219,21.29410604,26.62552694,31.97719116,34.1122172,30.79139201,28.58682454,28.34542847,26.84578654,23.29818522,20.59771932,18.26973267
csiro_mk3_5,33.6168986,30.61801147,28.67808634,28.14408162,26.89554443,23.39457804,20.66997274,18.25141398,18.35632324,21.41787516,27.11005249,31.36344808
gfdl_cm2_0,15.584391276038666,19.79387207030667,25.178440348306665,28.887697346999996,27.155535888673334,25.068483479826668,24.4519978841,24.136631266266665,22.309423828119996,18.711419677746665,16.63808797200667,15.322351074218002
gfdl_cm2_0,16.864961751313334,20.206347656253328,25.389687093093332,28.239426676426664,28.442569986973336,24.82163085938,24.379726155593335,24.12053222655333,22.04264729818667,20.447670491540002,17.76715494790667,15.568754069003337
gfdl_cm2_1,16.480609130859335,20.304264322926663,24.43964436849333,27.19157714844,26.738472493486665,25.189646403,24.709307861333333,24.398431396480003,21.96747436524,20.633998616526664,18.352030436200003,15.081030273428667
gfdl_cm2_1,16.690696207674,19.28177693684666,24.65007731120667,27.67656046549333,26.340452067053334,24.968857828759997,24.58168131509333,24.07470296224,22.617913818359998,20.510404459633335,18.607619222013334,15.442510986325335
ingv_echam4,19.114184570299997,22.655013020833337,26.19519449867333,26.99514160156667,26.186893717439997,25.558496093739997,25.54391276042667,25.306876627606666,24.424487304693333,23.141595458986668,21.733160400386666,19.68833007812667
inmcm3_0,15.831353759780663,19.32789916992667,23.474361165366666,26.866206868486664,27.193538411446664,26.635174560560003,25.91462198893333,25.491373697906663,24.181549072266666,22.141365559893334,19.397115071600002,16.97325032552067
inmcm3_0,16.13120524089334,19.058595784513336,23.25561523437333,26.677801513680002,27.42734171548,26.837514241526662,25.824692789713335,25.105741373686666,24.142114257813333,21.90983072916,18.969736735033333,16.728542073579998
ipsl_cm4,13.835467529302,17.29965006510667,23.307291666680005,27.69031372072,29.429040527346665,29.49372151692667,28.89151407877333,27.961865234373338,27.147041829440003,24.0940266927,19.792533365886666,15.308544921872665
ipsl_cm4,14.264068603522002,17.93659057618,23.191263834633332,27.16810099284,29.10175170897333,29.37022501627333,28.740045165993326,28.06287027994,27.189239501953338,24.154681396473336,20.126617431653333,15.911724853507335
miroc3_2_medres,15.463824462893337,19.110829671220003,22.954089355459995,26.709828694666665,27.446872965493338,26.04133300781333,25.62638346353333,25.470359293613335,25.19146321614,22.819217936206666,18.785400390626666,15.561167399082668
miroc3_2_medres,15.484735107418002,18.52091878256,22.8074605306,26.484354654953332,27.053204345693334,25.933766682946665,25.465199788399996,25.741874186206665,25.089410400393337,22.783579508473334,19.104193115233333,15.439487711595332
miub_echo_g,20.19979858396666,21.834344482433334,25.29847615559333,25.957759602873335,26.57325236002,25.463584391273333,24.95990804036,24.766202799473334,24.284189860026665,23.355185953766668,21.794165039059997,20.413614908853333
miub_echo_g,20.47772216798,22.4213236491,24.85755004882,26.043127441406668,26.53405151368667,25.514444986980003,24.849218750006667,24.53810424804667,24.196799723299996,23.47569986979334,21.752463785813333,20.348097737626667
mpi_echam5,18.511267089839997,22.68166707356667,27.512931315113335,30.197031656906667,28.25074666341333,26.81283976238,25.90273437500667,25.46839192709334,24.684706624353336,22.597041829419997,19.98018391926667,17.199918619780004
mpi_echam5,17.675785319013332,22.283843994153337,27.463256835926664,30.27514851888,27.723201497386665,26.969443766273336,25.723042805980004,25.181394449873327,24.276784261066663,22.394091796866668,20.04774780272667,17.266861979166663
mri_cgcm2_3_2a,17.132527669266665,19.18334350585333,22.892346191406666,25.1464070638,25.449076334626668,25.889835611993337,25.435019938153335,25.020446777353335,24.79749145507333,22.79467163086,19.812701416013333,17.775160725913334
mri_cgcm2_3_2a,17.390749104813334,19.492850748713337,22.919067382826665,24.99720865885333,25.646653238933336,25.87104695637333,25.50048421223334,24.97691446940667,24.75865681966,23.20596923828,20.500020345053333,18.44038085938
ukmo_hadcm3,15.161204020193999,18.588423665360004,24.413051350926672,28.295469156899994,27.605279541013335,26.71069335938,26.594191487633335,26.49576619466667,25.78713582356667,23.78867594401333,20.273836263006668,16.459029134115333
ukmo_hadcm3,15.357204182935334,18.601645914699997,24.489711507173336,28.619765218093335,28.18824259440667,26.95716959636,26.580753580733333,26.743963623039996,25.726794433593337,23.326635742193332,20.113846842446666,16.480381266286663
ukmo_hadgem1,16.062371826160668,18.676511637366666,24.325252278660003,28.76248779296667,28.498760986326666,26.135335286453333,26.37212320964,26.371315511073337,25.11697794596,23.503548177073334,20.367856852206664,17.372882080079997
