GCM (circulation model),Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
bccr_bcm2_0,21.82437744,21.71991577,21.39192505,20.18886719,17.81888428,16.45930786,15.57766113,17.1149292,20.44933167,23.93077698,23.70761719,22.44234314
cccma_cgcm3_1,21.79277344,21.63088074,21.64920044,20.59317322,18.55504456,15.66536865,14.64376831,16.25620117,21.4245575,25.20771484,25.77954407,23.2210083
cnrm_cm3,21.73522339,21.8907196,21.52148132,20.11671448,17.66446838,14.68042297,14.25163269,16.78657837,21.29660034,24.55860596,23.55132751,22.07289429
csiro_mk3_5,26.36047363,26.48847351,26.0783783,25.35574951,23.68336182,22.69572144,21.97955933,23.23295593,26.3331604,29.51955872,29.00113831,26.24658508
gfdl_cm2_0,20.990240478529998,21.150769042959997,20.452056884770002,19.422271728509998,18.97132263185,18.721939086920003,18.8595336914,20.23808288575,22.76325073241,24.645523071280003,24.80642395019,21.41614379883
gfdl_cm2_1,21.64966125489,21.579379272460002,21.0789276123,19.861553955079994,17.97196655273,16.83421936034,17.72627868651,19.94570312499,22.528021240250002,24.538085937500004,25.38076782225,22.47704467774
ingv_echam4,21.963677978499998,22.328906249990002,22.393118286139998,22.39082336426,21.03249511719,19.63988342285,20.117852783209997,22.219253540050005,26.281604003899997,27.642059326160002,24.414236450190003,22.17739257812
inmcm3_0,24.311758422839997,24.114581298829997,22.802667236330002,20.050515747080002,16.767166137689998,13.767736816389998,13.07194213868,14.848779296859998,18.39393310546,22.7312866211,24.67410888672,24.27478027344
ipsl_cm4,24.654306030270003,24.58662414552,24.390295410150003,23.85058288573,22.17164611815,20.002285766609997,19.50974121094,20.794140625000004,24.0156616211,26.139840698219995,26.834423828129996,25.36039428711
miroc3_2_medres,22.80292968752,22.386047363280003,21.54469299315,20.15826110841,17.874700927750002,15.601550292979999,14.733258056649998,16.259188842769998,19.75630798341,22.33769226075,24.02276916502,23.677038574230004
miub_echo_g,21.551068115239996,21.41870422364,21.2291748047,20.83545837402,19.627511596669997,18.856082153319996,19.32775878905,21.39807128905,24.226589965809996,25.76434631348,23.66946716308,22.30498352051
mpi_echam5,24.16337890625,23.60721435547,23.50628662109,23.02015075683,21.406390380850002,19.67430725098,19.636618041989998,21.9748779297,24.64765319824,27.15122070311,26.871850585940003,25.271633911130003
mri_cgcm2_3_2a,22.70172424317,22.522863769519997,22.93214111328,22.28275756836,20.242971801749995,17.775076293939996,16.916247558600002,18.53171081544,21.718054199230004,23.04809265136,23.57472839356,23.36111450195
ukmo_hadcm3,23.19008178712,23.1673614502,22.73434143067,21.651470947270003,19.43615112304,18.579159545900005,19.384237670900003,21.902212524400007,25.065939331060004,26.759686279289998,26.870516967780002,24.75128784181
ukmo_hadgem1,22.79674987792,22.725570678700002,21.885366821280005,20.77628479002,19.07289428712,17.52282714844,17.51043395995,19.129458618160005,21.984124755850004,24.062142944349997,24.392510986339996,22.94196166992
