GCM (circulation model),Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
bccr_bcm2_0,25.7355957,26.40623474,26.65396118,25.84063721,24.67492676,23.24409485,22.0063324,21.43481445,21.45280457,22.1408844,23.63165283,24.99247742
bccr_bcm2_0,25.77923584,26.53710938,26.50161743,25.61843872,24.58627319,23.30480957,22.07875061,21.56445313,21.59103394,22.26239014,23.64038086,24.89682007
cccma_cgcm3_1,27.4236908,27.87045288,27.795578,27.47874451,26.49804688,24.89207458,23.72134399,23.13171387,23.08779907,23.70661926,24.91119385,26.30955505
cccma_cgcm3_1,27.49243164,27.98387146,27.90737915,27.45324707,26.38282776,24.8129425,23.68721008,23.12207031,23.06581116,23.75292969,24.9282074,26.30012512
cnrm_cm3,27.11044312,27.78338623,27.7840271,27.09567261,25.75511169,24.21725464,22.85668945,22.19654846,22.1703949,22.77838135,24.25785828,25.94473267
cnrm_cm3,26.86199951,27.49272156,27.54556274,26.99415588,25.67907715,24.28100586,22.84500122,22.20748901,22.21296692,22.87667847,24.35636902,25.73953247
csiro_mk3_5,28.99342346,29.19898987,29.06350708,28.2862854,26.9571991,25.71427917,24.79040527,24.33805847,24.20559692,24.8052063,26.55169678,28.28741455
csiro_mk3_5,26.81158447,25.60699463,24.71051025,24.16082764,24.14715576,24.75242615,26.53843689,28.31338501,28.92703247,28.86383057,28.86831665,28.12329102
gfdl_cm2_0,26.10920715335,26.7506713867,26.75608825685,25.892730712899997,24.43327331545,22.914672851600002,21.8653869629,21.4147491455,21.38117980955,22.138824462899997,23.3271026611,24.758941650399997
gfdl_cm2_0,26.04862976075,26.5670928955,26.5987854004,25.7526397705,24.4688873291,22.894821167,21.7702636719,21.483383178700002,21.51286315915,22.1989593506,23.341384887700002,24.9235534668
gfdl_cm2_1,26.260925293,26.98400878905,26.97967529295,26.576049804649998,24.9924316406,23.2062988281,21.816818237299998,21.20016479495,21.254776001,21.90466308595,23.095809936549998,24.78634643555
gfdl_cm2_1,25.871673584,26.66035461425,26.903793334950002,26.37026977535,24.54983520505,22.7191467285,21.5001220703,21.0141143799,20.95347595215,21.6052398682,22.8019866943,24.4835357666
ingv_echam4,28.30343627925,28.755737304649998,28.705673217799998,28.0749359131,27.10650634765,25.847335815450002,24.70654296875,24.2049865723,24.137680053700002,24.875152587899997,26.4320068359,27.7252960205
inmcm3_0,26.73727416995,27.3893890381,27.34019470215,25.51834106445,23.5877990723,21.371078491200002,20.08026123045,19.9499053955,20.26249694825,21.48965454105,23.6178436279,25.5919799805
inmcm3_0,26.73359680175,27.3555755615,27.34078979495,26.01679992675,23.14474487305,21.172302246050002,20.13514709475,19.90382385255,20.26721191405,21.78842163085,23.602478027350003,25.557723999
ipsl_cm4,27.117691040049998,27.8012237549,27.92626953125,27.50566101075,26.2537689209,24.79168701175,23.595123291,23.138198852549998,22.96267700195,23.682235717799998,24.829696655299998,26.09214782715
ipsl_cm4,27.2319793701,27.8584747314,27.9617614746,27.5062866211,26.33486938475,24.73278808595,23.693939209,23.0640563965,23.10131835935,23.83383178715,24.9972229004,26.237380981450002
miroc3_2_medres,24.543380737299998,25.2509765625,25.3271484375,24.7847137451,23.80805969235,22.4319610596,21.2526397705,20.72596740725,20.751632690450002,21.2061462402,22.16879272465,23.4069061279
miroc3_2_medres,24.499206543,25.148269653299998,25.16539001465,24.537094116200002,23.505798339850003,22.16358947755,21.01020812985,20.5945892334,20.57472229005,20.9602355957,21.87463378905,23.2487182617
miub_echo_g,27.09257507325,27.67222595215,27.8427734375,27.42794799805,26.0231628418,24.4969482422,23.405197143549998,22.73455810545,22.84298706055,23.54844665525,24.9398956299,26.2961425781
miub_echo_g,27.2137298584,27.763351440450002,27.8127746582,27.27404785155,25.869461059549998,24.3078918457,23.2728424072,22.682739257850002,22.74295043945,23.508895874,24.8885650635,26.242507934549998
mpi_echam5,27.387130737299998,27.78672790525,27.8967590332,27.47857666015,26.1936340332,24.83753967285,23.7839050293,23.169998168950002,23.06536865235,23.508316040049998,24.6943054199,26.1739654541
mpi_echam5,27.1543884277,27.5931549072,27.6768951416,27.20989990235,26.020309448200003,24.685485839850003,23.624496459950002,23.0476989746,22.9701690674,23.310043335,24.5985107422,26.061126709
mri_cgcm2_3_2a,26.815887451149997,27.24383544925,26.9596862793,26.22351074215,24.7292175293,23.160537719700002,21.9142150879,21.43502807615,21.5679016113,22.5325012207,23.94552612305,25.72288513185
mri_cgcm2_3_2a,26.8535614014,27.1163330078,26.7847595215,25.89443969725,24.5627746582,23.1890106201,21.94448852535,21.34774780275,21.5930175781,22.62228393555,24.07188415525,25.71954345705
ukmo_hadcm3,26.954208374049998,27.54368591305,27.6611328125,26.99487304685,26.1626586914,25.1499633789,24.1659698486,23.48416137695,23.440032959,23.885360717799998,24.92948913575,26.177322387700002
ukmo_hadcm3,27.1873474121,27.64111328125,27.74514770505,27.38973999025,26.324386596700002,25.15658569335,24.04168701175,23.456253051749997,23.4072265625,23.9504089355,25.225906372049998,26.491897583
ukmo_hadgem1,26.73751831055,27.30184936525,27.38565063475,26.445388793950002,25.117736816399997,23.79055786135,22.889251709,22.4498596191,22.372726440450002,23.0191345215,24.31336975095,25.7483062744
