GCM (circulation model),Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
bccr_bcm2_0,13.58813703,14.80528466,16.8114025,19.28788211,21.40220133,22.79125449,23.77623796,24.36037454,23.6031837,20.9237328,17.30887783,14.07124875
cccma_cgcm3_1,12.76161552,14.0693608,16.74658806,20.62489488,23.58619633,25.78174695,26.68394301,26.53612791,24.41212972,20.964042,16.94969083,13.66027531
cnrm_cm3,14.47946807,15.43646994,17.15354335,19.39669423,21.62482744,23.26795413,23.80567273,24.3175678,23.83641599,21.13298619,17.60179798,15.26273186
csiro_mk3_5,16.68211007,18.11022346,20.56211118,24.08825571,26.6749407,28.11173201,28.61282575,29.10855404,27.6835621,24.26576515,19.41317071,16.77716253
gfdl_cm2_0,12.716636751903707,13.66849809811144,15.840397587533216,18.80930620358308,22.181656072167907,24.31452923056667,25.348749984932102,25.498953736854325,23.5369556568284,19.375334563079505,15.72050231179989,13.121056073979283
gfdl_cm2_1,13.262367154346347,14.250450981986786,16.587560206283342,20.097468623410265,22.622549551506168,24.331006462192608,25.6209170494605,25.93473947783951,23.77391071084816,20.18722647208185,16.605587806227415,13.820057810086197
ingv_echam4,16.811003885153216,17.939125720363464,20.190174997588894,22.739206949867906,24.64602435076791,25.39898794668271,25.6318540219889,25.899196295093837,25.069337821303716,23.186035533011115,20.621144235867916,18.001784336418154
inmcm3_0,14.729496708621616,14.93751054928729,16.218420711565315,18.298247537490987,20.763504216700007,23.528310893495068,25.009642801169143,25.089365641274085,23.92969051407902,21.3740938916605,17.73790901090148,15.551949583452098
ipsl_cm4,14.795653543352849,15.904622395832222,18.470925790294686,21.620873722029643,24.0812634126642,25.814835913386425,26.447116804713584,26.25540123456543,25.0027853883321,22.50916921356544,18.70585952570395,15.70913922344976
miroc3_2_medres,16.17372903706432,17.461367383413712,19.740466836058033,21.9915643385926,24.54552695191606,26.74481992368272,27.796722788859256,27.540146062401238,25.61793197819754,22.47352882667778,19.161203266659882,16.61715886622371
miub_echo_g,16.92656114366284,17.372720223885068,19.274587748962958,21.679452401620992,23.749180546509884,24.754885073056798,25.109677161693835,24.70720531321976,23.986810001327168,22.268766049983956,20.00432332356914,17.8434478382979
mpi_echam5,17.283625096449388,18.279828860434694,19.710281937200865,22.094173478492593,24.14551158010124,25.784349229600014,26.54683845425679,26.54279581705804,25.49269838686544,22.96438636308273,20.029084758993342,17.6873063452421
mri_cgcm2_3_2a,15.520500277294703,16.511878873096794,18.553701895257042,21.56661120755803,24.037452980323465,25.2739702389605,25.956485701196307,25.543662742332092,24.6599870846568,22.782700526860495,19.607181125216055,16.550723605688404
ukmo_hadcm3,14.638107111420378,16.18930317442803,18.157194914642233,21.20208514178396,23.736983687783958,25.267576617960504,26.170026614341964,26.044033097635808,24.798728660301244,22.00833544318766,18.19070660626136,15.317816463518149
ukmo_hadgem1,14.435224368244855,16.32283490969951,18.376461452903094,20.215066415282717,22.3803620515037,24.177776572141976,24.1782373498963,24.504348566506177,24.06043422369382,21.48588844581482,17.799122751497162,14.934715365187461
