GCM (circulation model),Jan,Feb,Mar,Apr,May,Jun,JulAug,Sep,Oct,Nov,Dec
bccr_bcm2_0,14.10524533,15.65426297,17.63029235,19.98746481,22.18803199,23.60558442,24.68998775,24.9812671,24.25229146,21.76285958,17.88373707
bccr_bcm2_0,14.31235495,15.80223781,17.76521923,20.02450675,22.20261713,23.58172231,24.62766483,25.24863349,24.42770273,21.8318327,17.95288312
cccma_cgcm3_1,13.35239439,14.5925357,18.10710766,22.02901204,24.77966949,26.83026311,27.72814075,27.88813009,25.7334007,22.73876539,18.50737169
cccma_cgcm3_1,13.09160699,14.85359098,17.83415995,21.48730431,24.42200121,26.75865795,27.54366651,27.68760248,25.54437331,22.31610673,18.18156866
cnrm_cm3,15.39938279,16.44334543,18.19903112,20.41378747,22.54435259,24.08479516,24.70067644,25.21390411,24.57044813,21.92786323,18.6853374
cnrm_cm3,15.37465451,16.69624197,18.17226005,20.56305534,22.59910301,24.22872435,24.76998299,25.27208757,24.68257989,22.12365421,18.82649551
csiro_mk3_5,17.8247545,19.09003967,21.70613381,25.16087096,27.5433602,29.22133684,30.08746074,30.48183375,28.80635316,25.13174062,21.15092939
csiro_mk3_5,27.6100121,29.08318112,29.94420633,30.38749412,28.91484842,25.30889478,21.30874898,18.1097755,17.56461739,19.05501415,21.38965183
gfdl_cm2_0,13.606213228208206,14.423068576384203,16.42109925069642,19.916447768976912,23.466769748265435,25.554266658825934,26.318641191653093,26.513563744812355,24.48179607626914,20.88523619851483,17.015645721813094
gfdl_cm2_0,13.67403195227408,14.184551474490366,16.513673005281845,19.99708764346951,23.456561429998775,25.59146570276173,26.385727117096298,26.223579689308657,24.613287278165426,20.85610924238025,16.639562159409138
gfdl_cm2_1,13.895591453268349,15.226533866226168,17.602943702977168,21.102926372009886,24.105050546156797,25.688816776980257,26.91188256534198,26.96349231107655,24.91224237135679,21.296762348692596,17.97953513816556
gfdl_cm2_1,14.308607690127564,15.179741753474078,17.79731882354247,21.10901331018642,23.79973423333951,25.80588258343088,26.983934190539514,26.98932675962222,24.91903535819013,21.14121086214198,17.613832450209763
ingv_echam4,17.803212483720497,18.845659420815558,20.952872947403716,23.534384645062968,25.31771888261605,26.35395455066173,26.613498640645677,26.767818121267894,25.99473816670988,24.223261326922227,21.68915623793827
inmcm3_0,15.950356189112716,16.05829347209815,17.54024703414371,19.667097680369142,21.922128182867908,24.97223164122717,26.348106101706172,26.345140245228396,25.22756091458889,22.665134006077786,19.462928301019875
inmcm3_0,15.420785032666926,15.519157503854087,17.240004174504207,19.517724684724694,21.941492151333332,24.754528657886432,26.172454080461737,26.298444959850627,25.115761839316054,22.509184660737052,19.157262731486426
ipsl_cm4,16.226730911816556,17.039899661213962,19.35180362654828,22.691798457391364,25.28810854311852,26.96167519651358,27.5549429434321,27.21404162748396,26.053603937593834,23.521558973523476,19.740530885299393
ipsl_cm4,16.046676824121363,17.067118326820623,19.36418811185754,22.31259758089631,25.000226056133343,27.11010290074815,27.519997679153086,27.1924630624284,25.94562445745928,23.294021794825944,19.726875964508146
miroc3_2_medres,17.276819299771358,18.724148597242714,21.23127237955803,23.649649160880248,26.106476960358037,28.151093282819755,28.963073353700004,28.97043788579878,27.119178677785193,23.683977291907418,20.299106550808887
miroc3_2_medres,17.096609610101357,18.625491672092352,20.805650875895065,23.4940826039247,25.81791291413088,27.800932707606187,28.84162544909507,28.77626470872345,26.83557128905927,23.565110948354317,20.392478283543216
miub_echo_g,17.813440770276667,18.28655666775248,20.005103217228413,22.374001208649393,24.548259970581494,25.934361587334575,26.089430820795062,25.75743611653334,24.907260470918526,23.15944228937531,21.0411444769926
miub_echo_g,17.637417640211492,18.087849558132604,19.919594470365436,22.36775866849383,24.411146375864213,25.518986831474077,25.81667337299753,25.547272482035808,24.862594039356797,23.165057523748157,20.947549702207414
mpi_echam5,17.886358943982472,18.71205986870408,20.42890233169013,22.88075501241235,24.97926952220617,26.656613573618515,27.58266043957283,27.65635134849629,26.579947389200008,23.74551052517285,20.809197319872844
mpi_echam5,17.87408258885815,18.884561797715314,20.464110197844448,22.54824678397532,24.86253526475433,26.433970886977786,27.416677215959258,27.425334035608643,26.326686906228392,23.77742136260371,20.563924153646425
mri_cgcm2_3_2a,16.074327633702474,16.894727918836306,19.488075915677783,22.29305013020864,24.876573350692595,26.053612226322226,26.807885440780243,26.570344901381485,25.37577612605804,23.483364152316064,20.20679954246173
mri_cgcm2_3_2a,16.31140174394272,17.136820098498394,19.51034771954185,22.542089014872847,24.71482039086544,25.970942744496302,26.781863742409875,26.572923448346923,25.27124965337161,23.388181333190126,20.03677895628013
ukmo_hadcm3,15.862999433349263,16.973005506726057,19.015487105756065,22.208186773607412,24.77118145977903,26.426830903982726,27.25175381883828,27.374194863401236,26.13012243199631,22.957936604817284,19.21054868344939
ukmo_hadcm3,15.934098985457776,17.03913333092124,18.831476282191858,21.68947083272717,24.75423139407408,26.323462592229635,27.43335827485803,27.503690366392597,26.055793291259274,22.979725402077793,19.398668830777165
ukmo_hadgem1,15.56865400149346,17.095113872008643,19.575450755932973,21.453047010633348,23.297266077108638,24.829118516716058,25.37643281912347,25.826780719522223,25.116139353059257,22.526246624225934,18.909879707994083
