GCM (circulation model),Jan,Feb,Mar,Apr,May,Jun,JulAug,Sep,Oct,Nov,Dec
bccr_bcm2_0,13.81982708,16.03335571,18.89285469,22.26162434,23.657897,22.58649445,22.33290195,22.67215157,22.46419525,20.19375038,16.87116528
cccma_cgcm3_1,15.79109001,18.43864059,22.49459553,25.99040985,26.21597099,25.05161762,24.64888191,24.3267231,23.74150181,22.42677021,19.05958939
cnrm_cm3,14.56365871,17.51883698,21.17327309,23.71848106,25.71049976,25.39946365,23.72730446,23.66658401,23.20394039,21.15311623,17.63821697
csiro_mk3_5,18.48900509,21.52411747,25.77488613,29.64205647,30.89332008,29.22104931,27.0392971,26.77829838,25.62851429,23.52284145,21.53517342
gfdl_cm2_0,16.084799766535625,18.334216117860187,22.46734333037456,25.45460033416969,26.309801101689995,24.201788902284374,23.44766521453126,23.213720321656247,21.60020732878657,19.56666088104688,17.986778259281245
gfdl_cm2_1,16.58138275146281,19.716381072989183,23.72330665588531,26.142620086668753,25.584043502800004,24.32516670226563,23.91629028320313,23.60390090942188,22.193901062015627,19.858532905584376,18.54807472228813
ingv_echam4,19.317923545849062,21.387468338016877,24.93428993224375,25.885156631464067,25.006891250615006,24.26457309722499,24.14050102232813,24.243555068962504,23.867739677425003,22.89817619323218,21.22454357147031
inmcm3_0,13.409620285035626,15.88016510009906,19.145024299617805,22.662142753607185,24.187004089346875,24.170677185062498,22.795320510865622,22.263362884521882,21.482126235950005,19.37981510163563,15.293406486510312
ipsl_cm4,15.133979797358437,17.93701076507403,21.291666984554684,24.275017738344378,25.592666625984375,26.2512960433875,26.654135704040627,26.23731040954063,25.412172317499998,22.931161880487494,19.36536979675719
miroc3_2_medres,13.893068313602189,16.93297290801937,21.035307884224682,24.64249420165374,25.41227245330625,24.19430255889375,24.122208595268745,23.938379287721872,23.356669425971877,21.449414253231247,17.473274230948125
miub_echo_g,18.1400775909375,20.030554771428434,23.31552219389906,25.960976600646877,26.50734710693438,24.966814994806246,23.863036155699998,23.45344448089375,22.95225524901562,21.971658706667178,20.438304901124692
mpi_echam5,18.529302597045216,21.786885261534035,26.1316814422725,28.654264450081254,27.252306938175,25.87162303924375,25.32012844085937,24.88131332397188,24.479177474978123,23.875346183776877,21.24680805206374
mri_cgcm2_3_2a,15.998538970947502,18.412889480589595,21.56697845458718,23.823515892025632,24.41880416870938,24.277335166934368,23.7432250976625,23.514847755434378,23.280977249137496,22.087328910834373,19.36582374572688
ukmo_hadcm3,15.108586311337687,17.5646114349314,21.370738983153124,24.329603195184692,25.622222900375014,25.496131896975,25.08261108399375,25.213838577271876,24.65410804748125,23.020150184617812,19.159362792962185
ukmo_hadgem1,15.83782958984625,18.20219135285326,22.183524131782193,25.131378173825944,26.10264778137501,25.564696311949998,24.80321979523125,24.758186340340632,24.45162010193125,22.94448280333968,20.08388328551844
