GCM (circulation model),Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
bccr_bcm2_0,14.2121706,16.51162148,19.46124744,22.96729946,24.44849968,23.80231953,23.18982124,23.06974697,23.03781319,20.5295887,17.22270203,14.66600418
bccr_bcm2_0,13.77275658,16.35319042,19.70878124,22.61168957,24.70634079,23.94309044,22.94700909,23.06916046,22.87278557,20.4316349,17.39151859,14.43891144
cccma_cgcm3_1,16.96820164,19.58573532,23.67267513,27.02802277,27.75922966,26.20575523,25.40807533,25.16305161,24.6016531,23.10691452,20.16365242,17.11158276
cccma_cgcm3_1,16.4349556,18.92542744,23.53846455,26.80552769,26.78524399,25.77618217,25.33201027,25.10254288,24.4683342,23.28795242,20.13110828,17.19447231
cnrm_cm3,15.10752773,17.67233849,21.49746609,24.42079449,26.56894398,26.98215199,24.73853683,24.62146568,24.20837593,21.85628128,17.9736433,15.53334522
cnrm_cm3,15.43412781,18.61323357,22.16415882,24.63886642,26.52678013,26.52716827,24.59927559,24.55600643,24.01596832,21.66391468,18.28548717,15.24544716
csiro_mk3_5,19.07338524,22.50777149,26.81145287,30.75437641,32.21156597,30.30407143,28.02859116,27.53526115,26.68288612,24.07457256,21.89332867,19.78595638
csiro_mk3_5,31.80493641,30.1544714,28.05275726,27.50038433,26.8032856,24.24459839,22.17285633,19.74496365,19.85009575,22.75508976,27.01784706,30.24757481
gfdl_cm2_0,16.383653640738746,19.668450355526875,23.789335250862184,26.784082412717815,27.02503681183125,25.269112586975,24.313082695009378,24.07670974731562,22.69963264464063,19.207907676695942,17.136219978324313,16.260223388668752
gfdl_cm2_0,17.046199798585626,19.894487380975004,23.88794040679031,26.545172691338752,27.638693809515615,25.269271850584374,24.35281372069687,24.062939643856247,22.42165279388125,20.403567314138435,18.227629661561153,16.384848594661563
gfdl_cm2_1,17.889122962955216,21.201300621035003,24.62942600250875,26.951774597165613,26.6593694686875,25.240636825565623,24.780265808112496,24.401116371159375,22.470516204825,21.044353485110005,19.711532592775317,16.869333267216877
gfdl_cm2_1,17.842296600341868,20.953595161439694,24.763469696040936,27.315365791321877,26.564760208131244,25.118325233453124,24.549350738525003,24.195059776300006,22.887106895443754,20.627220153815937,19.595012664788438,16.86480236053281
ingv_echam4,19.782714843750316,21.939485549924093,25.46482849120688,27.229760169978753,26.62847614288219,25.5977067947375,25.114574432378124,25.083975791934378,24.6306972503625,23.570718765256256,22.174325942992194,20.20231628418559
inmcm3_0,14.131284713747187,16.72567844391032,20.149996757512813,24.202899932862504,25.53141212463437,25.023165702815625,23.613327980040626,23.294837951650006,22.5481853485125,19.676787376393122,16.70921993255469,14.660938262940778
inmcm3_0,14.100669860840314,16.619671821598125,19.969979286193123,24.085858345037497,25.69562149048438,25.24711227416563,23.632749557490616,23.15294837951875,22.43367481231563,19.631872177114374,16.2815055847125,14.737207412720501
ipsl_cm4,15.180906295776252,18.209615707398306,22.40096473693906,25.54719638823437,26.98741722107501,27.479629516606252,27.68778514862188,27.138236045828123,26.271036148074995,23.837106704703125,19.998324394227506,16.117402076721245
