GCM (circulation model),Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
bccr_bcm2_0,21.78170776,22.57088894,24.03696696,25.43391249,25.11040921,23.19828627,23.54963175,24.00874498,24.13933309,23.70181274,23.22047594,22.26812405
cccma_cgcm3_1,24.92178684,25.51065403,26.74831814,27.25071886,26.85212877,26.41250271,26.55465359,26.46685113,25.92652384,25.86866591,25.58090888,25.35756768
cnrm_cm3,23.10931396,23.91197035,25.34713067,26.62404717,25.91034953,24.07105849,23.73416816,24.2411872,24.31885105,24.18382772,23.72141859,23.10043674
csiro_mk3_5,28.0838623,28.20643446,28.90444946,29.97506375,31.16372002,31.27008057,30.78794013,31.68378025,31.69413588,31.4002516,30.50599501,28.90393405
gfdl_cm2_0,24.504543728299996,24.801283094622217,25.519046359611114,26.446475558811112,27.203925238711108,26.599080403644443,26.081756591788892,26.88114420572222,26.668857150611114,25.556315104166668,25.07768758136667,24.7819688585
gfdl_cm2_1,24.764655219188892,25.104522705077777,25.668046739355557,26.201121012355557,26.83811102972222,27.001929389100003,27.49574449328889,28.172014024522223,28.068908691411107,27.202935112844443,26.05146280925556,25.306372748477777
ingv_echam4,24.94461398654445,25.56610446504444,26.370697021477774,26.80782741972222,25.923570420999997,25.077250162766667,25.08535766601111,25.66899617513333,25.793267144111113,25.367187499999996,25.038964165577774,24.876529269733332
inmcm3_0,24.36232164172222,24.41940646701111,24.912153455944445,25.593271891266667,26.137837727855555,26.318671332477773,26.243221706822222,26.645504421666665,26.910664876300004,26.556833902988885,25.829939100488886,24.928222656255553
ipsl_cm4,24.689219156900002,24.803229437933332,25.523088243266663,26.713877360022224,27.377858479833336,27.16682942708889,26.716389973966663,26.897779676644443,27.170383029522224,27.074062771255555,26.29467095268889,25.3843383789
miroc3_2_medres,24.603885226755555,25.19797770182222,26.524837917733333,28.19052463106667,29.090223524311114,28.211954752611113,28.23791842991111,28.15877617728889,28.106608072922217,26.86191134981111,25.57801310221111,24.86188422308889
miub_echo_g,26.563995361311115,26.638943142366667,26.797899034288893,26.466688368066663,25.860799153655552,25.1677652995,24.842088487411115,24.90557861328889,24.94140285916667,25.16320122612222,25.70122951931111,26.56213717992222
mpi_echam5,25.389356825088885,26.33584255641111,27.364946153433337,28.139729817711114,27.76378377278889,26.776509602866668,26.851633707688887,27.15481567382222,26.956746419255555,25.922237820099998,25.363908555755554,25.15606350371111
mri_cgcm2_3_2a,24.783162434888887,25.41321818033333,26.607937282977776,27.727542453355554,27.512400309233335,26.62314520942222,26.487525092222224,26.243123372366668,26.06778971355556,25.86137559677778,25.405632866744444,24.86043294271111
ukmo_hadcm3,25.41818915473333,25.986782497822222,26.968017578133335,28.065077039933335,28.1645067003,27.459384494355557,27.400780571833334,27.636952718088892,27.87592230902223,27.673027886266667,26.91911824545556,25.768168131511107
ukmo_hadgem1,23.542805989577776,23.6534254286,24.41809760197778,25.86449517143333,26.596472846155557,25.560658772788887,25.15003119574445,25.65992906356667,25.957102457677777,25.45687188042222,24.87332831488889,23.98247273763333
